date,nemesis_sign,nemesis_y,nemesis_is_peak,necessity_sign,necessity_y,necessity_is_peak,spirit_sign,spirit_y,spirit_is_peak,fortune_eros_courage_sign,fortune_eros_courage_y,fortune_eros_courage_is_peak,death_sign,death_y,death_is_peak,victory_sign,victory_y,victory_is_peak,peak_lot_count,lots_in_peak
2026-01-01,Virgo,5,False,,,,,,,,,,Libra,6,False,,,,0,Necessity | Spirit | Fortune / Eros / Courage | Victory
2026-01-02,Virgo,5,False,Sagittarius,8.0,False,Leo,4.0,True,,,,Libra,6,False,,,,1,Spirit | Fortune / Eros / Courage | Victory
2026-01-03,Virgo,5,False,Sagittarius,8.0,False,Leo,4.0,True,Sagittarius,8.0,False,Scorpio,7,True,,,,2,Spirit | Death | Victory
2026-01-04,Virgo,5,False,Sagittarius,8.0,False,Leo,4.0,True,Sagittarius,8.0,False,Scorpio,7,True,,,,2,Spirit | Death | Victory
2026-01-05,Libra,6,False,Capricorn,9.0,False,Leo,4.0,True,Capricorn,9.0,False,Scorpio,7,True,Leo,4.0,True,3,Spirit | Death | Victory
2026-01-06,Libra,6,False,Capricorn,9.0,False,Virgo,5.0,False,Capricorn,9.0,False,Sagittarius,8,False,Leo,4.0,True,1,Victory
2026-01-07,Scorpio,7,True,Capricorn,9.0,False,Virgo,5.0,False,Capricorn,9.0,False,Sagittarius,8,False,Leo,4.0,True,2,Nemesis | Victory
2026-01-08,Scorpio,7,True,Capricorn,9.0,False,Virgo,5.0,False,Capricorn,9.0,False,Sagittarius,8,False,Leo,4.0,True,2,Nemesis | Victory
2026-01-09,Scorpio,7,True,Capricorn,9.0,False,Virgo,5.0,False,Capricorn,9.0,False,Capricorn,9,False,Virgo,5.0,False,1,Nemesis
2026-01-10,Sagittarius,8,False,Capricorn,9.0,False,Libra,6.0,False,Capricorn,9.0,False,Capricorn,9,False,Virgo,5.0,False,0,
2026-01-11,Sagittarius,8,False,Aquarius,10.0,True,Libra,6.0,False,Aquarius,10.0,True,Capricorn,9,False,Virgo,5.0,False,2,Necessity | Fortune / Eros / Courage
2026-01-12,Capricorn,9,False,Aquarius,10.0,True,Scorpio,7.0,True,Aquarius,10.0,True,Capricorn,9,False,Virgo,5.0,False,3,Necessity | Spirit | Fortune / Eros / Courage
2026-01-13,Capricorn,9,False,Aquarius,10.0,True,Scorpio,7.0,True,Taurus,1.0,True,Capricorn,9,False,Libra,6.0,False,3,Necessity | Spirit | Fortune / Eros / Courage
2026-01-14,Capricorn,9,False,Aquarius,10.0,True,Scorpio,7.0,True,Taurus,1.0,True,Aquarius,10,True,Libra,6.0,False,4,Necessity | Spirit | Fortune / Eros / Courage | Death
