start_date,end_date,days,max_peak_lot_count,lots_in_peak_examples
2026-01-03,2026-01-05,3,3,Spirit | Death | Victory
2026-01-07,2026-01-08,2,2,Nemesis | Victory
2026-01-11,2026-01-19,9,4,Necessity | Spirit | Fortune / Eros / Courage | Death || Death | Victory || Nemesis | Death || Necessity | Fortune / Eros / Courage || Necessity | Death | Victory
2026-01-21,2026-01-27,7,5,Necessity | Spirit | Fortune / Eros / Courage | Death | Victory || Necessity | Fortune / Eros / Courage | Death | Victory || Nemesis | Spirit || Spirit | Fortune / Eros / Courage
2026-02-06,2026-02-09,4,3,Necessity | Death || Necessity | Death | Victory
2026-02-13,2026-02-18,6,3,Nemesis | Spirit | Fortune / Eros / Courage || Nemesis | Necessity | Death || Spirit | Fortune / Eros / Courage || Nemesis | Spirit | Death || Necessity | Death
2026-02-21,2026-02-24,4,4,Fortune / Eros / Courage | Victory || Necessity | Spirit | Fortune / Eros / Courage | Victory || Spirit | Fortune / Eros / Courage | Victory || Nemesis | Spirit
2026-03-02,2026-03-04,3,3,Death | Victory || Nemesis | Death | Victory
2026-03-06,2026-03-08,3,3,Necessity | Spirit | Fortune / Eros / Courage || Spirit | Fortune / Eros / Courage
2026-03-13,2026-03-17,5,4,Spirit | Fortune / Eros / Courage | Victory || Nemesis | Spirit | Fortune / Eros / Courage | Victory || Nemesis | Necessity | Victory || Nemesis | Spirit | Victory || Nemesis | Victory
2026-03-23,2026-03-25,3,4,Nemesis | Necessity | Death || Nemesis | Necessity | Death | Victory
2026-03-29,2026-04-05,8,3,Spirit | Fortune / Eros / Courage | Death || Nemesis | Necessity | Death || Spirit | Fortune / Eros / Courage || Necessity | Death || Nemesis | Victory
2026-04-09,2026-04-09,1,2,Necessity | Fortune / Eros / Courage
2026-04-11,2026-04-25,15,5,Spirit | Fortune / Eros / Courage | Victory || Necessity | Spirit | Fortune / Eros / Courage | Death || Necessity | Spirit | Fortune / Eros / Courage | Death | Victory || Nemesis | Necessity | Fortune / Eros / Courage || Necessity | Fortune / Eros / Courage | Death
