physical_degree,directional_degree_after,navigation_cell_after,lane_before,lane_after,jd_ut
193.52902156443943,553.5290215644394,553,direct,retrograde,2297439.7121119313
183.6013260015073,183.6013260015073,183,retrograde,direct,2297562.941657883
223.5814618149685,583.5814618149685,583,direct,retrograde,2297835.5476837466
213.700964304783,213.700964304783,213,retrograde,direct,2297959.0713270903
254.60044903578003,614.60044903578,614,direct,retrograde,2298232.89145083
244.7532996601582,244.7532996601582,244,retrograde,direct,2298355.8450967213
287.32265855992136,647.3226585599214,647,direct,retrograde,2298632.595346353
277.48861596551194,277.48861596551194,277,retrograde,direct,2298754.1738239555
322.1023273353756,682.1023273353755,682,direct,retrograde,2299034.4639838273
312.2502127648836,312.2502127648836,312,retrograde,direct,2299154.2110234816
358.5600651026631,718.5600651026631,718,direct,retrograde,2299437.7011892023
348.64636799288854,348.64636799288854,348,retrograde,direct,2299555.8724397374
35.475379074425604,395.47537907442563,395,direct,retrograde,2299840.542272727
25.479031762223258,25.479031762223258,25,retrograde,direct,2299958.0420434372
71.37064049483023,431.37064049483024,431,direct,retrograde,2300241.433602256
61.3106317252581,61.3106317252581,61,retrograde,direct,2300359.456203616
105.34152641618556,465.34152641618556,465,direct,retrograde,2300640.0100161396
95.2715520767902,95.2715520767902,95,retrograde,direct,2300759.3315073047
137.3364856158761,497.3364856158761,497,direct,retrograde,2301036.45595977
127.30088416565792,127.30088416565792,127,retrograde,direct,2301157.403498145
167.892307994427,527.892307994427,527,direct,retrograde,2301431.819124151
157.91376294331496,157.91376294331496,157,retrograde,direct,2301554.198036853
197.81481457442285,557.8148145744228,557,direct,retrograde,2301826.9823421054
187.8925114985996,187.8925114985996,187,retrograde,direct,2301950.2692980627
227.98190380273272,587.9819038027327,587,direct,retrograde,2302222.955951282
218.10777725952028,218.10777725952028,218,retrograde,direct,2302346.428965601
259.24556114870325,619.2455611487032,619,direct,retrograde,2302620.727313268
249.40195742495757,249.40195742495757,249,retrograde,direct,2302743.4970722217
292.28982096983975,652.2898209698398,652,direct,retrograde,2303020.702015727
282.45718275287743,282.45718275287743,282,retrograde,direct,2303142.0265523316
327.36660402260304,687.366604022603,687,direct,retrograde,2303422.9202845516
317.5076301471537,317.5076301471537,317,retrograde,direct,2303542.428936418
3.954981052211837,363.95498105221185,363,direct,retrograde,2303826.168907064
354.0312723864437,354.0312723864437,354,retrograde,direct,2303944.16772459
40.76974794346506,400.76974794346506,400,direct,retrograde,2304228.713321544
30.76246120066101,30.76246120066101,30,retrograde,direct,2304346.2658752445
76.39448957837163,436.39448957837163,436,direct,retrograde,2304629.3250466352
66.33133037225623,66.33133037225623,66,retrograde,direct,2304747.5050866157
110.05543999071692,470.05543999071693,470,direct,retrograde,2305027.4636498503
99.9899469605399,99.9899469605399,99,retrograde,direct,2305147.019013333
141.80842462818728,501.80842462818725,501,direct,retrograde,2305423.7920464873
131.78148189015081,131.78148189015081,131,retrograde,direct,2305544.955025319
172.23956225520865,532.2395622552086,532,direct,retrograde,2305819.0133807287
162.26902772575684,162.26902772575684,162,retrograde,direct,2305941.5472966842
202.16603810177193,562.166038101772,562,direct,retrograde,2306214.2827626113
192.25309775358144,192.25309775358144,192,retrograde,direct,2306337.648044926
232.46666938793126,592.4666693879312,592,direct,retrograde,2306610.5049997177
222.59777243907143,222.59777243907143,222,retrograde,direct,2306733.9113561306
263.964008647427,623.964008647427,623,direct,retrograde,2307008.5268312003
254.12533038362764,254.12533038362764,254,retrograde,direct,2307131.154234078
297.28499453940196,657.284994539402,657,direct,retrograde,2307408.877803467
287.4496347169318,287.4496347169318,287,retrograde,direct,2307529.9901629966
332.57842181197634,692.5784218119763,692,direct,retrograde,2307811.278796114
322.71232407269355,322.71232407269355,322,retrograde,direct,2307930.540994699
9.221800777016709,369.2218007770167,369,direct,retrograde,2308214.400667902
359.2843831448191,359.2843831448191,359,retrograde,direct,2308332.349947055
45.891894665859,405.891894665859,405,direct,retrograde,2308616.774839783
35.87349985665299,35.87349985665299,35,retrograde,direct,2308734.387935796
81.24918656669672,441.2491865666967,441,direct,retrograde,2309016.9778510854
71.18353039705721,71.18353039705721,71,retrograde,direct,2309135.292217048
114.64475169900744,474.64475169900743,474,direct,retrograde,2309414.9073175257
104.5826016674308,104.5826016674308,104,retrograde,direct,2309534.6801219564
146.20839572273422,506.2083957227342,506,direct,retrograde,2309810.9989487454
136.18986705713678,136.18986705713678,136,retrograde,direct,2309932.34511311
176.55762028809625,536.5576202880962,536,direct,retrograde,2310206.2772238646
166.59663542984072,166.59663542984072,166,retrograde,direct,2310328.951473873
206.51223194045068,566.5122319404506,566,direct,retrograde,2310601.57734691
196.60587084543343,196.60587084543343,196,retrograde,direct,2310724.9867173843
236.9368692138768,596.9368692138768,596,direct,retrograde,2310998.020876443
227.07459059724218,227.07459059724218,227,retrograde,direct,2311121.407488236
268.6430116668334,628.6430116668334,628,direct,retrograde,2311396.3322824044
258.80499944633647,258.80499944633647,258,retrograde,direct,2311518.809054548
302.2197450479643,662.2197450479644,662,direct,retrograde,2311796.996903114
292.38404800706985,292.38404800706985,292,retrograde,direct,2311917.8440139676
337.7433669812979,697.7433669812979,697,direct,retrograde,2312199.5057582846
327.8689364628759,327.8689364628759,327,retrograde,direct,2312318.5844432544
14.481435589677236,374.48143558967723,374,direct,retrograde,2312602.73911169
4.533051552110956,4.533051552110956,4,retrograde,direct,2312720.5603598235
51.06121602741475,411.06121602741473,411,direct,retrograde,2313004.818821769
41.03442657533701,41.03442657533701,41,retrograde,direct,2313122.4171716273
86.20117428883373,446.2011742888337,446,direct,retrograde,2313404.754522887
76.13250009477703,76.13250009477703,76,retrograde,direct,2313523.2630405836
119.34905740972853,479.3490574097285,479,direct,retrograde,2313802.4099443154
109.29339343347739,109.29339343347739,109,retrograde,direct,2313922.363643214
150.71097670451488,510.7109767045149,510,direct,retrograde,2314198.369182879
140.6998697666129,140.6998697666129,140,retrograde,direct,2314319.9330982678
180.92627266697392,540.9262726669739,540,direct,retrograde,2314593.469610812
170.97293330289008,170.97293330289008,170,retrograde,direct,2314716.3254875345
210.83039411167346,570.8303941116735,570,direct,retrograde,2314988.873152773
200.93022371072095,200.93022371072095,200,retrograde,direct,2315112.4093978303
241.3048706667626,601.3048706667626,601,direct,retrograde,2315385.396665195
231.44388087110113,231.44388087110113,231,retrograde,direct,2315508.7613947615
273.1641741722902,633.1641741722901,633,direct,retrograde,2315783.9972285572
263.3271459289076,263.3271459289076,263,retrograde,direct,2315906.3287998475
306.9814317474185,666.9814317474186,666,direct,retrograde,2316184.894722973
297.1406340187013,297.1406340187013,297,retrograde,direct,2316305.5028418684
342.75747289617027,702.7574728961703,702,direct,retrograde,2316587.715282362
332.875529001126,332.875529001126,332,retrograde,direct,2316706.527152892
19.647958978354296,379.64795897835427,379,direct,retrograde,2316990.9347221963
9.68971360226809,9.68971360226809,9,retrograde,direct,2317108.5569779063
56.20006765385439,416.2000676538544,416,direct,retrograde,2317392.8636579886
46.164122563887645,46.164122563887645,46,retrograde,direct,2317510.5071106153
91.152088584347,451.152088584347,451,direct,retrograde,2317792.5709161432
81.08251092059463,81.08251092059463,81,retrograde,direct,2317911.181232784
124.05266351238457,484.0526635123846,484,direct,retrograde,2318189.915645861
113.99866493505934,113.99866493505934,113,retrograde,direct,2318310.1107876524
155.19658164713567,515.1965816471356,515,direct,retrograde,2318585.6720120916
145.19324484167265,145.19324484167265,145,retrograde,direct,2318707.445122225
185.2940517591008,545.2940517591007,545,direct,retrograde,2318980.777316017
175.34782853549098,175.34782853549098,175,retrograde,direct,2319103.7777207233
215.20729821811958,575.2072982181196,575,direct,retrograde,2319376.1826448394
205.31365352541422,205.31365352541422,205,retrograde,direct,2319499.739749592
