physical_degree,directional_degree_after,navigation_cell_after,lane_before,lane_after,jd_ut
146.03315199100777,506.0331519910078,506,direct,retrograde,2297256.3030292867
133.41275622936763,133.41275622936763,133,retrograde,direct,2297280.0150163043
254.79314086906558,614.7931408690656,614,direct,retrograde,2297369.3197193276
238.526915886695,238.526915886695,238,retrograde,direct,2297389.075263745
1.6599284627350754,361.6599284627351,361,direct,retrograde,2297478.432229435
348.8057592667084,348.8057592667084,348,retrograde,direct,2297501.5918114325
127.44716017325771,487.4471601732577,487,direct,retrograde,2297603.2740279566
116.20669209680527,116.20669209680527,116,retrograde,direct,2297627.3957271
238.96277365240255,598.9627736524026,598,direct,retrograde,2297717.984910776
222.82090328250644,222.82090328250644,222,retrograde,direct,2297737.941333998
344.6707840103413,704.6707840103413,704,direct,retrograde,2297826.4650974395
330.52735067113457,330.52735067113457,330,retrograde,direct,2297848.967297457
108.0973665614285,468.0973665614285,468,direct,retrograde,2297949.7759093624
98.23609774693543,98.23609774693543,98,retrograde,direct,2297973.999227493
223.06442109808538,583.0644210980854,583,direct,retrograde,2298066.47573076
207.1366046760101,207.1366046760101,207,retrograde,direct,2298086.8711687373
328.10609695485823,688.1060969548582,688,direct,retrograde,2298174.9374053935
313.0018671077299,313.0018671077299,313,retrograde,direct,2298196.686726517
88.18908516452211,448.1890851645221,448,direct,retrograde,2298295.7704119915
79.34443224386344,79.34443224386344,79,retrograde,direct,2298319.825559118
206.9941877541808,566.9941877541808,566,direct,retrograde,2298414.7663133303
191.40049133636057,191.40049133636057,191,retrograde,direct,2298435.7953598443
311.83764707770405,671.8376470777041,671,direct,retrograde,2298523.679399917
296.0994712713918,296.0994712713918,296,retrograde,direct,2298544.701243477
68.17607626569682,428.1760762656968,428,direct,retrograde,2298641.3698404767
59.605721292845054,59.605721292845054,59,retrograde,direct,2298665.2479943186
190.63166514422204,550.6316651442221,550,direct,retrograde,2298762.8325459976
175.5485074484202,175.5485074484202,175,retrograde,direct,2298784.6298153084
295.7636450004477,655.7636450004477,655,direct,retrograde,2298872.5532874446
279.66284750752135,279.66284750752135,279,retrograde,direct,2298892.962218809
48.58872304756702,408.58872304756704,408,direct,retrograde,2298986.9886412183
39.40853676513092,39.40853676513092,39,retrograde,direct,2299010.8343371814
173.8389845334933,533.8389845334933,533,direct,retrograde,2299110.6449633585
159.50024888615732,159.50024888615732,159,retrograde,direct,2299133.261988423
279.8333352765344,639.8333352765344,639,direct,retrograde,2299221.460942189
263.5674006548626,263.5674006548626,263,retrograde,direct,2299241.435306877
29.775336205571975,389.775336205572,389,direct,retrograde,2299333.1728071384
19.313540266916377,19.313540266916377,19,retrograde,direct,2299356.9209931754
156.45129057808285,516.4512905780829,516,direct,retrograde,2299458.167273825
143.12972244124038,143.12972244124038,143,retrograde,direct,2299481.546856676
263.98499117319085,623.9849911731908,623,direct,retrograde,2299570.323759336
247.68946997396006,247.68946997396006,247,retrograde,direct,2299590.087461668
11.777931661330376,371.7779316613304,371,direct,retrograde,2299680.151281316
359.7760180773311,359.7760180773311,359,retrograde,direct,2299703.5752509134
138.3411090598776,498.34110905987757,498,direct,retrograde,2299805.36893449
126.29116276271962,126.29116276271962,126,retrograde,direct,2299829.3064774796
248.1663288899304,608.1663288899304,608,direct,retrograde,2299919.081755231
231.93942672938775,231.93942672938775,231,retrograde,direct,2299938.8876487697
354.463082220593,714.4630822205929,714,direct,retrograde,2300027.845013582
341.02019095116253,341.02019095116253,341,retrograde,direct,2300050.7302796766
119.41446714373627,479.41446714373626,479,direct,retrograde,2300152.1685862644
108.77593075716904,108.77593075716904,108,retrograde,direct,2300176.3557208152
232.3148399186326,592.3148399186326,592,direct,retrograde,2300267.684864007
216.24656925778453,216.24656925778453,216,retrograde,direct,2300287.790699684
337.673799437801,697.673799437801,697,direct,retrograde,2300376.0836211853
323.081046931691,323.081046931691,323,retrograde,direct,2300398.2781904386
99.76491997271563,459.76491997271563,459,direct,retrograde,2300498.454936982
90.40307799191683,90.40307799191683,90,retrograde,direct,2300522.6114214184
216.3482995074934,576.3482995074934,576,direct,retrograde,2300616.0919332094
200.54448658014698,200.54448658014698,200,retrograde,direct,2300636.7332928684
321.246553937089,681.246553937089,681,direct,retrograde,2300724.6844993467
305.83932707417864,305.83932707417864,305,retrograde,direct,2300746.1280243443
79.73875986119087,439.7387598611909,439,direct,retrograde,2300844.2257584706
71.12145601327235,71.12145601327235,71,retrograde,direct,2300868.218069054
200.17471136483968,560.1747113648397,560,direct,retrograde,2300964.281534645
184.77722575122644,184.77722575122644,184,retrograde,direct,2300985.6353953965
305.0724231479203,665.0724231479203,665,direct,retrograde,2301073.4989585644
