physical_degree,directional_degree_after,navigation_cell_after,lane_before,lane_after,jd_ut
99.24544847130267,459.24544847130267,459,direct,retrograde,2297332.1594509473
96.43293998118207,96.43293998118207,96,retrograde,direct,2297488.5469162874
101.47662783583115,461.47662783583115,461,direct,retrograde,2297699.6116964277
98.66359025785563,98.66359025785563,98,retrograde,direct,2297855.9923035316
103.70426979918305,463.70426979918307,463,direct,retrograde,2298067.0581710795
100.89083954769505,100.89083954769505,100,retrograde,direct,2298223.509542618
105.92892290178739,465.92892290178736,465,direct,retrograde,2298434.46735398
103.11528092823707,103.11528092823707,103,retrograde,direct,2298590.9469491607
108.15081602162724,468.15081602162724,468,direct,retrograde,2298801.9300381
105.33761202920044,105.33761202920044,105,retrograde,direct,2298958.45064542
110.37126958906639,470.3712695890664,470,direct,retrograde,2299169.4021311766
107.55908213702838,107.55908213702838,107,retrograde,direct,2299325.88132633
112.59109157757327,472.59109157757325,472,direct,retrograde,2299536.8715313906
109.78081175432914,109.78081175432914,109,retrograde,direct,2299693.440827611
114.81161651581209,474.8116165158121,474,direct,retrograde,2299904.405159344
112.00304326375257,112.00304326375257,112,retrograde,direct,2300060.934675377
117.03269021377315,477.03269021377315,477,direct,retrograde,2300271.862473678
114.22611091225546,114.22611091225546,114,retrograde,direct,2300428.441325658
119.25414772691131,479.2541477269113,479,direct,retrograde,2300639.422345631
116.44898988199316,116.44898988199316,116,retrograde,direct,2300795.971278093
121.47528844617752,481.4752884461775,481,direct,retrograde,2301006.866641122
118.67109716003532,118.67109716003532,118,retrograde,direct,2301163.4457907435
123.69484106684205,483.69484106684206,483,direct,retrograde,2301374.332892671
120.89118701841419,120.89118701841419,120,retrograde,direct,2301530.975553902
125.91250509308942,485.9125050930894,485,direct,retrograde,2301741.749532855
123.1089655300412,123.1089655300412,123,retrograde,direct,2301898.4161913134
128.12741032722118,488.1274103272212,488,direct,retrograde,2302109.184063066
125.3238843679637,125.3238843679637,125,retrograde,direct,2302265.9198456816
130.33978891459046,490.3397889145905,490,direct,retrograde,2302476.6192351906
127.53602076886446,127.53602076886446,127,retrograde,direct,2302633.357399147
132.54916832023034,492.54916832023036,492,direct,retrograde,2302844.0353779094
129.7454926102887,129.7454926102887,129,retrograde,direct,2303000.915261646
134.75625076818162,494.75625076818164,494,direct,retrograde,2303211.524604965
131.95280374738002,131.95280374738002,131,retrograde,direct,2303368.39869532
136.96168509199398,496.961685091994,496,direct,retrograde,2303578.953635729
134.1595835734618,134.1595835734618,134,retrograde,direct,2303735.901861351
139.16663595411845,499.1666359541184,499,direct,retrograde,2303946.497309793
136.36624119508815,136.36624119508815,136,retrograde,direct,2304103.44896714
141.37223225032616,501.3722322503262,501,direct,retrograde,2304313.932561269
138.57394567447588,138.57394567447588,138,retrograde,direct,2304470.931558769
143.57863192558963,503.57863192558966,503,direct,retrograde,2304681.399146052
140.78252483981532,140.78252483981532,140,retrograde,direct,2304838.459365925
145.78598611918707,505.7859861191871,505,direct,retrograde,2305048.834557116
142.99153852644207,142.99153852644207,142,retrograde,direct,2305205.895197097
147.99308302399476,507.99308302399476,507,direct,retrograde,2305416.267002262
145.19974700871094,145.19974700871094,145,retrograde,direct,2305573.3920079954
150.19914962208628,510.1991496220863,510,direct,retrograde,2305783.6713175597
147.40608753772852,147.40608753772852,147,retrograde,direct,2305940.843758147
152.40266802384429,512.4026680238443,512,direct,retrograde,2306151.0403211145
149.60962052068817,149.60962052068817,149,retrograde,direct,2306308.371311236
154.6033235592598,514.6033235592598,514,direct,retrograde,2306518.511310268
151.8095910098673,151.8095910098673,151,retrograde,direct,2306675.832222322
156.80024460322133,516.8002446032214,516,direct,retrograde,2306885.89822785
154.00588575019947,154.00588575019947,154,retrograde,direct,2307043.354421296
158.99312781653256,518.9931278165326,518,direct,retrograde,2307253.3943078592
156.19797814199035,156.19797814199035,156,retrograde,direct,2307410.9119607545
161.18260579892396,521.182605798924,521,direct,retrograde,2307620.7952680923
158.38719320391766,158.38719320391766,158,retrograde,direct,2307778.416019597
163.3691425934812,523.3691425934812,523,direct,retrograde,2307988.241233986
160.5742993476189,160.5742993476189,160,retrograde,direct,2308145.958389502
165.55454335788687,525.5545433578868,525,direct,retrograde,2308355.668924677
162.7610011941917,162.7610011941917,162,retrograde,direct,2308513.403694312
167.73997054702542,527.7399705470255,527,direct,retrograde,2308723.080201935
164.9485459569151,164.9485459569151,164,retrograde,direct,2308880.9075245224
169.92694323190773,529.9269432319077,529,direct,retrograde,2309090.488659379
167.13773790985837,167.13773790985837,167,retrograde,direct,2309248.331460989
172.11563520199715,532.1156352019972,532,direct,retrograde,2309457.8569709463
169.328725302207,169.328725302207,169,retrograde,direct,2309615.81655119
174.30602632026637,534.3060263202664,534,direct,retrograde,2309825.3320820704
171.5206106587296,171.5206106587296,171,retrograde,direct,2309983.2317773476
176.49701904544256,536.4970190454426,536,direct,retrograde,2310192.7218092205
173.71293255620216,173.71293255620216,173,retrograde,direct,2310350.7331782095
178.68784770081237,538.6878477008124,538,direct,retrograde,2310560.227085281
175.90434041186765,175.90434041186765,175,retrograde,direct,2310718.284776835
180.87771959755835,540.8777195975583,540,direct,retrograde,2310927.632557703
178.0943052983231,178.0943052983231,178,retrograde,direct,2311085.7793029407
183.06522091051093,543.0652209105109,543,direct,retrograde,2311295.081246216
180.2816130080636,180.2816130080636,180,retrograde,direct,2311453.339275552
185.2501317781658,545.2501317781658,545,direct,retrograde,2311662.5291244686
182.4659704155029,182.4659704155029,182,retrograde,direct,2311820.8433121815
187.43176428330784,547.4317642833079,547,direct,retrograde,2312029.911098172
184.64722045510524,184.64722045510524,184,retrograde,direct,2312188.4048711536
189.61072282329644,549.6107228232964,549,direct,retrograde,2312397.297067266
