directional_degree,physical_degree,navigation_cell,motion,jd_ut,civic_offset_seconds
94.9,94.9,94,direct,2297172.017974132,23942
95,95,95,direct,2297175.764813828,347669
95.10000000000001,95.10000000000001,95,direct,2297179.329101383,655623
95.2,95.2,95,direct,2297182.740536843,950371
95.30000000000001,95.30000000000001,95,direct,2297186.0310526807,1234672
95.4,95.4,95,direct,2297189.220536086,1510243
95.5,95.5,95,direct,2297192.320776392,1778104
95.60000000000001,95.60000000000001,95,direct,2297195.3419066328,2039130
95.7,95.7,95,direct,2297198.2973574083,2294481
95.80000000000001,95.80000000000001,95,direct,2297201.2015199917,2545400
95.9,95.9,95,direct,2297204.061776111,2792526
96,96,96,direct,2297206.8804207873,3036057
96.10000000000001,96.10000000000001,96,direct,2297209.663346354,3276502
96.2,96.2,96,direct,2297212.4194358443,3514628
96.30000000000001,96.30000000000001,96,direct,2297215.1548618944,3750969
96.4,96.4,96,direct,2297217.872700224,3985790
96.5,96.5,96,direct,2297220.574959759,4219266
96.60000000000001,96.60000000000001,96,direct,2297223.2646688446,4451656
96.7,96.7,96,direct,2297225.948761553,4683562
96.80000000000001,96.80000000000001,96,direct,2297228.638259142,4915935
96.9,96.9,96,direct,2297231.329704309,5148475
97,97,97,direct,2297234.0273673767,5381554
97.10000000000001,97.10000000000001,97,direct,2297236.734736322,5615470
97.2,97.2,97,direct,2297239.458844605,5850833
97.30000000000001,97.30000000000001,97,direct,2297242.205766447,6088167
97.4,97.4,97,direct,2297244.9790870477,6327782
97.5,97.5,97,direct,2297247.7815176174,6569912
97.60000000000001,97.60000000000001,97,direct,2297250.61734373,6814928
97.7,97.7,97,direct,2297253.4956416534,7063612
97.80000000000001,97.80000000000001,97,direct,2297256.4290176425,7317056
97.9,97.9,97,direct,2297259.4242258957,7575842
98,98,98,direct,2297262.48634461,7840409
98.10000000000001,98.10000000000001,98,direct,2297265.6290060612,8111935
98.2,98.2,98,direct,2297268.8707860033,8392025
98.30000000000001,98.30000000000001,98,direct,2297272.228870421,8682163
98.4,98.4,98,direct,2297275.7204420553,8983835
98.5,98.5,98,direct,2297279.3715106063,9299288
98.60000000000001,98.60000000000001,98,direct,2297283.2307783877,9632728
98.7,98.7,98,direct,2297287.3577064564,9989295
98.80000000000001,98.80000000000001,98,direct,2297291.821342398,10374953
98.9,98.9,98,direct,2297296.766989916,10802257
99,99,99,direct,2297302.4340538774,11291891
99.10000000000001,99.10000000000001,99,direct,2297309.327078131,11887449
99.2,99.2,99,direct,2297319.3959861984,12757402
