directional_degree,physical_degree,navigation_cell,motion,jd_ut,civic_offset_seconds
0,0,0,direct,2297171.740867775,0
0.1,0.1,0,direct,2297177.287995283,479272
0.2,0.2,0,direct,2297183.350117098,1003039
0.30000000000000004,0.30000000000000004,0,direct,2297190.216295515,1596277
0.4,0.4,0,direct,2297198.416261139,2304754
0.5,0.5,0,direct,2297209.7160654273,3281057
360.5,0.5,360,retrograde,2297247.0990842464,6510950
360.4,0.39999999999997726,360,retrograde,2297258.6220105593,7506531
360.3,0.30000000000001137,360,retrograde,2297267.0995445536,8238990
360.2,0.19999999999998863,360,retrograde,2297274.2451719115,8856372
360.1,0.10000000000002274,360,retrograde,2297280.6530691134,9410014
360,0,360,retrograde,2297286.5545825465,9919905
719.9000000000001,359.9000000000001,719,retrograde,2297292.1398377162,10402471
719.8,359.79999999999995,719,retrograde,2297297.49123581,10864832
719.7,359.70000000000005,719,retrograde,2297302.6859592292,11313656
719.6,359.6,719,retrograde,2297307.796577752,11755213
719.5,359.5,719,retrograde,2297312.850149556,12191842
719.4000000000001,359.4000000000001,719,retrograde,2297317.9145671814,12629408
719.3,359.29999999999995,719,retrograde,2297323.03290636,13071632
719.2,359.20000000000005,719,retrograde,2297328.2466834765,13522102
719.1,359.1,719,retrograde,2297333.6389855016,13987997
719,359,719,retrograde,2297339.2745889015,14474914
718.9000000000001,358.9000000000001,718,retrograde,2297345.2820373476,14993957
718.8,358.79999999999995,718,retrograde,2297351.8534266567,15561725
718.7,358.70000000000005,718,retrograde,2297359.331589758,16207838
718.6,358.6,718,retrograde,2297368.5544791725,17004696
718.5,358.5,718,retrograde,2297383.6697325683,18310654
358.5,358.5,358,direct,2297403.1429032693,19993136
358.6,358.6,358,direct,2297418.0202032304,21278535
358.70000000000005,358.70000000000005,358,direct,2297426.9886985347,22053413
358.8,358.8,358,direct,2297434.155243072,22672602
358.90000000000003,358.90000000000003,358,direct,2297440.3807574213,23210486
359,359,359,direct,2297445.996115671,23695653
359.1,359.1,359,direct,2297451.2094347123,24146084
359.20000000000005,359.20000000000005,359,direct,2297456.103247698,24568910
359.3,359.3,359,direct,2297460.7715208307,24972248
359.40000000000003,359.40000000000003,359,direct,2297465.2667473587,25360636
359.5,359.5,359,direct,2297469.6173266657,25736526
359.6,359.6,359,direct,2297473.8633390693,26103382
359.70000000000005,359.70000000000005,359,direct,2297478.037229223,26464006
359.8,359.8,359,direct,2297482.14323505,26818765
359.90000000000003,359.90000000000003,359,direct,2297486.2094601374,27170086
0,0,0,direct,2297490.259656082,27520023
0.1,0.1,0,direct,2297494.301661742,27869253
0.2,0.2,0,direct,2297498.3487439025,28218920
0.30000000000000004,0.30000000000000004,0,direct,2297502.427886462,28571358
0.4,0.4,0,direct,2297506.554335984,28927884
0.5,0.5,0,direct,2297510.733163681,29288934
0.6000000000000001,0.6000000000000001,0,direct,2297515.0004821783,29657631
0.7000000000000001,0.7000000000000001,0,direct,2297519.3808031906,30036090
0.8,0.8,0,direct,2297523.893148515,30425957
0.9,0.9,0,direct,2297528.5826872876,30831133
1,1,1,direct,2297533.509305293,31256793
1.1,1.1,1,direct,2297538.71584763,31706638
1.2000000000000002,1.2000000000000002,1,direct,2297544.330010338,32191702
1.3,1.3,1,direct,2297550.498870937,32724691
1.4000000000000001,1.4000000000000001,1,direct,2297557.5138367284,33330785
1.5,1.5,1,direct,2297566.000580022,34064039
1.6,1.6,1,direct,2297578.130931601,35112102
361.6,1.6000000000000227,361,retrograde,2297611.3483095323,37982083
361.5,1.5,361,retrograde,2297623.6962318295,39048943
361.4,1.3999999999999773,361,retrograde,2297632.433124551,39803811
361.3,1.3000000000000114,361,retrograde,2297639.731934013,40434428
361.2,1.1999999999999886,361,retrograde,2297646.222140876,40995182
361.1,1.1000000000000227,361,retrograde,2297652.200975187,41511753
361,1,361,retrograde,2297657.8248043354,41997652
360.9,0.8999999999999773,360,retrograde,2297663.218750128,42463689
360.8,0.8000000000000114,360,retrograde,2297668.4362701704,42914483
360.7,0.6999999999999886,360,retrograde,2297673.5627277484,43357409
360.6,0.6000000000000227,360,retrograde,2297678.6399941305,43796085
360.5,0.5,360,retrograde,2297683.707701432,44233934
360.4,0.39999999999997726,360,retrograde,2297688.831175411,44676603
360.3,0.30000000000001137,360,retrograde,2297694.0465617804,45127212
360.2,0.19999999999998863,360,retrograde,2297699.421604079,45591616
360.1,0.10000000000002274,360,retrograde,2297705.0505710104,46077958
360,0,360,retrograde,2297711.0236680843,46594034
719.9000000000001,359.9000000000001,719,retrograde,2297717.5499503734,47157905
719.8,359.79999999999995,719,retrograde,2297724.9254563428,47795148
719.7,359.70000000000005,719,retrograde,2297733.96609594,48576260
719.6,359.6,719,retrograde,2297747.9570752815,49785080
359.6,359.6,359,direct,2297771.5560155152,51824029
359.70000000000005,359.70000000000005,359,direct,2297785.3073696746,53012146
359.8,359.8,359,direct,2297794.066798349,53768960
359.90000000000003,359.90000000000003,359,direct,2297801.139578587,54380049
0,0,0,direct,2297807.3231940987,54914313
0.1,0.1,0,direct,2297812.9044715837,55396535
0.2,0.2,0,direct,2297818.093429876,55844861
0.30000000000000004,0.30000000000000004,0,direct,2297822.980248168,56267082
0.4,0.4,0,direct,2297827.638684478,56669571
0.5,0.5,0,direct,2297832.134168539,57057981
0.6000000000000001,0.6000000000000001,0,direct,2297836.4894668963,57434279
0.7000000000000001,0.7000000000000001,0,direct,2297840.7356316247,57801148
0.8,0.8,0,direct,2297844.9120159154,58161987
0.9,0.9,0,direct,2297849.029976187,58517779
1,1,1,direct,2297853.1057155877,58869923
1.1,1.1,1,direct,2297857.1662203437,59220750
1.2000000000000002,1.2000000000000002,1,direct,2297861.2277095104,59571663
1.3,1.3,1,direct,2297865.29194753,59922813
1.4000000000000001,1.4000000000000001,1,direct,2297869.387014423,60276627
1.5,1.5,1,direct,2297873.534863604,60635001
1.6,1.6,1,direct,2297877.7438637726,60998659
1.7000000000000002,1.7000000000000002,1,direct,2297882.038573088,61369722
1.8,1.8,1,direct,2297886.455929135,61751381
1.9000000000000001,1.9000000000000001,1,direct,2297891.0141158993,62145209
2,2,2,direct,2297895.7502889847,62554414
2.1,2.1,2,direct,2297900.7359422892,62985174
2.2,2.2,2,direct,2297906.0266939816,63442295
2.3000000000000003,2.3000000000000003,2,direct,2297911.74226876,63936121
2.4000000000000004,2.4000000000000004,2,direct,2297918.067839268,64482650
2.5,2.5,2,direct,2297925.308491928,65108243
2.6,2.6,2,direct,2297934.248677316,65880675
2.7,2.7,2,direct,2297948.0507923462,67073177
362.7,2.6999999999999886,362,retrograde,2297974.042663483,69318875
362.6,2.6000000000000227,362,retrograde,2297988.071771306,70530990
362.5,2.5,362,retrograde,2297997.2443345767,71323500
362.4,2.3999999999999773,362,retrograde,2298004.781054272,71974672
362.3,2.3000000000000114,362,retrograde,2298011.4051410444,72546993
362.2,2.1999999999999886,362,retrograde,2298017.4825554965,73072082
362.1,2.1000000000000227,362,retrograde,2298023.170006995,73563478
362,2,362,retrograde,2298028.607443377,74033272
361.9,1.8999999999999773,361,retrograde,2298033.8740860308,74488310
361.8,1.8000000000000114,361,retrograde,2298039.020115325,74932927
361.7,1.6999999999999886,361,retrograde,2298044.116952556,75373294
361.6,1.6000000000000227,361,retrograde,2298049.1950765434,75812044
361.5,1.5,361,retrograde,2298054.309730311,76253950
361.4,1.3999999999999773,361,retrograde,2298059.527796633,76704791
361.3,1.3000000000000114,361,retrograde,2298064.884133501,77167578
361.2,1.1999999999999886,361,retrograde,2298070.47884764,77650961
361.1,1.1000000000000227,361,retrograde,2298076.4045322295,78162941
361,1,361,retrograde,2298082.8356801537,78718592
360.9,0.8999999999999773,360,retrograde,2298090.0834804717,79344802
