physical_degree,directional_degree_after,navigation_cell_after,lane_before,lane_after,jd_ut
275.87365840516225,275.87365840516225,275,retrograde,direct,2297299.758934197
293.81573109805646,653.8157310980564,653,direct,retrograde,2297535.237390328
287.20006920178145,287.20006920178145,287,retrograde,direct,2297676.479968708
305.27279198339534,665.2727919833953,665,direct,retrograde,2297912.340679925
298.64105872890485,298.64105872890485,298,retrograde,direct,2298053.2899493845
316.9046212972097,676.9046212972097,676,direct,retrograde,2298289.7854560353
310.250264864291,310.250264864291,310,retrograde,direct,2298430.2375280308
328.75883197461377,688.7588319746137,688,direct,retrograde,2298667.4955757363
322.07539235350396,322.07539235350396,322,retrograde,direct,2298807.239608637
340.8777170586295,700.8777170586295,700,direct,retrograde,2299045.4839733066
334.1588586060907,334.1588586060907,334,retrograde,direct,2299184.4644817095
353.2969824317509,713.2969824317508,713,direct,retrograde,2299423.8010607176
346.53878169119,346.53878169119,346,retrograde,direct,2299561.9139526878
6.045570481630008,366.04557048163,366,direct,retrograde,2299802.4052661452
359.2463973040224,359.2463973040224,359,retrograde,direct,2299939.667755414
19.137862823566987,379.137862823567,379,direct,retrograde,2300181.323629531
12.29705463600734,12.29705463600734,12,retrograde,direct,2300317.7493080003
32.56426648923674,392.56426648923673,392,direct,retrograde,2300560.568090422
25.68353652309389,25.68353652309389,25,retrograde,direct,2300696.085164127
46.29245344995863,406.29245344995866,406,direct,retrograde,2300940.0393392155
39.376275025242094,39.376275025242094,39,retrograde,direct,2301074.742011789
60.26962366950553,420.2696236695055,420,direct,retrograde,2301319.6246303096
53.32470328361851,53.32470328361851,53,retrograde,direct,2301453.7289622426
74.42232597806272,434.4223259780627,434,direct,retrograde,2301699.242818361
67.45726169846547,67.45726169846547,67,retrograde,direct,2301832.986449942
88.66255017035401,448.662550170354,448,direct,retrograde,2302078.8057226073
81.68738438331948,81.68738438331948,81,retrograde,direct,2302212.4027548544
102.89634304109524,462.89634304109524,462,direct,retrograde,2302458.2800282966
95.9214924925677,95.9214924925677,95,retrograde,direct,2302591.92834966
117.03046379347437,477.0304637934744,477,direct,retrograde,2302837.552979093
110.06601330366948,110.06601330366948,110,retrograde,direct,2302971.471036516
130.98179029466357,490.9817902946636,490,direct,retrograde,2303216.56280006
124.0377818622,124.0377818622,124,retrograde,direct,2303350.9468770837
144.68491524708722,504.68491524708725,504,direct,retrograde,2303595.2742159897
137.77027996150832,137.77027996150832,137,retrograde,direct,2303730.261189605
158.09364729108967,518.0936472910896,518,direct,retrograde,2303973.680062677
151.21528926542396,151.21528926542396,151,retrograde,direct,2304109.390825904
171.18229903595997,531.18229903596,531,direct,retrograde,2304351.7044449234
164.34511346145206,164.34511346145206,164,retrograde,direct,2304488.3088344
183.94491459842774,543.9449145984278,543,direct,retrograde,2304729.41685416
177.1511750078823,177.1511750078823,177,retrograde,direct,2304866.9656414026
196.38985289491208,556.3898528949121,556,direct,retrograde,2305106.9505405687
189.63925989509872,189.63925989509872,189,retrograde,direct,2305245.2598541128
208.53785868774347,568.5378586877434,568,direct,retrograde,2305484.175786767
201.82770230352796,201.82770230352796,201,retrograde,direct,2305623.2421960495
220.42157588999427,580.4215758899943,580,direct,retrograde,2305861.1752244635
213.74725360618316,213.74725360618316,213,retrograde,direct,2306001.0107625276
232.08055129521142,592.0805512952114,592,direct,retrograde,2306238.0414276356
225.43620334843402,225.43620334843402,225,retrograde,direct,2306378.514896605
243.56106510792586,603.5610651079259,603,direct,retrograde,2306614.788215873
236.93918144938385,236.93918144938385,236,retrograde,direct,2306755.7978674583
