directional_degree,physical_degree,navigation_cell,motion,jd_ut,civic_offset_seconds
50,50,50,direct,2297177.5564612555,502467
60,60,60,direct,2297187.9643283775,1401707
70,70,70,direct,2297198.4029857214,2303607
80,80,80,direct,2297208.8737646984,3208282
90,90,90,direct,2297219.3610396525,4114383
100,100,100,direct,2297229.8498956906,5020620
110,110,110,direct,2297240.3400941826,5926973
120,120,120,direct,2297250.812100997,6831755
130,130,130,direct,2297261.255866565,7734096
140,140,140,direct,2297271.6702584047,8633899
150,150,150,direct,2297282.036783371,9529567
160,160,160,direct,2297292.353264494,10420911
170,170,170,direct,2297302.6195773445,11307921
180,180,180,direct,2297312.822144051,12189422
190,190,190,direct,2297322.966436349,13065889
200,200,200,direct,2297333.0552838966,13937566
210,210,210,direct,2297343.0815192983,14803832
220,220,220,direct,2297353.0566774374,15665686
230,230,230,direct,2297362.9870471945,16523670
240,240,240,direct,2297372.8708613827,17377631
250,250,250,direct,2297382.7237680233,18228923
260,260,260,direct,2297392.5548649197,19078329
270,270,270,direct,2297402.365282098,19925949
280,280,280,direct,2297412.172575931,20773300
290,290,290,direct,2297421.987248772,21621287
300,300,300,direct,2297431.810547061,22470020
310,310,310,direct,2297441.6596228275,23320980
320,320,320,direct,2297451.5443768473,24175023
330,330,330,direct,2297461.4637750657,25032059
340,340,340,direct,2297471.4323887946,25893347
350,350,350,direct,2297481.4570660517,26759480
0,0,0,direct,2297491.532827965,27630025
10,10,10,direct,2297501.6700818874,28505884
20,20,20,direct,2297511.869891298,29387148
30,30,30,direct,2297522.1227934994,30272998
40,40,40,direct,2297532.4347362984,31163950
50,50,50,direct,2297542.798590656,32059387
60,60,60,direct,2297553.2015278153,32958201
70,70,70,direct,2297563.6458603526,33860591
80,80,80,direct,2297574.11628608,34765236
90,90,90,direct,2297584.5994471973,35670981
100,100,100,direct,2297595.0948138814,36577781
110,110,110,direct,2297605.5822416884,37483895
120,120,120,direct,2297616.052109427,38388491
130,130,130,direct,2297626.5017765705,39291343
140,140,140,direct,2297636.911328907,40190728
150,150,150,direct,2297647.27805504,41086413
160,160,160,direct,2297657.599307115,41978169
170,170,170,direct,2297667.859809547,42864677
180,180,180,direct,2297678.0641361843,43746330
190,190,190,direct,2297688.21195068,44623102
200,200,200,direct,2297698.2948495755,45494264
210,210,210,direct,2297708.323685598,46360755
220,220,220,direct,2297718.3014480816,47222834
230,230,230,direct,2297728.2259281473,48080309
240,240,240,direct,2297738.112772038,48934533
250,250,250,direct,2297747.968052684,49786029
260,260,260,direct,2297757.7932987036,50634930
270,270,270,direct,2297767.6068868265,51482824
280,280,280,direct,2297777.4169186624,52330411
290,290,290,direct,2297787.2258002525,53177898
300,300,300,direct,2297797.0522655332,54026905
310,310,310,direct,2297806.9046405237,54878150
320,320,320,direct,2297816.7837173725,55731702
330,330,330,direct,2297826.7062608954,56589010
340,340,340,direct,2297836.678362785,57450600
350,350,350,direct,2297846.697431678,58316247
0,0,0,direct,2297856.7763655437,59187067
10,10,10,direct,2297866.916178438,60063147
20,20,20,direct,2297877.1101950686,60943910
30,30,30,direct,2297887.366645981,61830067
40,40,40,direct,2297897.678939704,62721049
50,50,50,direct,2297908.0369556374,63615982
60,60,60,direct,2297918.444411222,64515186
70,70,70,direct,2297928.88653718,65417386
80,80,80,direct,2297939.3520221347,66321604
90,90,90,direct,2297949.8404248836,67227802
100,100,100,direct,2297960.3315071957,68134231
110,110,110,direct,2297970.816476457,69040133
120,120,120,direct,2297981.291446802,69945170
130,130,130,direct,2297991.7355272938,70847539
140,140,140,direct,2298002.145638044,71746972
150,150,150,direct,2298012.516788751,72643040
160,160,160,direct,2298022.8322784025,73534298
170,170,170,direct,2298033.0955620324,74421046
180,180,180,direct,2298043.3032800024,75302992
190,190,190,direct,2298053.4458536897,76179311
200,200,200,direct,2298063.5328811943,77050830
210,210,210,direct,2298073.564115306,77917529
220,220,220,direct,2298083.5369267403,78779179
230,230,230,direct,2298093.4661573023,79637065
240,240,240,direct,2298103.3548712227,80491450
250,250,250,direct,2298113.205025723,81342503
260,260,260,direct,2298123.0349854818,82191812
270,270,270,direct,2298132.850386588,83039862
280,280,280,direct,2298142.6548752105,83886970
290,290,290,direct,2298152.4680234855,84734826
300,300,300,direct,2298162.296440216,85584001
310,310,310,direct,2298172.1428840426,86434734
320,320,320,direct,2298182.0257289503,87288612
330,330,330,direct,2298191.9501812914,88146085
340,340,340,direct,2298201.916217072,89007150
350,350,350,direct,2298211.938929109,89873112
0,0,0,direct,2298222.0192115735,90744049
10,10,10,direct,2298232.153293509,91619634
20,20,20,direct,2298242.3516291687,92500770
30,30,30,direct,2298252.608091676,93386928
40,40,40,direct,2298262.9153645085,94277477
50,50,50,direct,2298273.278778307,95172875
60,60,60,direct,2298283.6842196197,96071906
70,70,70,direct,2298294.122609183,96973782
80,80,80,direct,2298304.593976302,97878509
90,90,90,direct,2298315.0783618223,98784359
100,100,100,direct,2298325.56814008,99690676
110,110,110,direct,2298336.058526416,100597046
120,120,120,direct,2298346.528103917,101501617
130,130,130,direct,2298356.973736254,102404120
140,140,140,direct,2298367.3882560288,103303934
150,150,150,direct,2298377.753886906,104199525
160,160,160,direct,2298388.0729883667,105091095
170,170,170,direct,2298398.3392705605,105978102
180,180,180,direct,2298408.5421223016,106859628
190,190,190,direct,2298418.6895237784,107736364
200,200,200,direct,2298428.778012234,108608009
210,210,210,direct,2298438.8045818824,109474305
220,220,220,direct,2298448.78254762,110336401
230,230,230,direct,2298458.7120245555,111194308
240,240,240,direct,2298468.5954787238,112048238
