directional_degree,physical_degree,navigation_cell,motion,jd_ut,civic_offset_seconds
20.6,20.6,20,direct,2297175.5347217107,327789
380.6,20.600000000000023,380,retrograde,2297177.555079974,502348
380.5,20.5,380,retrograde,2297179.6552428654,683802
380.4,20.399999999999977,380,retrograde,2297180.9039808777,791693
380.3,20.30000000000001,380,retrograde,2297182.045185464,890293
380.2,20.19999999999999,380,retrograde,2297183.310059821,999578
380.1,20.100000000000023,380,retrograde,2297185.695039422,1205640
20.1,20.1,20,direct,2297186.7815208924,1299512
380.1,20.100000000000023,380,retrograde,2297192.8165065493,1820935
380,20,380,retrograde,2297193.959945349,1919728
379.9,19.899999999999977,379,retrograde,2297194.8320787703,1995081
379.8,19.80000000000001,379,retrograde,2297195.608757791,2062186
379.7,19.69999999999999,379,retrograde,2297196.359849603,2127080
379.6,19.600000000000023,379,retrograde,2297197.138981059,2194397
379.5,19.5,379,retrograde,2297198.0227078176,2270751
379.4,19.399999999999977,379,retrograde,2297199.2342520133,2375428
379.3,19.30000000000001,379,retrograde,2297205.9048204776,2951766
379.2,19.19999999999999,379,retrograde,2297206.961655825,3043076
379.1,19.100000000000023,379,retrograde,2297207.7306491374,3109517
379,19,379,retrograde,2297208.387266855,3166249
378.9,18.899999999999977,378,retrograde,2297208.9894720702,3218279
378.8,18.80000000000001,378,retrograde,2297209.5674809455,3268219
378.7,18.69999999999999,378,retrograde,2297210.14267469,3317916
378.6,18.600000000000023,378,retrograde,2297210.7352483985,3369114
378.5,18.5,378,retrograde,2297211.370604718,3424009
378.4,18.399999999999977,378,retrograde,2297212.0911672213,3486266
378.3,18.30000000000001,378,retrograde,2297212.996540255,3564490
378.2,18.19999999999999,378,retrograde,2297214.6010996797,3703124
378.1,18.100000000000023,378,retrograde,2297220.2927047703,4194879
378,18,378,retrograde,2297221.266910422,4279050
377.9,17.899999999999977,377,retrograde,2297221.9921026453,4341707
377.8,17.80000000000001,377,retrograde,2297222.61033556,4395122
377.7,17.69999999999999,377,retrograde,2297223.1729136263,4443729
377.6,17.600000000000023,377,retrograde,2297223.706914097,4489866
377.5,17.5,377,retrograde,2297224.2308359244,4535133
377.4,17.399999999999977,377,retrograde,2297224.7607972645,4580922
377.3,17.30000000000001,377,retrograde,2297225.314809274,4628789
377.2,17.19999999999999,377,retrograde,2297225.918675921,4680963
377.1,17.100000000000023,377,retrograde,2297226.620490787,4741599
377,17,377,retrograde,2297227.5506494027,4821965
376.9,16.899999999999977,376,retrograde,2297231.8164834934,5190533
376.8,16.80000000000001,376,retrograde,2297233.8340200568,5364848
376.7,16.69999999999999,376,retrograde,2297234.7129834457,5440791
376.6,16.600000000000023,376,retrograde,2297235.3817291004,5498570
376.5,16.5,376,retrograde,2297235.95385626,5548002
376.4,16.399999999999977,376,retrograde,2297236.4724023077,5592805
376.3,16.30000000000001,376,retrograde,2297236.959777223,5634914
376.2,16.19999999999999,376,retrograde,2297237.4302303963,5675561
376.1,16.100000000000023,376,retrograde,2297237.8944768403,5715672
376,16,376,retrograde,2297238.3620071043,5756066
375.9,15.899999999999977,375,retrograde,2297238.8427364337,5797601
375.8,15.800000000000011,375,retrograde,2297239.3488477753,5841329
375.7,15.699999999999989,375,retrograde,2297239.897888361,5888767
375.6,15.600000000000023,375,retrograde,2297240.5198388724,5942503
375.5,15.5,375,retrograde,2297241.279029632,6008097
375.4,15.399999999999977,375,retrograde,2297242.3901590253,6104099
375.3,15.300000000000011,375,retrograde,2297247.6766465753,6560851
375.2,15.199999999999989,375,retrograde,2297249.0271014287,6677531
375.1,15.100000000000023,375,retrograde,2297249.8666831125,6750070
375,15,375,retrograde,2297250.545251436,6808699
374.9,14.899999999999977,374,retrograde,2297251.147364717,6860721
374.8,14.800000000000011,374,retrograde,2297251.7111674,6909434
374.7,14.699999999999989,374,retrograde,2297252.2603843575,6956886
374.6,14.600000000000023,374,retrograde,2297252.814560129,7004767
374.5,14.5,374,retrograde,2297253.3951417105,7054929
374.4,14.399999999999977,374,retrograde,2297254.0335400566,7110087
374.3,14.300000000000011,374,retrograde,2297254.7925883736,7175669
374.2,14.199999999999989,374,retrograde,2297255.8788921074,7269525
374.1,14.100000000000023,374,retrograde,2297261.550735288,7759573
374,14,374,retrograde,2297262.7458944633,7862834
373.9,13.899999999999977,373,retrograde,2297263.552920456,7932561
373.8,13.800000000000011,373,retrograde,2297264.2239426603,7990538
373.7,13.699999999999989,373,retrograde,2297264.8290460897,8042819
373.6,13.600000000000023,373,retrograde,2297265.401466707,8092276
373.5,13.5,373,retrograde,2297265.962438899,8140744
373.4,13.399999999999977,373,retrograde,2297266.529573398,8189744
373.3,13.300000000000011,373,retrograde,2297267.121814081,8240914
373.2,13.199999999999989,373,retrograde,2297267.7654739786,8296526
373.1,13.100000000000023,373,retrograde,2297268.5081263534,8360691
373,13,373,retrograde,2297269.473304202,8444083
372.9,12.899999999999977,372,retrograde,2297277.235278743,9114717
372.8,12.800000000000011,372,retrograde,2297278.571519336,9230168
372.7,12.699999999999989,372,retrograde,2297279.545322491,9314305
372.6,12.600000000000023,372,retrograde,2297280.4260283126,9390398
372.5,12.5,372,retrograde,2297281.32067256,9467695
372.4,12.399999999999977,372,retrograde,2297282.3565947767,9557199
372.3,12.300000000000011,372,retrograde,2297284.102596122,9708053
12.3,12.3,12,direct,2297286.3198262914,9899622
372.3,12.300000000000011,372,retrograde,2297290.89721548,10295108
372.2,12.199999999999989,372,retrograde,2297292.4325337564,10427760
372.1,12.100000000000023,372,retrograde,2297293.6051524733,10529074
372,12,372,retrograde,2297294.739918166,10627118
371.9,11.899999999999977,371,retrograde,2297296.0406175777,10739498
371.8,11.800000000000011,371,retrograde,2297298.607325506,10961262
11.8,11.8,11,direct,2297299.6408387204,11050557
11.9,11.9,11,direct,2297304.24028181,11447949
371.9,11.899999999999977,371,retrograde,2297305.577467803,11563482
371.8,11.800000000000011,371,retrograde,2297309.230147041,11879074
