physical_degree,directional_degree_after,navigation_cell_after,lane_before,lane_after,jd_ut
302.97411644516836,662.9741164451684,662,direct,retrograde,2297174.111595289
299.03192203396054,299.03192203396054,299,retrograde,direct,2297328.4743460827
307.03897586068035,667.0389758606804,667,direct,retrograde,2297543.5465861736
303.1024392492542,303.1024392492542,303,retrograde,direct,2297697.824968417
311.08875625006215,671.0887562500621,671,direct,retrograde,2297912.908121477
307.1581675080415,307.1581675080415,307,retrograde,direct,2298067.2070809416
315.12602552384936,675.1260255238494,675,direct,retrograde,2298282.335535229
311.2000793053725,311.2000793053725,311,retrograde,direct,2298436.530202819
319.15161932616354,679.1516193261635,679,direct,retrograde,2298651.683163668
315.23000235433483,315.23000235433483,315,retrograde,direct,2298805.8625605516
323.1669896035489,683.1669896035489,683,direct,retrograde,2299021.0978885675
319.24756406165665,319.24756406165665,319,retrograde,direct,2299175.176384122
327.17188868399853,687.1718886839985,687,direct,retrograde,2299390.440245933
323.25386878027973,323.25386878027973,323,retrograde,direct,2299544.4750077697
331.1669442947446,691.1669442947446,691,direct,retrograde,2299759.810399579
327.2482835632943,327.2482835632943,327,retrograde,direct,2299913.76501578
335.1522177606498,695.1522177606498,695,direct,retrograde,2300129.1427603588
331.2322664917899,331.2322664917899,331,retrograde,direct,2300283.05100251
339.12920580582414,699.1292058058241,699,direct,retrograde,2300498.484762501
335.20675174973843,335.20675174973843,335,retrograde,direct,2300652.29161112
343.099168346513,703.099168346513,703,direct,retrograde,2300867.8117049625
339.1747085755508,339.1747085755508,339,retrograde,direct,2301021.5591524374
347.0658313211834,707.0658313211834,707,direct,retrograde,2301237.147999945
343.13907113499465,343.13907113499465,343,retrograde,direct,2301390.745891731
351.0315413893018,711.0315413893018,711,direct,retrograde,2301606.4826823883
347.10332750619216,347.10332750619216,347,retrograde,direct,2301760.0044902675
355.000058552503,715.000058552503,715,direct,retrograde,2301975.8463794477
351.0699144583665,351.0699144583665,351,retrograde,direct,2302129.169745703
358.9736527885802,718.9736527885802,718,direct,retrograde,2302345.1940198326
355.04263070475815,355.04263070475815,355,retrograde,direct,2302498.415092256
2.9560397062507713,362.95603970625075,362,direct,retrograde,2302714.5918048304
359.02330563651157,359.02330563651157,359,retrograde,direct,2302867.5886563463
6.949022763146941,366.94902276314696,366,direct,retrograde,2303083.9475853937
3.0148994064967294,3.0148994064967294,3,retrograde,direct,2303236.8235913888
10.955162982175334,370.95516298217535,370,direct,retrograde,2303453.3708365373
7.01815343744369,7.01815343744369,7,retrograde,direct,2303606.0277295057
14.974851562036116,374.9748515620361,374,direct,retrograde,2303822.7470627204
11.03434277931409,11.03434277931409,11,retrograde,direct,2303975.2756604813
19.009214687292904,379.0092146872929,379,direct,retrograde,2304192.1569291633
15.063256740418533,15.063256740418533,15,retrograde,direct,2304344.51230737
23.057507859771672,383.05750785977165,383,direct,retrograde,2304561.577027197
19.105006225588767,19.105006225588767,19,retrograde,direct,2304713.79882376
27.120051268202623,387.12005126820264,387,direct,retrograde,2304930.9728169665
23.15944008468908,23.15944008468908,23,retrograde,direct,2305083.047670556
31.197083322528794,391.1970833225288,391,direct,retrograde,2305300.4302920233
27.228322397245424,27.228322397245424,27,retrograde,direct,2305452.3673178386
35.290551757428474,395.2905517574285,395,direct,retrograde,2305669.842982989
31.3127404345847,31.3127404345847,31,retrograde,direct,2305821.6283280533
39.40148827718969,399.4014882771897,399,direct,retrograde,2306039.3425341165
35.41529684706073,35.41529684706073,35,retrograde,direct,2306190.9704216514
43.53273471617396,403.532734716174,403,direct,retrograde,2306408.808861848
39.53793847330557,39.53793847330557,39,retrograde,direct,2306560.259024662
47.685969447173335,407.6859694471733,407,direct,retrograde,2306778.361052434
43.68376481823821,43.68376481823821,43,retrograde,direct,2306929.631492636
51.86458520426551,411.8645852042655,411,direct,retrograde,2307147.884025734
47.85505003868907,47.85505003868907,47,retrograde,direct,2307298.950798344
56.07052982545701,416.070529825457,416,direct,retrograde,2307517.508825953
52.05465835508648,52.05465835508648,52,retrograde,direct,2307668.3787681656
60.3065218660311,420.3065218660311,420,direct,retrograde,2307887.082027548
56.284338115017334,56.284338115017334,56,retrograde,direct,2308037.7386907255
64.5741900473342,424.5741900473342,424,direct,retrograde,2308256.7844812097
60.54588069460142,60.54588069460142,60,retrograde,direct,2308407.2360657677
68.87453990471363,428.87453990471363,428,direct,retrograde,2308626.3989617154
64.83906449211821,64.83906449211821,64,retrograde,direct,2308776.657787321
73.20671232132457,433.2067123213246,433,direct,retrograde,2308996.1655752836
69.16339442137794,69.16339442137794,69,retrograde,direct,2309146.225552408
77.57010683929352,437.57010683929354,437,direct,retrograde,2309365.8237344734
73.51796024671812,73.51796024671812,73,retrograde,direct,2309515.7273954656
81.96355682795219,441.9635568279522,441,direct,retrograde,2309735.6179657606
77.90222094155301,77.90222094155301,77,retrograde,direct,2309885.3578225933
86.386475519439,446.386475519439,446,direct,retrograde,2310105.316217266
82.31523765273039,82.31523765273039,82,retrograde,direct,2310254.9341633087
90.83795719359931,450.8379571935993,450,direct,retrograde,2310475.138161215
86.75707837747994,86.75707837747994,86,retrograde,direct,2310624.6346552484
95.31764531549268,455.31764531549265,455,direct,retrograde,2310844.8700350653
91.22739189282338,91.22739189282338,91,retrograde,direct,2310994.2967627533
99.82547898934554,459.8254789893455,459,direct,retrograde,2311214.7148449244
95.72643813511036,95.72643813511036,95,retrograde,direct,2311364.0607795585
