directional_degree,physical_degree,navigation_cell,motion,jd_ut,civic_offset_seconds
662.8,302.79999999999995,662,retrograde,2297194.97840309,2007723
662.6,302.6,662,retrograde,2297204.982779562,2872101
662.4000000000001,302.4000000000001,662,retrograde,2297212.73920113,3542256
662.2,302.20000000000005,662,retrograde,2297219.410530204,4118659
662,302,662,retrograde,2297225.4538905807,4640805
661.8,301.79999999999995,661,retrograde,2297231.081213812,5127006
661.6,301.6,661,retrograde,2297236.4418141562,5590162
661.4000000000001,301.4000000000001,661,retrograde,2297241.621036028,6037647
661.2,301.20000000000005,661,retrograde,2297246.681570299,6474877
661,301,661,retrograde,2297251.690660441,6907662
660.8,300.79999999999995,660,retrograde,2297256.694318176,7339978
660.6,300.6,660,retrograde,2297261.7493528905,7776733
660.4000000000001,300.4000000000001,660,retrograde,2297266.9195368974,8223437
660.2,300.20000000000005,660,retrograde,2297272.2606690144,8684911
660,300,660,retrograde,2297277.8722283556,9169750
659.8,299.79999999999995,659,retrograde,2297283.8875229303,9689471
659.6,299.6,659,retrograde,2297290.5339152585,10263719
659.4000000000001,299.4000000000001,659,retrograde,2297298.257405847,10931029
659.2,299.20000000000005,659,retrograde,2297308.272316929,11796317
299.2,299.2,299,direct,2297348.324784327,15256850
299.40000000000003,299.40000000000003,299,direct,2297357.940927545,16087685
299.6,299.6,299,direct,2297365.2098072083,16715716
299.8,299.8,299,direct,2297371.3574513863,17246873
300,300,300,direct,2297376.8112319014,17718079
300.2,300.2,300,direct,2297381.804291415,18149480
300.40000000000003,300.40000000000003,300,direct,2297386.453023881,18551130
300.6,300.6,300,direct,2297390.839227317,18930098
300.8,300.8,300,direct,2297395.0237616845,19291642
301,301,301,direct,2297399.039752941,19638624
301.2,301.2,301,direct,2297402.9193825363,19973824
301.40000000000003,301.40000000000003,301,direct,2297406.693470801,20299905
301.6,301.6,301,direct,2297410.3796690404,20618392
301.8,301.8,301,direct,2297413.99122301,20930431
302,302,302,direct,2297417.543211096,21237322
302.2,302.2,302,direct,2297421.050871431,21540384
302.40000000000003,302.40000000000003,302,direct,2297424.5216095513,21840256
302.6,302.6,302,direct,2297427.962287001,22137531
302.8,302.8,302,direct,2297431.385921725,22433333
303,303,303,direct,2297434.8050853787,22728748
303.2,303.2,303,direct,2297438.2243850324,23024176
303.40000000000003,303.40000000000003,303,direct,2297441.6502639763,23320172
303.6,303.6,303,direct,2297445.093476075,23617665
303.8,303.8,303,direct,2297448.565809928,23917675
304,304,304,direct,2297452.0731622675,24220710
304.2,304.2,304,direct,2297455.623364017,24527448
304.40000000000003,304.40000000000003,304,direct,2297459.232655685,24839290
304.6,304.6,304,direct,2297462.916545752,25157579
304.8,304.8,304,direct,2297466.687803574,25483415
305,305,305,direct,2297470.563282346,25818257
305.2,305.2,305,direct,2297474.569670094,26164409
305.40000000000003,305.40000000000003,305,direct,2297478.735572001,26524342
305.6,305.6,305,direct,2297483.0902829343,26900589
305.8,305.8,305,direct,2297487.692639626,27298233
306,306,306,direct,2297492.617275369,27723722
306.2,306.2,306,direct,2297497.9655923345,28185816
306.40000000000003,306.40000000000003,306,direct,2297503.925524254,28700754
306.6,306.6,306,direct,2297510.8197662476,29296417
306.8,306.8,306,direct,2297519.4774376196,30044440
307,307,307,direct,2297533.881007982,31288908
667,307,667,retrograde,2297553.3510101917,32971116
666.8,306.79999999999995,666,retrograde,2297568.081725596,34243850
666.6,306.6,666,retrograde,2297577.12450168,35025146
666.4000000000001,306.4000000000001,666,retrograde,2297584.4586468884,35658816
666.2,306.20000000000005,666,retrograde,2297590.903219012,36215627
666,306,666,retrograde,2297596.807272094,36725737
665.8,305.79999999999995,665,retrograde,2297602.343011425,37204025
665.6,305.6,665,retrograde,2297607.640525645,37661730
665.4000000000001,305.4000000000001,665,retrograde,2297612.774999528,38105349
665.2,305.20000000000005,665,retrograde,2297617.82050715,38541281
665,305,665,retrograde,2297622.834171996,38974461
664.8,304.79999999999995,664,retrograde,2297627.8556688437,39408319
664.6,304.6,664,retrograde,2297632.9477436584,39848274
664.4000000000001,304.4000000000001,664,retrograde,2297638.1688402607,40299377
664.2,304.20000000000005,664,retrograde,2297643.5934032225,40768059
664,304,664,retrograde,2297649.339709366,41264540
663.8,303.79999999999995,663,retrograde,2297655.546290307,41800789
663.6,303.6,663,retrograde,2297662.5030099605,42401849
663.4000000000001,303.4000000000001,663,retrograde,2297670.7999455524,43118704
663.2,303.20000000000005,663,retrograde,2297682.552745637,44134146
303.2,303.2,303,direct,2297712.9678314906,46762010
303.40000000000003,303.40000000000003,303,direct,2297724.33016785,47743716
303.6,303.6,303,direct,2297732.1914843908,48422933
303.8,303.8,303,direct,2297738.67026466,48982700
304,304,304,direct,2297744.3427873193,49472806
304.2,304.2,304,direct,2297749.4888512427,49917426
304.40000000000003,304.40000000000003,304,direct,2297754.250769056,50328855
304.6,304.6,304,direct,2297758.7214099523,50715119
304.8,304.8,304,direct,2297762.975339743,51082658
305,305,305,direct,2297767.0521384072,51434894
305.2,305.2,305,direct,2297770.9841288636,51774618
305.40000000000003,305.40000000000003,305,direct,2297774.801241494,52104416
305.6,305.6,305,direct,2297778.5243093087,52426089
305.8,305.8,305,direct,2297782.165100097,52740654
306,306,306,direct,2297785.740600996,53049577
306.2,306.2,306,direct,2297789.268931748,53354425
306.40000000000003,306.40000000000003,306,direct,2297792.758840832,53655953
306.6,306.6,306,direct,2297796.218245241,53954845
306.8,306.8,306,direct,2297799.657623438,54252008
307,307,307,direct,2297803.0873375833,54548335
307.20000000000005,307.20000000000005,307,direct,2297806.5187080866,54844805
307.40000000000003,307.40000000000003,307,direct,2297809.949638553,55141238
307.6,307.6,307,direct,2297813.3949055057,55438909
307.8,307.8,307,direct,2297816.867309657,55738925
308,308,308,direct,2297820.373993248,56041902
308.20000000000005,308.20000000000005,308,direct,2297823.923208978,56348554
308.40000000000003,308.40000000000003,308,direct,2297827.527922104,56660001
308.6,308.6,308,direct,2297831.2036110857,56977581
308.8,308.8,308,direct,2297834.9614942092,57302262
309,309,309,direct,2297838.8157725898,57635272
309.20000000000005,309.20000000000005,309,direct,2297842.7948656334,57979065
309.40000000000003,309.40000000000003,309,direct,2297846.9271691907,58336096
309.6,309.6,309,direct,2297851.2429568656,58708980
309.8,309.8,309,direct,2297855.7915454824,59101979
310,310,310,direct,2297860.6426089,59521110
310.20000000000005,310.20000000000005,310,direct,2297865.879961674,59973618
310.40000000000003,310.40000000000003,310,direct,2297871.6724711624,60474091
310.6,310.6,310,direct,2297878.3044797396,61047096
310.8,310.8,310,direct,2297886.4116405747,61747555
311,311,311,direct,2297898.257864751,62771069
671,311,671,retrograde,2297927.817572454,65325027
670.8,310.79999999999995,670,retrograde,2297940.020510059,66379361
670.6,310.6,670,retrograde,2297948.521364726,67113835
670.4000000000001,310.4000000000001,670,retrograde,2297955.595887291,67725074
670.2,310.20000000000005,670,retrograde,2297961.8882002896,68268730
670,310,670,retrograde,2297967.6841497333,68769500
669.8,309.79999999999995,669,retrograde,2297973.1575062745,69242398
669.6,309.6,669,retrograde,2297978.419272303,69697014
669.4000000000001,309.4000000000001,669,retrograde,2297983.5321861445,70138770
669.2,309.20000000000005,669,retrograde,2297988.568970034,70573948
669,309,669,retrograde,2297993.5790535244,71006819
668.8,308.79999999999995,668,retrograde,2297998.6159129143,71442004
668.6,308.6,668,retrograde,2298003.7472142996,71885348
668.4000000000001,308.4000000000001,668,retrograde,2298009.0210474622,72341008
668.2,308.20000000000005,668,retrograde,2298014.5251397244,72816561
668,308,668,retrograde,2298020.3747345596,73321966
667.8,307.79999999999995,667,retrograde,2298026.7500845,73872796
667.6,307.6,667,retrograde,2298034.0054834853,74499663
667.4000000000001,307.4000000000001,667,retrograde,2298042.9084653594,75268880
667.2,307.20000000000005,667,retrograde,2298057.224401048,76505777
307.20000000000005,307.20000000000005,307,direct,2298077.1372860065,78226251
307.40000000000003,307.40000000000003,307,direct,2298091.0646976326,79429579
307.6,307.6,307,direct,2298099.552218603,80162901
307.8,307.8,307,direct,2298106.340882695,80749441
308,308,308,direct,2298112.197810668,81255480
308.20000000000005,308.20000000000005,308,direct,2298117.4709835155,81711082
308.40000000000003,308.40000000000003,308,direct,2298122.3320242926,82131076
308.6,308.6,308,direct,2298126.8832443557,82524301
308.8,308.8,308,direct,2298131.1999876453,82897268
309,309,309,direct,2298135.3280247077,83253930
309.20000000000005,309.20000000000005,309,direct,2298139.2984351227,83596974
309.40000000000003,309.40000000000003,309,direct,2298143.147943154,83929571
309.6,309.6,309,direct,2298146.899837447,84253735
309.8,309.8,309,direct,2298150.568164502,84570678
310,310,310,direct,2298154.1694550086,84881830
310.20000000000005,310.20000000000005,310,direct,2298157.719189343,85188527
310.40000000000003,310.40000000000003,310,direct,2298161.2276826072,85491661
310.6,310.6,310,direct,2298164.7012365703,85791776
310.8,310.8,310,direct,2298168.150447,86089788
311,311,311,direct,2298171.5894778855,86386920
311.20000000000005,311.20000000000005,311,direct,2298175.028539193,86684055
311.40000000000003,311.40000000000003,311,direct,2298178.467977946,86981222
311.6,311.6,311,direct,2298181.921479657,87279605
311.8,311.8,311,direct,2298185.399385432,87580096
312,312,312,direct,2298188.9093969795,87883361
312.20000000000005,312.20000000000005,312,direct,2298192.4575786707,88189924
312.40000000000003,312.40000000000003,312,direct,2298196.0569945388,88500913
312.6,312.6,312,direct,2298199.7257246566,88817892
312.8,312.8,312,direct,2298203.475162316,89141843
313,313,313,direct,2298207.3210627767,89474129
313.20000000000005,313.20000000000005,313,direct,2298211.2876705974,89816844
313.40000000000003,313.40000000000003,313,direct,2298215.4016886465,90172295
313.6,313.6,313,direct,2298219.6892367955,90542739
313.8,313.8,313,direct,2298224.196386208,90932157
314,314,314,direct,2298228.99337569,91346617
314.20000000000005,314.20000000000005,314,direct,2298234.1626988743,91793246
314.40000000000003,314.40000000000003,314,direct,2298239.8537787013,92284956
314.6,314.6,314,direct,2298246.3149381517,92843200
314.8,314.8,314,direct,2298254.0686148973,93513117
315,315,315,direct,2298264.8104188386,94441209
675,315,675,retrograde,2298300.0850271867,97488935
674.8,314.79999999999995,674,retrograde,2298311.1944456724,98448789
674.6,314.6,674,retrograde,2298319.3523377148,99153631
674.4000000000001,314.4000000000001,674,retrograde,2298326.247806876,99749400
674.2,314.20000000000005,674,retrograde,2298332.4462023294,100284941
674,314,674,retrograde,2298338.179907051,100780333
673.8,313.79999999999995,673,retrograde,2298343.6118845916,101249656
673.6,313.6,673,retrograde,2298348.8370252657,101701108
673.4000000000001,313.4000000000001,673,retrograde,2298353.9324926464,102141356
673.2,313.20000000000005,673,retrograde,2298358.970251311,102576619
673,313,673,retrograde,2298363.988833831,103010224
672.8,312.79999999999995,672,retrograde,2298369.045843739,103447150
672.6,312.6,672,retrograde,2298374.198022455,103892298
672.4000000000001,312.4000000000001,672,retrograde,2298379.508018979,104351082
672.2,312.20000000000005,672,retrograde,2298385.0785956727,104832380
672,312,672,retrograde,2298391.0260235737,105346237
671.8,311.79999999999995,671,retrograde,2298397.5532587217,105910191
671.6,311.6,671,retrograde,2298405.0461422363,106557576
671.4000000000001,311.4000000000001,671,retrograde,2298414.531681556,107377126
311.40000000000003,311.40000000000003,311,direct,2298458.225860203,111152303
311.6,311.6,311,direct,2298467.296622853,111936017
311.8,311.8,311,direct,2298474.343757836,112544890
312,312,312,direct,2298480.3658648855,113065200
312.20000000000005,312.20000000000005,312,direct,2298485.7522095223,113530580
312.40000000000003,312.40000000000003,312,direct,2298490.6951864986,113957653
312.6,312.6,312,direct,2298495.3034111047,114355804
312.8,312.8,312,direct,2298499.6656883033,114732704
313,313,313,direct,2298503.8325932226,115092725
313.20000000000005,313.20000000000005,313,direct,2298507.839868206,115438954
313.40000000000003,313.40000000000003,313,direct,2298511.721257035,115774306
313.6,313.6,313,direct,2298515.499764827,116100769
313.8,313.8,313,direct,2298519.189983697,116419604
314,314,314,direct,2298522.8069490395,116732109
314.20000000000005,314.20000000000005,314,direct,2298526.370644237,117040013
314.40000000000003,314.40000000000003,314,direct,2298529.8921000594,117344266
314.6,314.6,314,direct,2298533.3788984893,117645526
314.8,314.8,314,direct,2298536.8427464454,117944802
315,315,315,direct,2298540.294162577,118243005
315.20000000000005,315.20000000000005,315,direct,2298543.743545801,118541031
315.40000000000003,315.40000000000003,315,direct,2298547.190179019,118838820
315.6,315.6,315,direct,2298550.646923853,119137483
315.8,315.8,315,direct,2298554.127346095,119438192
316,316,316,direct,2298557.639275759,119741622
316.20000000000005,316.20000000000005,316,direct,2298561.190236369,120048425
316.40000000000003,316.40000000000003,316,direct,2298564.793926494,120359784
316.6,316.6,316,direct,2298568.4642700083,120676902
316.8,316.8,316,direct,2298572.212754537,121000771
317,317,317,direct,2298576.0524309007,121332519
317.20000000000005,317.20000000000005,317,direct,2298580.0074182325,121674230
317.40000000000003,317.40000000000003,317,direct,2298584.107430103,122028471
317.6,317.6,317,direct,2298588.3789969576,122397534
317.8,317.8,317,direct,2298592.8689901875,122785470
318,318,318,direct,2298597.6389530925,123197595
318.20000000000005,318.20000000000005,318,direct,2298602.764510864,123640443
318.40000000000003,318.40000000000003,318,direct,2298608.382221979,124125813
318.6,318.6,318,direct,2298614.732177136,124674449
318.8,318.8,318,direct,2298622.2923570476,125327649
319,319,319,direct,2298632.444430251,126204788
679,319,679,retrograde,2298671.2649167376,129558878
678.8,318.79999999999995,678,retrograde,2298681.7551419856,130465233
678.6,318.6,678,retrograde,2298689.7181487186,131153237
678.4000000000001,318.4000000000001,678,retrograde,2298696.513446467,131740351
678.2,318.20000000000005,678,retrograde,2298702.6363731823,132269372
678,318,678,retrograde,2298708.3220724883,132760616
677.8,317.79999999999995,677,retrograde,2298713.7299459907,133227856
677.6,317.6,677,retrograde,2298718.9420980145,133678186
677.4000000000001,317.4000000000001,677,retrograde,2298724.0330124507,134118041
677.2,317.20000000000005,677,retrograde,2298729.062414083,134552582
677,317,677,retrograde,2298734.0794821726,134986056
676.8,316.79999999999995,676,retrograde,2298739.1488377657,135424049
676.6,316.6,676,retrograde,2298744.3268285836,135871427
676.4000000000001,316.4000000000001,676,retrograde,2298749.673320776,136333364
676.2,316.20000000000005,676,retrograde,2298755.287987422,136818471
676,316,676,retrograde,2298761.2945958283,137337442
675.8,315.79999999999995,675,retrograde,2298767.934504542,137911130
675.6,315.6,675,retrograde,2298775.6373038525,138576652
675.4000000000001,315.4000000000001,675,retrograde,2298785.606118888,139437958
315.40000000000003,315.40000000000003,315,direct,2298825.8674703347,142916538
315.6,315.6,315,direct,2298835.442342376,143743807
315.8,315.8,315,direct,2298842.7096200706,144371700
316,316,316,direct,2298848.8537386986,144902552
316.20000000000005,316.20000000000005,316,direct,2298854.315187492,145374421
316.40000000000003,316.40000000000003,316,direct,2298859.3156309933,145806460
316.6,316.6,316,direct,2298863.9735018243,146208900
316.8,316.8,316,direct,2298868.3767458433,146589340
317,317,317,direct,2298872.5760685317,146952161
317.20000000000005,317.20000000000005,317,direct,2298876.6076179394,147300487
317.40000000000003,317.40000000000003,317,direct,2298880.5073549175,147637424
317.6,317.6,317,direct,2298884.302889196,147965359
317.8,317.8,317,direct,2298888.0091253156,148285577
318,318,318,direct,2298891.644023274,148599633
318.20000000000005,318.20000000000005,318,direct,2298895.224238405,148908963
318.40000000000003,318.40000000000003,318,direct,2298898.759608322,149214419
318.6,318.6,318,direct,2298902.257842858,149516667
318.8,318.8,318,direct,2298905.7292595035,149816597
319,319,319,direct,2298909.187279034,150115370
319.20000000000005,319.20000000000005,319,direct,2298912.6431869008,150413960
319.40000000000003,319.40000000000003,319,direct,2298916.096642216,150712339
319.6,319.6,319,direct,2298919.5631065993,151011841
319.8,319.8,319,direct,2298923.0523739117,151313314
320,320,320,direct,2298926.5712955017,151617349
320.20000000000005,320.20000000000005,320,direct,2298930.127018589,151924563
320.40000000000003,320.40000000000003,320,direct,2298933.7314787274,152235989
320.6,320.6,320,direct,2298937.401680411,152553094
320.8,320.8,320,direct,2298941.14949506,152876905
321,321,321,direct,2298944.990105551,153208734
321.20000000000005,321.20000000000005,321,direct,2298948.948246408,153550718
321.40000000000003,321.40000000000003,321,direct,2298953.047788886,153904918
321.6,321.6,321,direct,2298957.3148131915,154273589
321.8,321.8,321,direct,2298961.791470245,154660372
322,322,322,direct,2298966.542994655,155070904
322.20000000000005,322.20000000000005,322,direct,2298971.645387247,155511750
322.40000000000003,322.40000000000003,322,direct,2298977.237233795,155994886
322.6,322.6,322,direct,2298983.53648258,156539141
322.8,322.8,322,direct,2298990.979068861,157182181
323,323,323,direct,2299000.834215842,158033665
683,323,683,retrograde,2299041.6232652594,161557839
682.8,322.79999999999995,682,retrograde,2299051.832812627,162439944
682.6,322.6,682,retrograde,2299059.668576079,163116954
682.4000000000001,322.4000000000001,682,retrograde,2299066.4011198473,163698646
682.2,322.20000000000005,682,retrograde,2299072.493051236,164224989
682,322,682,retrograde,2299078.1597868693,164714595
681.8,321.79999999999995,681,retrograde,2299083.5475276764,165180095
681.6,321.6,681,retrograde,2299088.741533112,165628857
681.4000000000001,321.4000000000001,681,retrograde,2299093.825416032,166068105
681.2,321.20000000000005,681,retrograde,2299098.8573684036,166502866
681,321,681,retrograde,2299103.8810517057,166936912
680.8,320.79999999999995,680,retrograde,2299108.95815513,167375574
680.6,320.6,680,retrograde,2299114.1384704923,167823153
680.4000000000001,320.4000000000001,680,retrograde,2299119.499410403,168286338
680.2,320.20000000000005,680,retrograde,2299125.1447796323,168774098
680,320,680,retrograde,2299131.200049311,169297273
679.8,319.79999999999995,679,retrograde,2299137.9080364676,169876843
679.6,319.6,679,retrograde,2299145.7240740177,170552149
679.4000000000001,319.4000000000001,679,retrograde,2299156.042694995,171443678
319.40000000000003,319.40000000000003,319,direct,2299194.1004666546,174731869
319.6,319.6,319,direct,2299204.0308645526,175589856
319.8,319.8,319,direct,2299211.4231543336,176228550
320,320,320,direct,2299217.6443471713,176766061
320.20000000000005,320.20000000000005,320,direct,2299223.1649533366,177243041
320.40000000000003,320.40000000000003,320,direct,2299228.2059031255,177678579
320.6,320.6,320,direct,2299232.891664239,178083429
320.8,320.8,320,direct,2299237.314594844,178465570
321,321,321,direct,2299241.531937986,178829948
321.20000000000005,321.20000000000005,321,direct,2299245.581280684,179179812
321.40000000000003,321.40000000000003,321,direct,2299249.500124697,179518400
321.6,321.6,321,direct,2299253.3113557226,179847690
321.8,321.8,321,direct,2299257.030554392,180169029
322,322,322,direct,2299260.6750232573,180483911
322.20000000000005,322.20000000000005,322,direct,2299264.2628012258,180793895
322.40000000000003,322.40000000000003,322,direct,2299267.8060296685,181100030
322.6,322.6,322,direct,2299271.3125618063,181402994
322.8,322.8,322,direct,2299274.7948519294,181703864
323,323,323,direct,2299278.264107924,182003608
323.20000000000005,323.20000000000005,323,direct,2299281.7292849505,182302999
323.40000000000003,323.40000000000003,323,direct,2299285.1906757783,182602063
323.6,323.6,323,direct,2299288.662427117,182902023
323.8,323.8,323,direct,2299292.1559909484,183203867
324,324,324,direct,2299295.679672028,183508313
324.20000000000005,324.20000000000005,324,direct,2299299.241008925,183816012
324.40000000000003,324.40000000000003,324,direct,2299302.8545095446,184128219
324.6,324.6,324,direct,2299306.533649308,184446096
324.8,324.8,324,direct,2299310.28859755,184770524
325,325,325,direct,2299314.134145854,185102779
325.20000000000005,325.20000000000005,325,direct,2299318.093612701,185444877
325.40000000000003,325.40000000000003,325,direct,2299322.194385416,185799184
325.6,325.6,325,direct,2299326.462966322,186167989
325.8,325.8,325,direct,2299330.946580899,186555374
326,326,326,direct,2299335.7033079322,186966355
326.20000000000005,326.20000000000005,326,direct,2299340.806255017,187407249
326.40000000000003,326.40000000000003,326,direct,2299346.3872053362,187889444
326.6,326.6,326,direct,2299352.668701027,188432165
326.8,326.8,326,direct,2299360.0945565933,189073759
327,327,327,direct,2299369.8736989303,189918677
687,327,687,retrograde,2299411.3211719003,193499738
686.8,326.79999999999995,686,retrograde,2299421.4246497317,194372679
686.6,326.6,686,retrograde,2299429.235178684,195047508
686.4000000000001,326.4000000000001,686,retrograde,2299435.95324806,195627950
686.2,326.20000000000005,686,retrograde,2299442.0233915932,196152410
686,326,686,retrograde,2299447.6786406157,196641024
685.8,325.79999999999995,685,retrograde,2299453.062793271,197106214
685.6,325.6,685,retrograde,2299458.257459678,197555034
685.4000000000001,325.4000000000001,685,retrograde,2299463.3402113463,197994183
685.2,325.20000000000005,685,retrograde,2299468.363505174,198428196
685,325,685,retrograde,2299473.3823070675,198861820
684.8,324.79999999999995,684,retrograde,2299478.4599737674,199300531
684.6,324.6,684,retrograde,2299483.6473751,199748722
684.4000000000001,324.4000000000001,684,retrograde,2299489.0163572626,200212602
684.2,324.20000000000005,684,retrograde,2299494.6632235954,200700492
684,324,684,retrograde,2299500.7232273,201224076
683.8,323.79999999999995,683,retrograde,2299507.453624939,201805582
683.6,323.6,683,retrograde,2299515.322828467,202485481
683.4000000000001,323.4000000000001,683,retrograde,2299525.744666694,203385928
323.40000000000003,323.40000000000003,323,direct,2299563.0167167457,206606233
323.6,323.6,323,direct,2299573.0653613084,207474436
323.8,323.8,323,direct,2299580.517940866,208118339
324,324,324,direct,2299586.7679707333,208658342
324.20000000000005,324.20000000000005,324,direct,2299592.302051978,209136486
324.40000000000003,324.40000000000003,324,direct,2299597.3549721073,209573059
324.6,324.6,324,direct,2299602.0536399987,209979024
324.8,324.8,324,direct,2299606.4915641807,210362460
325,325,325,direct,2299610.719165488,210727725
325.20000000000005,325.20000000000005,325,direct,2299614.776719525,211078298
325.40000000000003,325.40000000000003,325,direct,2299618.700591554,211417320
325.6,325.6,325,direct,2299622.5169535563,211747054
325.8,325.8,325,direct,2299626.242461393,212068938
326,326,326,direct,2299629.8952301024,212384537
326.20000000000005,326.20000000000005,326,direct,2299633.493076661,212695391
326.40000000000003,326.40000000000003,326,direct,2299637.044321839,213002218
326.6,326.6,326,direct,2299640.5579365836,213305795
326.8,326.8,326,direct,2299644.0459051244,213607155
327,327,327,direct,2299647.519662216,213907288
327.20000000000005,327.20000000000005,327,direct,2299650.9902572995,214207147
327.40000000000003,327.40000000000003,327,direct,2299654.4582554195,214506782
327.6,327.6,327,direct,2299657.9391370313,214807530
327.8,327.8,327,direct,2299661.443097943,215110273
328,328,328,direct,2299664.975549296,215415476
328.20000000000005,328.20000000000005,328,direct,2299668.545129481,215723888
328.40000000000003,328.40000000000003,328,direct,2299672.16522863,216036665
328.6,328.6,328,direct,2299675.8504157425,216355065
328.8,328.8,328,direct,2299679.612722151,216680128
329,329,329,direct,2299683.468056795,217013229
329.20000000000005,329.20000000000005,329,direct,2299687.441668636,217356549
329.40000000000003,329.40000000000003,329,direct,2299691.555881012,217712017
329.6,329.6,329,direct,2299695.837485656,218081948
329.8,329.8,329,direct,2299700.331912257,218470266
330,330,330,direct,2299705.100231878,218882249
330.20000000000005,330.20000000000005,330,direct,2299710.2198064136,219324580
330.40000000000003,330.40000000000003,330,direct,2299715.8309158753,219809380
330.6,330.6,330,direct,2299722.1471060533,220355099
330.8,330.8,330,direct,2299729.6147744837,221000306
331,331,331,direct,2299739.496274202,221854067
691,331,691,retrograde,2299780.3531770306,225384104
690.8,330.79999999999995,690,retrograde,2299790.56938183,226266784
