physical_degree,directional_degree_after,navigation_cell_after,lane_before,lane_after,jd_ut
133.16993699418094,493.16993699418094,493,direct,retrograde,2297234.5947199566
116.74485450054269,116.74485450054269,116,retrograde,direct,2297277.648031709
355.04231024113926,715.0423102411393,715,direct,retrograde,2297822.5680253813
338.8812685325268,338.8812685325268,338,retrograde,direct,2297864.4323408147
202.4863397892695,562.4863397892696,562,direct,retrograde,2298402.5360303894
186.7566630327205,186.7566630327205,186,retrograde,direct,2298444.4459828483
64.32782899603744,424.32782899603745,424,direct,retrograde,2298988.661963028
47.82007126289857,47.82007126289857,47,retrograde,direct,2299031.5960483216
277.5986499810484,637.5986499810484,637,direct,retrograde,2299573.150953589
262.27709151915286,262.27709151915286,262,retrograde,direct,2299614.023092768
131.02007346528902,491.020073465289,491,direct,retrograde,2300154.2810789878
114.58056159838486,114.58056159838486,114,retrograde,direct,2300197.3474418866
352.6969108229465,712.6969108229465,712,direct,retrograde,2300742.207280066
336.5646743889383,336.5646743889383,336,retrograde,direct,2300784.0389045672
200.1509957294598,560.1509957294597,560,direct,retrograde,2301322.0591965495
184.39459922026182,184.39459922026182,184,retrograde,direct,2301364.029884139
62.15103127429473,422.1510312742947,422,direct,retrograde,2301908.3345533423
45.644201798539385,45.644201798539385,45,retrograde,direct,2301951.235271883
275.1054984757748,635.1054984757748,635,direct,retrograde,2302492.6795554673
259.79012893171705,259.79012893171705,259,retrograde,direct,2302533.537397241
128.8538620104152,488.85386201041524,488,direct,retrograde,2303073.9624471003
112.40761719368018,112.40761719368018,112,retrograde,direct,2303117.049680137
350.3479855117296,710.3479855117296,710,direct,retrograde,2303661.8351515383
334.253254649477,334.253254649477,334,retrograde,direct,2303703.6338101234
197.8316350687729,557.8316350687729,557,direct,retrograde,2304241.5893042414
182.0410544844802,182.0410544844802,182,retrograde,direct,2304283.609626067
59.98990795096866,419.98990795096864,419,direct,retrograde,2304828.025914115
43.48138048204026,43.48138048204026,43,retrograde,direct,2304870.881048142
272.6220762280712,632.6220762280711,632,direct,retrograde,2305412.2137987223
257.31152453905605,257.31152453905605,257,retrograde,direct,2305453.069726104
126.69732654606706,486.6973265460671,486,direct,retrograde,2305993.623851331
110.2490954496904,110.2490954496904,110,retrograde,direct,2306036.73783419
348.0051388814752,708.0051388814752,708,direct,retrograde,2306581.439003134
331.94236557584605,331.94236557584605,331,retrograde,direct,2306623.203118967
195.51355957554648,555.5135595755464,555,direct,retrograde,2307161.134623617
179.6828251455573,179.6828251455573,179,retrograde,direct,2307203.196704136
57.82848336151754,417.82848336151756,417,direct,retrograde,2307747.7358035203
41.31561237225804,41.31561237225804,41,retrograde,direct,2307790.5498273037
270.1170968966781,630.117096896678,630,direct,retrograde,2308331.7411878677
254.8180626582036,254.8180626582036,254,retrograde,direct,2308372.60188483
124.54424503175487,484.5442450317549,484,direct,retrograde,2308913.27442916
108.09305923218518,108.09305923218518,108,retrograde,direct,2308956.418990978
345.6290672785567,705.6290672785567,705,direct,retrograde,2309501.028128369
329.59751358064875,329.59751358064875,329,retrograde,direct,2309542.7458899524
193.2143887614476,553.2143887614476,553,direct,retrograde,2310080.7168964623
177.34593263778208,177.34593263778208,177,retrograde,direct,2310122.8199417247
55.64319439588884,415.6431943958888,415,direct,retrograde,2310667.4448481705
39.13498289873663,39.13498289873663,39,retrograde,direct,2310710.2227817886
267.63095145743443,627.6309514574344,627,direct,retrograde,2311251.253458862
252.34856820760749,252.34856820760749,252,retrograde,direct,2311292.126726968
122.39860657961302,482.398606579613,482,direct,retrograde,2311832.9185132813
105.94107770304382,105.94107770304382,105,retrograde,direct,2311876.078461946
343.27185850652796,703.2718585065279,703,direct,retrograde,2312420.622564816
327.2651736035045,327.2651736035045,327,retrograde,direct,2312462.286656278
190.91565736561944,550.9156573656194,550,direct,retrograde,2313000.298560054
175.01290650957003,175.01290650957003,175,retrograde,direct,2313042.454029344
53.462260486014195,413.4622604860142,413,direct,retrograde,2313587.1413206235
36.96249294597756,36.96249294597756,36,retrograde,direct,2313629.9036952276
265.1346074936653,625.1346074936653,625,direct,retrograde,2314170.729502325
249.8620170424148,249.8620170424148,249,retrograde,direct,2314211.631958738
120.25100507312078,480.2510050731208,480,direct,retrograde,2314752.5817693723
103.77992081882678,103.77992081882678,103,retrograde,direct,2314795.737995402
340.90358163535444,700.9035816353544,700,direct,retrograde,2315340.237738543
324.91603044084127,324.91603044084127,324,retrograde,direct,2315381.8466379764
188.61172090341935,548.6117209034194,548,direct,retrograde,2315919.882302519
172.68177944496026,172.68177944496026,172,retrograde,direct,2315962.1021061447
51.277325911969285,411.2773259119693,411,direct,retrograde,2316506.826247534
34.79044733024509,34.79044733024509,34,retrograde,direct,2316549.58346643
262.6475340443132,622.6475340443133,622,direct,retrograde,2317090.206708462
247.3778138072408,247.3778138072408,247,retrograde,direct,2317131.126626606
118.11038958415685,478.11038958415685,478,direct,retrograde,2317672.2689018156
101.62622939958682,101.62622939958682,101,retrograde,direct,2317715.4059808236
338.523826220909,698.523826220909,698,direct,retrograde,2318259.8609556463
322.56075894392046,322.56075894392046,322,retrograde,direct,2318301.416556159
186.33041067002938,546.3304106700293,546,direct,retrograde,2318839.452810595
170.3809295693269,170.3809295693269,170,retrograde,direct,2318881.738619012
49.090023695762405,409.0900236957624,409,direct,retrograde,2319426.4880300416
32.61636069270669,32.61636069270669,32,retrograde,direct,2319469.2325508576
260.1744391323178,620.1744391323177,620,direct,retrograde,2320009.6949496847
244.90035961998416,244.90035961998416,244,retrograde,direct,2320050.616850177
115.97688359136926,475.97688359136924,475,direct,retrograde,2320591.971230806
99.4800612603323,99.4800612603323,99,retrograde,direct,2320635.0962786945
336.12711888147516,696.1271188814751,696,direct,retrograde,2321179.481214282
320.195216290458,320.195216290458,320,retrograde,direct,2321220.9926773105
184.0489732899131,544.0489732899131,544,direct,retrograde,2321759.0092869196
168.07462418182755,168.07462418182755,168,retrograde,direct,2321801.3588703694
46.88315055197215,406.88315055197216,406,direct,retrograde,2322346.1464830413
30.4179691530284,30.4179691530284,30,retrograde,direct,2322388.860190931
257.6932832438495,617.6932832438495,617,direct,retrograde,2322929.199123229
242.40494305867173,242.40494305867173,242,retrograde,direct,2322970.1344732065
113.81631043704162,473.81631043704164,473,direct,retrograde,2323511.667356507
97.3130806085202,97.3130806085202,97,retrograde,direct,2323554.793810419
333.7332853646078,693.7332853646078,693,direct,retrograde,2324099.093302644
317.83767125111865,317.83767125111865,317,retrograde,direct,2324140.5693806596
181.77250845407187,541.7725084540718,541,direct,retrograde,2324678.560132675
165.76981217935767,165.76981217935767,165,retrograde,direct,2324720.9622125058
44.70605983407073,404.70605983407074,404,direct,retrograde,2325265.8217705423
28.244042619830253,28.244042619830253,28,retrograde,direct,2325308.488503009
255.22053110860026,615.2205311086002,615,direct,retrograde,2325848.7169657685
239.92217743944607,239.92217743944607,239,retrograde,direct,2325889.6679336745
111.68949330479691,471.6894933047969,471,direct,retrograde,2326431.3628088124
95.18684093398197,95.18684093398197,95,retrograde,direct,2326474.502575147
331.3233580678361,691.3233580678361,691,direct,retrograde,2327018.6758348867
315.4693769022029,315.4693769022029,315,retrograde,direct,2327060.115946225
179.52211587682478,539.5221158768247,539,direct,retrograde,2327598.1355106663
163.48668841765482,163.48668841765482,163,retrograde,direct,2327640.5792176872
42.499088732630774,402.49908873263075,402,direct,retrograde,2328185.504305953
26.037630752799647,26.037630752799647,26,retrograde,direct,2328228.123136297
252.74394268790937,612.7439426879093,612,direct,retrograde,2328768.244584972
237.4410893282832,237.4410893282832,237,retrograde,direct,2328809.2204284817
109.53384315686225,469.53384315686225,469,direct,retrograde,2329351.030241334
93.03302918778488,93.03302918778488,93,retrograde,direct,2329394.193223414
328.897846279238,688.897846279238,688,direct,retrograde,2329938.2369100824
313.08049406275416,313.08049406275416,313,retrograde,direct,2329979.6421532016
177.26099627132757,537.2609962713276,537,direct,retrograde,2330517.7304579616
161.18790472983216,161.18790472983216,161,retrograde,direct,2330560.2078027353
40.288886386145855,400.28888638614586,400,direct,retrograde,2331105.200132272
23.830233989490857,23.830233989490857,23,retrograde,direct,2331147.776862927
250.2781512357107,610.2781512357108,610,direct,retrograde,2331687.7514054105
234.97227586669246,234.97227586669246,234,retrograde,direct,2331728.7706041774
107.39953172102277,467.39953172102275,467,direct,retrograde,2332270.6893775556
90.89895666746075,90.89895666746075,90,retrograde,direct,2332313.8683792334
326.50162473039734,686.5016247303973,686,direct,retrograde,2332857.8003896615
310.71328548271805,310.71328548271805,310,retrograde,direct,2332899.1660329914
175.02483075260565,535.0248307526057,535,direct,retrograde,2333437.351548115
158.91887997204867,158.91887997204867,158,retrograde,direct,2333479.861110989
38.08443634782483,398.0844363478248,398,direct,retrograde,2334024.899887927
21.636542581430092,21.636542581430092,21,retrograde,direct,2334067.4421009244
247.80997205950007,607.8099720595001,607,direct,retrograde,2334607.2367622545
232.50194296191881,232.50194296191881,232,retrograde,direct,2334648.2988645853
105.25537885319717,465.25537885319716,465,direct,retrograde,2335190.35660557
88.75186810901648,88.75186810901648,88,retrograde,direct,2335233.5269492622
324.0618368998196,684.0618368998196,684,direct,retrograde,2335777.366781108
308.2984243415601,308.2984243415601,308,retrograde,direct,2335818.6815800956
172.76478029529875,532.7647802952988,532,direct,retrograde,2336356.9696667064
156.63480335749026,156.63480335749026,156,retrograde,direct,2336399.5227606837
35.851839674100255,395.85183967410023,395,direct,retrograde,2336944.5810032785
19.419989576053787,19.419989576053787,19,retrograde,direct,2336987.1049461253
245.33902601932445,605.3390260193245,605,direct,retrograde,2337526.7083249157
230.02230391932383,230.02230391932383,230,retrograde,direct,2337567.805190644
103.1298161025816,463.1298161025816,463,direct,retrograde,2338110.044532342
86.61635311566566,86.61635311566566,86,retrograde,direct,2338153.190284281
321.6338331277527,681.6338331277527,681,direct,retrograde,2338696.95580813
305.89368382954376,305.89368382954376,305,retrograde,direct,2338738.214791931
170.5410418460646,530.5410418460646,530,direct,retrograde,2339276.5822120234
