body,start_jd_ut,end_jd_ut,start_station_physical_degree,end_station_physical_degree,start_boundary,end_boundary
Mercury,2297256.3030292867,2297280.0150163043,146.03315199100777,133.41275622936763,station,station
Mercury,2297369.3197193276,2297389.075263745,254.79314086906558,238.526915886695,station,station
Mercury,2297478.432229435,2297501.5918114325,1.6599284627350754,348.8057592667084,station,station
Mercury,2297603.2740279566,2297627.3957271,127.44716017325771,116.20669209680527,station,station
Mercury,2297717.984910776,2297737.941333998,238.96277365240255,222.82090328250644,station,station
Mercury,2297826.4650974395,2297848.967297457,344.6707840103413,330.52735067113457,station,station
Mercury,2297949.7759093624,2297973.999227493,108.0973665614285,98.23609774693543,station,station
Mercury,2298066.47573076,2298086.8711687373,223.06442109808538,207.1366046760101,station,station
Mercury,2298174.9374053935,2298196.686726517,328.10609695485823,313.0018671077299,station,station
Mercury,2298295.7704119915,2298319.825559118,88.18908516452211,79.34443224386344,station,station
Mercury,2298414.7663133303,2298435.7953598443,206.9941877541808,191.40049133636057,station,station
Mercury,2298523.679399917,2298544.701243477,311.83764707770405,296.0994712713918,station,station
Mercury,2298641.3698404767,2298665.2479943186,68.17607626569682,59.605721292845054,station,station
Mercury,2298762.8325459976,2298784.6298153084,190.63166514422204,175.5485074484202,station,station
Mercury,2298872.5532874446,2298892.962218809,295.7636450004477,279.66284750752135,station,station
Mercury,2298986.9886412183,2299010.8343371814,48.58872304756702,39.40853676513092,station,station
Mercury,2299110.6449633585,2299133.261988423,173.8389845334933,159.50024888615732,station,station
Mercury,2299221.460942189,2299241.435306877,279.8333352765344,263.5674006548626,station,station
Mercury,2299333.1728071384,2299356.9209931754,29.775336205571975,19.313540266916377,station,station
Mercury,2299458.167273825,2299481.546856676,156.45129057808285,143.12972244124038,station,station
Mercury,2299570.323759336,2299590.087461668,263.98499117319085,247.68946997396006,station,station
Mercury,2299680.151281316,2299703.5752509134,11.777931661330376,359.7760180773311,station,station
Mercury,2299805.36893449,2299829.3064774796,138.3411090598776,126.29116276271962,station,station
Mercury,2299919.081755231,2299938.8876487697,248.1663288899304,231.93942672938775,station,station
Mercury,2300027.845013582,2300050.7302796766,354.463082220593,341.02019095116253,station,station
Mercury,2300152.1685862644,2300176.3557208152,119.41446714373627,108.77593075716904,station,station
Mercury,2300267.684864007,2300287.790699684,232.3148399186326,216.24656925778453,station,station
Mercury,2300376.0836211853,2300398.2781904386,337.673799437801,323.081046931691,station,station
Mercury,2300498.454936982,2300522.6114214184,99.76491997271563,90.40307799191683,station,station
Mercury,2300616.0919332094,2300636.7332928684,216.3482995074934,200.54448658014698,station,station
Mercury,2300724.6844993467,2300746.1280243443,321.246553937089,305.83932707417864,station,station
Mercury,2300844.2257584706,2300868.218069054,79.73875986119087,71.12145601327235,station,station
Mercury,2300964.281534645,2300985.6353953965,200.17471136483968,184.77722575122644,station,station
Mercury,2301073.4989585644,2301094.2428569337,305.0724231479203,289.15127234166584,station,station
Mercury,2301189.7727717822,2301213.6265784344,59.849120870266006,51.123675834415025,station,station
Mercury,2301312.2372129057,2301334.3945960226,183.64775765640434,168.85222385907906,station,station
Mercury,2301422.4040391296,2301442.5938127274,289.0715115836622,272.87489945458464,station,station
Mercury,2301535.5971227214,2301559.395100829,40.572772411289876,30.904016174223667,station,station
Mercury,2301659.9408960696,2301682.890329415,166.61468568353837,152.67245180666842,station,station
Mercury,2301771.30403571,2301791.151731423,273.17645607212756,256.8800076378126,station,station
Mercury,2301882.101253665,2301905.750257817,22.11164645202991,11.002281208187089,station,station
Mercury,2302007.342589941,2302030.9720146973,148.92602459045028,136.11629877215753,station,station
Mercury,2302120.12575664,2302139.87801963,257.347595819294,241.0721739374059,station,station
Mercury,2302229.3962954013,2302252.635778656,4.43169383758657,351.791678461848,station,station
Mercury,2302354.3700667825,2302378.460862723,130.46251319135902,119.01149899710468,station,station
Mercury,2302468.8161473004,2302488.7282734457,241.5197569241736,225.35487064717995,station,station
Mercury,2302577.3527583852,2302599.9535055226,347.36853142233747,333.39592981114987,station,station
Mercury,2302700.9555787668,2302725.182507878,111.2272840524394,101.17238363672806,station,station
Mercury,2302817.33796339,2302837.651450908,225.6336998023333,209.6651884274982,station,station
Mercury,2302925.771371037,2302947.631416519,330.74623014240746,315.76323402376636,station,station
Mercury,2303047.030400186,2303071.106217806,91.3741944383953,82.41485472044735,station,station
Mercury,2303165.663728115,2303186.5835163416,209.59645110799244,193.94212107102916,station,station
Mercury,2303274.4786278754,2303295.6080052704,314.4358480817672,298.77488397581027,station,station
Mercury,2303392.6565401377,2303416.5625083894,71.33178337334874,62.77748124003286,station,station
Mercury,2303513.761906949,2303535.4391145827,193.28643049751278,178.11456291008625,station,station
Mercury,2303623.337126177,2303643.831469644,298.33733707660355,282.2778647883925,station,station
Mercury,2303738.2351551214,2303762.089409629,51.653876412532114,42.61857633670736,station,station
Mercury,2303861.607508285,2303884.110980385,176.57274821167795,162.10809804308812,station,station
Mercury,2303972.246771504,2303992.2716185395,282.3935946692965,266.1410973457843,station,station
Mercury,2304084.319228096,2304108.0791979507,32.71550046392201,22.47161873519953,station,station
Mercury,2304209.177134243,2304232.455343432,159.28840973572895,145.79713324234834,station,station
Mercury,2304321.1247368874,2304340.8993256427,266.5423166369958,250.2419997090734,station,station
Mercury,2304431.1780936746,2304454.6630513007,14.607739058909468,2.8352520456309356,station,station
Mercury,2304556.4383137636,2304580.3009834327,141.28826733065947,129.0348558590892,station,station
Mercury,2304669.903833665,2304689.684254312,250.72285093887103,234.47872443293264,station,station
Mercury,2304778.7731778715,2304801.7592183966,357.20680696889883,343.9636482298779,station,station
Mercury,2304903.303289502,2304927.4683353314,122.47854603542356,111.6317908979274,station,station
Mercury,2305018.52945129,2305038.578035593,234.8848484710485,218.7886348592783,station,station
Mercury,2305126.9414816573,2305149.2483415436,340.35113474556806,325.9090388968473,station,station
Mercury,2305249.6607848527,2305273.8468200844,102.92562659336245,93.39993098161493,station,station
Mercury,2305366.9644178115,2305387.518191645,218.94520459978924,203.0963826220474,station,station
Mercury,2305475.5011826064,2305497.051033931,323.8801448215784,308.57285969976857,station,station
Mercury,2305595.505646797,2305619.5232727155,82.94123831481708,74.26121713634157,station,station
Mercury,2305715.1865506275,2305736.427155871,202.80872378503094,187.3403258860897,station,station
Mercury,2305824.2921687877,2305845.127644958,307.6736411782752,291.8100447389573,station,station
Mercury,2305941.0630035186,2305964.917419823,62.995445496575556,54.34224673382607,station,station
Mercury,2306063.18451772,2306085.2129956456,186.34296716894403,171.44181429364693,station,station
Mercury,2306173.1894465946,2306193.4502628446,291.65360298123807,275.4855650424743,station,station
Mercury,2306286.8023835467,2306310.618219114,43.59692547605633,34.111108539256776,station,station
Mercury,2306410.9278361704,2306433.759033027,169.39533304454957,155.30806271849966,station,station
Mercury,2306522.0937368143,2306541.981659063,275.7475767354572,259.45957142948305,station,station
Mercury,2306633.189829357,2306656.883282885,25.014343451104445,14.1356118779542,station,station
Mercury,2306758.3741527097,2306781.9208317557,151.82187316999773,138.8275139179449,station,station
Mercury,2306870.930810852,2306890.684384973,259.91269671838506,243.6294420516378,station,station
Mercury,2306980.379152796,2307003.687737628,7.232127143545322,354.81187793979865,station,station
Mercury,2307105.461233221,2307129.509542008,133.4829353860744,121.82120570971135,station,station
Mercury,2307219.646426644,2307239.5172748547,244.09031938629857,227.9022345847649,station,station
Mercury,2307328.2518576756,2307350.951274303,350.09087696965577,336.296733568285,station,station
Mercury,2307452.1226172233,2307476.3429208584,114.34636075974845,104.09174956628375,station,station
Mercury,2307568.1974976417,2307588.4322133446,228.21471342236137,212.20784862687532,station,station
Mercury,2307676.609066233,2307698.58392689,333.4033924441117,318.54938077393854,station,station
Mercury,2307798.2742514443,2307822.375332013,94.5534614061225,85.46540478781475,station,station
Mercury,2307916.553464802,2307937.369599416,212.20497385325726,196.49420484007834,station,station
Mercury,2308025.278181861,2308046.5187684726,317.0477032949164,301.46997140187426,station,station
Mercury,2308143.941260525,2308167.876657607,74.50487738347614,65.94755949738459,station,station
Mercury,2308264.681144581,2308286.2436961606,195.93972080308973,180.68530440905613,station,station
Mercury,2308374.123307259,2308394.70442734,300.92542303382857,284.90999774259257,station,station
Mercury,2308489.497339582,2308513.354104867,54.75005497568173,45.841263878260534,station,station
Mercury,2308612.563372747,2308634.9507918227,179.2928964774831,164.7078415430072,station,station
Mercury,2308723.0345073733,2308743.111533788,284.96071783589633,268.72428840879473,station,station
Mercury,2308835.4855216583,2308859.2572887223,35.68392419480932,25.64939946222445,station,station
Mercury,2308960.183794358,2308983.351385276,162.10417848527516,148.44932188103238,station,station
Mercury,2309071.9246224053,2309091.7171114516,269.0976641269651,252.79480073479897,station,station
Mercury,2309182.22022725,2309205.7655186597,17.450487653804473,5.908317729058452,station,station
Mercury,2309307.498814638,2309331.2820715746,144.2138279206701,131.76174792540985,station,station
Mercury,2309420.7194156554,2309440.483569324,253.2734237166125,237.01593179612595,station,station
Mercury,2309529.7112523047,2309552.7932933616,359.9530321839687,346.91609869519056,station,station
Mercury,2309654.425715409,2309678.5673327874,125.52854930339119,114.47034153131644,station,station
Mercury,2309769.367012281,2309789.3649416817,237.44315661282178,221.32103071848587,station,station
Mercury,2309877.8071636576,2309900.220317616,343.0260728942902,328.74214316450184,station,station
Mercury,2310000.8562579723,2310025.066113554,106.0785708003859,96.37604301131846,station,station
Mercury,2310117.831101558,2310138.29933576,221.52564879002188,205.6336849974759,station,station
Mercury,2310226.3228362985,2310247.978697909,326.5105670219816,311.309713462881,station,station
Mercury,2310346.777224524,2310370.8178852918,86.12703835032332,77.36477752902447,station,station
Mercury,2310466.09022116,2310487.2160338433,205.42403056947643,189.887317203427,station,station
Mercury,2310575.0883215275,2310596.021469321,310.2708681516743,294.47131601153245,station,station
Mercury,2310692.35457931,2310716.218862339,66.13387670590156,57.53393401854943,station,station
Mercury,2310814.128124836,2310836.02929647,189.02027096179793,174.01893824523225,station,station
Mercury,2310923.976347235,2310944.3154485673,294.2280596100107,278.0934636672855,station,station
Mercury,2311038.0238449993,2311061.8550263485,46.63034864346147,37.31605221782469,station,station
Mercury,2311161.908400111,2311184.6241932213,172.15691369672638,157.9319545059963,station,station
Mercury,2311272.882444162,2311292.815491231,278.3092442304177,262.03173701632426,station,station
Mercury,2311384.301349449,2311408.02730567,27.93558574086466,17.28460320022295,station,station
Mercury,2311509.3954363065,2311532.8552561635,154.68902061602736,141.51578465059546,station,station
Mercury,2311621.733757737,2311641.490990172,262.4658879972903,246.175601167284,station,station
Mercury,2311731.379076951,2311754.7509423,10.041771972739742,357.8456620406928,station,station
Mercury,2311856.5412275456,2311880.535025508,136.47007088980618,124.59929214317566,station,station
Mercury,2311970.471704158,2311990.305255294,246.6510069635023,230.4409815723722,station,station
Mercury,2312079.157923313,2312101.9561499767,352.80843418187175,339.2000143346701,station,station
Mercury,2312203.2791741146,2312227.484302368,117.44591857222409,106.98688497344709,station,station
Mercury,2312319.051612038,2312339.2141162427,230.79125719686454,214.75010773983794,station,station
Mercury,2312427.449862117,2312449.542926308,336.0604778342307,321.34368331383394,station,station
Mercury,2312549.509687268,2312573.637561473,97.7390022723516,88.5085771468997,station,station
Mercury,2312667.4359024717,2312688.155274771,214.81140411883732,199.0488783848662,station,station
Mercury,2312776.0828630496,2312797.4335852414,319.66919141521936,304.1805651316252,station,station
Mercury,2312895.22588923,2312919.191576316,77.69700780710653,69.11675072705646,station,station
Mercury,2313015.596289958,2313037.046870211,198.59452747814873,183.26167869969981,station,station
Mercury,2313124.913985485,2313145.581478039,303.529220445158,287.5624634055867,station,station
Mercury,2313240.7694467455,2313264.6257924912,57.86264314247519,49.06092498805104,station,station
Mercury,2313363.518090274,2313385.7835570276,182.0139616539584,167.3137805076299,station,station
Mercury,2313473.8238496184,2313493.9582626773,287.5449390076748,271.3280485200863,station,station
Mercury,2313586.6662348825,2313610.4523612466,38.675427862662936,28.841124874303926,station,station
Mercury,2313711.1861577826,2313734.2370029977,164.9168730969551,151.105424356125,station,station
Mercury,2313822.720608131,2313842.5396476965,271.6671484593533,255.3649047451144,station,station
Mercury,2313933.2756417375,2313956.8779274477,20.31862054389425,9.008667848260291,station,station
Mercury,2314058.5492025157,2314082.249270959,147.13275077777024,134.48657053864616,station,station
Mercury,2314171.529383906,2314191.2853242774,255.83637798347053,239.56777191561073,station,station
Mercury,2314280.6623763433,2314303.831805547,2.7284705029112275,349.9046158941631,station,station
Mercury,2314405.5288504846,2314429.646240048,128.5682165558787,117.29754984811112,station,station
Mercury,2314520.199310382,2314540.1505102385,240.00728701833228,223.86130624207811,station,station
Mercury,2314628.685505163,2314651.2003176333,345.727176696436,331.6080701802406,station,station
Mercury,2314752.0387776718,2314776.2649536813,109.22404907239837,99.33447369873612,station,station
Mercury,2314868.695447379,2314889.0792574417,224.10952387416722,208.1762917219697,station,station
Mercury,2314977.151384469,2314998.915420507,329.15545930482233,314.06740377177124,station,station
Mercury,2315098.0445066327,2315122.104191659,89.31673824225219,80.45520826691617,station,station
Mercury,2315216.992492403,2315238.004781491,208.04116136756156,192.43947758517524,station,station
Mercury,2315325.887858866,2315346.9253834113,312.8760331231767,297.1472800566874,station,station
Mercury,2315443.6490397593,2315467.5292120622,69.29346622635408,60.72815599691233,station,station
Mercury,2315565.0633775974,2315586.842680175,191.69103912999873,176.59521501512467,station,station
Mercury,2315674.760875793,2315695.1824751785,296.8026540058551,280.706038447369,station,station
Mercury,2315789.259856591,2315813.10481207,49.690202581224156,40.5333862712212,station,station
Mercury,2315912.8784761745,2315935.4805222144,174.904189705072,160.54713807131898,station,station
Mercury,2316023.669036883,2316043.6500154166,280.86939824772645,264.60482525144687,station,station
Mercury,2316135.431590356,2316159.1805514134,30.86917161977282,20.439800429908598,station,station
Mercury,2316260.4068782153,2316283.7730883453,157.5310701173625,144.18504087716374,station,station
Mercury,2316372.533589122,2316392.298367232,265.0177991047696,248.7209461904612,station,station
Mercury,2316482.393338158,2316505.826299524,12.854001242738695,0.8848110773044573,station,station
Mercury,2316607.617110025,2316631.5437115123,139.43137815719425,127.35421877472392,station,station
Mercury,2316721.2948518246,2316741.0971116554,249.20567122386498,232.97534193523313,station,station
Mercury,2316830.07287501,2316852.9714143407,355.5247817438945,342.1099041246998,station,station
Mercury,2316954.427660086,2316978.6107994122,120.5250047336448,109.85743361195588,station,station
Mercury,2317069.901864728,2317089.999479157,233.35670131337685,217.28411036893758,station,station
Mercury,2317178.2995447926,2317200.509419773,338.72131423237204,324.150241018708,station,station
Mercury,2317300.7275788486,2317324.8886552285,100.90585980783867,91.52070523320862,station,station
Mercury,2317418.3125619087,2317438.941629245,217.3961714169669,201.5861146538369,station,station
Mercury,2317526.894896942,2317548.3528496195,322.29163191167856,306.89751369334294,station,station
Mercury,2317646.5064436533,2317670.5029169703,80.88067105943865,72.25599533956245,station,station
Mercury,2317766.5072680237,2317787.844986528,201.22722051131407,185.82070903122636,station,station
Mercury,2317875.7069250885,2317896.46260879,306.1212332816141,290.2073403845151,station,station
Mercury,2317992.0512530915,2318015.905046962,60.976271010383684,52.26249695277757,station,station
Mercury,2318114.469189819,2318136.6078123376,184.71389020983625,169.90386515063773,station,station
Mercury,2318224.610820544,2318244.8098082067,290.1153967006315,273.92167299007235,station,station
Mercury,2318337.860922736,2318361.6598965824,41.67519395610609,32.033597881942185,station,station
Mercury,2318462.1804958135,2318485.1128694713,167.70650157853754,153.7441346539653,station,station
Mercury,2318573.5116727985,2318593.3656700626,274.22436714673415,257.9279432092411,station,station
Mercury,2318684.3486782247,2318708.002620886,23.201262308479368,12.125145447802131,station,station
Mercury,2318809.5876832595,2318833.2049912354,150.03325093752565,137.19725755643876,station,station
Mercury,2318922.336650525,2318942.089920208,258.39800213764835,242.12111091185818,station,station
Mercury,2319031.631527353,2319054.8796574185,5.516598120086934,352.9093319931913,station,station
Mercury,2319156.621265563,2319180.7078476427,131.58634972415996,120.1047490574545,station,station
Mercury,2319271.031318783,2319290.9379130527,242.57656926907669,226.407994302091,station,station
Mercury,2319379.5759948436,2319402.1895159828,348.439105098031,334.4912797558238,station,station
Mercury,2319503.216186786,2319527.4427536717,112.35526873223374,102.2727680413097,station,station
Mercury,2319619.5585535076,2319639.8598129516,226.6970806045478,210.7232621919203,station,station
Mercury,2319727.9852365414,2319749.8618499683,331.8097826586802,316.8436654258939,station,station
Mercury,2319849.30347428,2319873.380991416,92.5100587271587,83.53404262973615,station,station
Mercury,2319967.8872171585,2319988.7912993273,210.6591770874245,194.99657205647128,station,station
Mercury,2320076.68771418,2320097.8332717586,315.4937814900505,299.84360774457144,station,station
Mercury,2320194.937746946,2320218.846057296,72.47629772208184,63.92458819256711,station,station
Mercury,2320315.9886622652,2320337.6503726523,194.35404519963222,179.17025667296286,station,station
Mercury,2320425.5440490674,2320446.050341174,299.39065858978927,283.33627761631055,station,station
Mercury,2320540.510070415,2320564.365721332,52.78363569021282,43.76746621446958,station,station
Mercury,2320663.8391776215,2320686.326733442,177.64386811736858,163.1626480160979,station,station
Mercury,2320774.454441048,2320794.485922885,283.44223767127323,267.1912044916815,station,station
Mercury,2320886.5817258125,2320910.344440479,33.82802296395883,23.613762907647672,station,station
Mercury,2321011.415878405,2321034.6790287383,160.3710107791646,146.85762231923775,station,station
Mercury,2321123.333295484,2321143.1105350377,267.58352874791325,251.28127444211103,station,station
Mercury,2321233.4212704543,2321256.91276568,15.68783586956045,3.94841456732517,station,station
Mercury,2321358.688386105,2321382.539484444,142.39421692180662,130.1124766907019,station,station
Mercury,2321472.1160943517,2321491.8947805846,251.76683695554902,235.51981965560233,station,station
Mercury,2321580.999636963,2321603.9986967044,358.2662289539527,345.05256512569855,station,station
Mercury,2321705.5631000875,2321729.725223518,123.60409960678999,112.72570312022289,station,station
Mercury,2321820.7452288307,2321840.7864046805,235.9248823650552,219.8248018060766,station,station
Mercury,2321929.158694651,2321951.4801380998,341.403134385897,326.9833331928982,station,station
Mercury,2322051.9287581313,2322076.1211410407,104.06226192829352,94.51064668185722,station,station
Mercury,2322169.1841935227,2322189.7260736916,219.98557433329768,204.13078165903627,station,station
Mercury,2322277.712141213,2322299.2758367704,324.9232971186361,309.629741991477,station,station
Mercury,2322397.780735763,2322421.8014897835,84.06287153387746,75.37320622837352,station,station
Mercury,2322517.4129852206,2322538.637118323,203.85957513607983,188.38150902261086,station,station
Mercury,2322626.500915748,2322647.3499446213,308.7135144259045,292.8577211432084,station,station
Mercury,2322743.3405956374,2322767.1939993557,64.10477605967215,55.46057963702556,station,station
