shell_id,ordinal,planet,family,pre_shadow_start_jd_ut,pre_shadow_start_utc,pre_shadow_floor_degree,first_aries_ingress_jd_ut,first_aries_ingress_utc,final_pisces_egress_jd_ut,final_pisces_egress_utc,next_shell_first_aries_ingress_jd_ut,next_shell_first_aries_ingress_utc,transition_crossings,transition_crossing_count,z21_z23_intersections
J0,0,Jupiter,Jovian Reign,,,,432958.04248780967,-3527-04-18T13:01:10.947Z,432958.04248780967,-3527-04-18T13:01:10.947Z,437324.3055193329,-3515-04-01T19:19:56.870Z,"[{""jd_ut"":432958.04248780967,""motion"":""direct"",""utc"":""-3527-04-18T13:01:10.947Z""}]",1,
J1,1,Jupiter,Jovian Reign,,,,437324.3055193329,-3515-04-01T19:19:56.870Z,437324.3055193329,-3515-04-01T19:19:56.870Z,441691.07518785284,-3503-03-16T13:48:16.230Z,"[{""jd_ut"":437324.3055193329,""motion"":""direct"",""utc"":""-3515-04-01T19:19:56.870Z""}]",1,
J2,2,Jupiter,Jovian Reign,,,,441691.07518785284,-3503-03-16T13:48:16.230Z,441691.07518785284,-3503-03-16T13:48:16.230Z,446057.6913121734,-3491-03-01T04:35:29.372Z,"[{""jd_ut"":441691.07518785284,""motion"":""direct"",""utc"":""-3503-03-16T13:48:16.230Z""}]",1,
J3,3,Jupiter,Jovian Reign,,,,446057.6913121734,-3491-03-01T04:35:29.372Z,446057.6913121734,-3491-03-01T04:35:29.372Z,450422.6855941878,-3479-02-11T04:27:15.338Z,"[{""jd_ut"":446057.6913121734,""motion"":""direct"",""utc"":""-3491-03-01T04:35:29.372Z""}]",1,
J4,4,Jupiter,Jovian Reign,,,,450422.6855941878,-3479-02-11T04:27:15.338Z,450422.6855941878,-3479-02-11T04:27:15.338Z,454550.1248415401,-3468-05-31T14:59:46.309Z,"[{""jd_ut"":450422.6855941878,""motion"":""direct"",""utc"":""-3479-02-11T04:27:15.338Z""}]",1,
J5,5,Jupiter,Jovian Reign,454516.067385403,-3468-04-27T13:37:02.099Z,354.0204414877128,454550.1248415401,-3468-05-31T14:59:46.309Z,454784.4129743959,-3467-01-20T21:54:40.988Z,458909.6973810084,-3456-05-08T04:44:13.719Z,"[{""jd_ut"":454550.1248415401,""motion"":""direct"",""utc"":""-3468-05-31T14:59:46.309Z""},{""jd_ut"":454654.39982957335,""motion"":""retrograde"",""utc"":""-3468-09-12T21:35:45.275Z""},{""jd_ut"":454784.4129743959,""motion"":""direct"",""utc"":""-3467-01-20T21:54:40.988Z""}]",3,
J6,6,Jupiter,Jovian Reign,458903.6248989445,-3456-05-02T02:59:51.269Z,358.8085992456381,458909.6973810084,-3456-05-08T04:44:13.719Z,459135.4362281809,-3456-12-19T22:28:10.115Z,463273.9498270176,-3444-04-19T10:47:45.054Z,"[{""jd_ut"":458909.6973810084,""motion"":""direct"",""utc"":""-3456-05-08T04:44:13.719Z""},{""jd_ut"":459081.34976679937,""motion"":""retrograde"",""utc"":""-3456-10-26T20:23:39.851Z""},{""jd_ut"":459135.4362281809,""motion"":""direct"",""utc"":""-3456-12-19T22:28:10.115Z""}]",3,
J7,7,Jupiter,Jovian Reign,,,,463273.9498270176,-3444-04-19T10:47:45.054Z,463273.9498270176,-3444-04-19T10:47:45.054Z,467640.20188910933,-3432-04-02T16:50:43.219Z,"[{""jd_ut"":463273.9498270176,""motion"":""direct"",""utc"":""-3444-04-19T10:47:45.054Z""}]",1,
J8,8,Jupiter,Jovian Reign,,,,467640.20188910933,-3432-04-02T16:50:43.219Z,467640.20188910933,-3432-04-02T16:50:43.219Z,472006.57812087843,-3420-03-17T01:52:29.644Z,"[{""jd_ut"":467640.20188910933,""motion"":""direct"",""utc"":""-3432-04-02T16:50:43.219Z""}]",1,
J9,9,Jupiter,Jovian Reign,,,,472006.57812087843,-3420-03-17T01:52:29.644Z,472006.57812087843,-3420-03-17T01:52:29.644Z,476372.60354686494,-3408-02-29T02:29:06.449Z,"[{""jd_ut"":472006.57812087843,""motion"":""direct"",""utc"":""-3420-03-17T01:52:29.644Z""}]",1,
