shell_id,ordinal,planet,family,pre_shadow_start_jd_ut,pre_shadow_start_utc,pre_shadow_floor_degree,first_aries_ingress_jd_ut,first_aries_ingress_utc,final_pisces_egress_jd_ut,final_pisces_egress_utc,next_shell_first_aries_ingress_jd_ut,next_shell_first_aries_ingress_utc,transition_crossings,transition_crossing_count,z21_z23_intersections
C0,0,Mars,Martian Campaign,,,,431191.6827227506,-3532-06-17T04:23:07.246Z,431191.6827227506,-3532-06-17T04:23:07.246Z,431893.5322512805,-3530-05-20T00:46:26.511Z,"[{""jd_ut"":431191.6827227506,""motion"":""direct"",""utc"":""-3532-06-17T04:23:07.246Z""}]",1,
C1,1,Mars,Martian Campaign,,,,431893.5322512805,-3530-05-20T00:46:26.511Z,431893.5322512805,-3530-05-20T00:46:26.511Z,432602.20449986926,-3528-04-27T16:54:28.789Z,"[{""jd_ut"":431893.5322512805,""motion"":""direct"",""utc"":""-3530-05-20T00:46:26.511Z""}]",1,
C2,2,Mars,Martian Campaign,,,,432602.20449986926,-3528-04-27T16:54:28.789Z,432602.20449986926,-3528-04-27T16:54:28.789Z,433312.78354256053,-3526-04-08T06:48:18.077Z,"[{""jd_ut"":432602.20449986926,""motion"":""direct"",""utc"":""-3528-04-27T16:54:28.789Z""}]",1,
C3,3,Mars,Martian Campaign,,,,433312.78354256053,-3526-04-08T06:48:18.077Z,433312.78354256053,-3526-04-08T06:48:18.077Z,434024.0100699796,-3524-03-19T12:14:30.046Z,"[{""jd_ut"":433312.78354256053,""motion"":""direct"",""utc"":""-3526-04-08T06:48:18.077Z""}]",1,
C4,4,Mars,Martian Campaign,,,,434024.0100699796,-3524-03-19T12:14:30.046Z,434024.0100699796,-3524-03-19T12:14:30.046Z,434735.18193728605,-3522-02-28T16:21:59.382Z,"[{""jd_ut"":434024.0100699796,""motion"":""direct"",""utc"":""-3524-03-19T12:14:30.046Z""}]",1,
C5,5,Mars,Martian Campaign,,,,434735.18193728605,-3522-02-28T16:21:59.382Z,434735.18193728605,-3522-02-28T16:21:59.382Z,435445.49096132035,-3520-02-08T23:46:59.058Z,"[{""jd_ut"":434735.18193728605,""motion"":""direct"",""utc"":""-3522-02-28T16:21:59.382Z""}]",1,
C6,6,Mars,Martian Campaign,,,,435445.49096132035,-3520-02-08T23:46:59.058Z,435445.49096132035,-3520-02-08T23:46:59.058Z,436153.1971677635,-3518-01-16T16:43:55.295Z,"[{""jd_ut"":435445.49096132035,""motion"":""direct"",""utc"":""-3520-02-08T23:46:59.058Z""}]",1,
C7,7,Mars,Martian Campaign,,,,436153.1971677635,-3518-01-16T16:43:55.295Z,436153.1971677635,-3518-01-16T16:43:55.295Z,436690.2408461012,-3517-07-07T17:46:49.103Z,"[{""jd_ut"":436153.1971677635,""motion"":""direct"",""utc"":""-3518-01-16T16:43:55.295Z""}]",1,
C8,8,Mars,Martian Campaign,436661.9101211977,-3517-06-09T09:50:34.471Z,347.54317991669376,436690.2408461012,-3517-07-07T17:46:49.103Z,436850.4637552111,-3517-12-14T23:07:48.450Z,437381.7618808567,-3515-05-29T06:17:06.506Z,"[{""jd_ut"":436690.2408461012,""motion"":""direct"",""utc"":""-3517-07-07T17:46:49.103Z""},{""jd_ut"":436752.235030752,""motion"":""retrograde"",""utc"":""-3517-09-07T17:38:26.657Z""},{""jd_ut"":436850.4637552111,""motion"":""direct"",""utc"":""-3517-12-14T23:07:48.450Z""}]",3,
C9,9,Mars,Martian Campaign,,,,437381.7618808567,-3515-05-29T06:17:06.506Z,437381.7618808567,-3515-05-29T06:17:06.506Z,438088.8774242458,-3513-05-06T09:03:29.455Z,"[{""jd_ut"":437381.7618808567,""motion"":""direct"",""utc"":""-3515-05-29T06:17:06.506Z""}]",1,
