shell_id,ordinal,planet,family,pre_shadow_start_jd_ut,pre_shadow_start_utc,pre_shadow_floor_degree,first_aries_ingress_jd_ut,first_aries_ingress_utc,final_pisces_egress_jd_ut,final_pisces_egress_utc,next_shell_first_aries_ingress_jd_ut,next_shell_first_aries_ingress_utc,transition_crossings,transition_crossing_count,z21_z23_intersections
F0,0,Saturn,Saturnian Frame,,,,440239.2094484458,-3507-03-25T17:01:36.346Z,440239.2094484458,-3507-03-25T17:01:36.346Z,450873.3921228051,-3478-05-07T21:24:39.410Z,"[{""jd_ut"":440239.2094484458,""motion"":""direct"",""utc"":""-3507-03-25T17:01:36.346Z""}]",1,
F1,1,Saturn,Saturnian Frame,450849.71815404005,-3478-04-14T05:14:08.509Z,357.2296382483218,450873.3921228051,-3478-05-07T21:24:39.410Z,451132.9289148435,-3477-01-22T10:17:38.242Z,461773.00984617916,-3448-03-10T12:14:10.710Z,"[{""jd_ut"":450873.3921228051,""motion"":""direct"",""utc"":""-3478-05-07T21:24:39.410Z""},{""jd_ut"":451019.45714905486,""motion"":""retrograde"",""utc"":""-3478-09-30T22:58:17.678Z""},{""jd_ut"":451132.9289148435,""motion"":""direct"",""utc"":""-3477-01-22T10:17:38.242Z""}]",3,
F2,2,Saturn,Saturnian Frame,,,,461773.00984617916,-3448-03-10T12:14:10.710Z,461773.00984617916,-3448-03-10T12:14:10.710Z,472405.36587487755,-3419-04-19T20:46:51.589Z,"[{""jd_ut"":461773.00984617916,""motion"":""direct"",""utc"":""-3448-03-10T12:14:10.710Z""}]",1,
F3,3,Saturn,Saturnian Frame,472401.3803059079,-3419-04-15T21:07:38.430Z,359.50652780987673,472405.36587487755,-3419-04-19T20:46:51.589Z,472651.4793060026,-3419-12-21T23:30:12.039Z,483073.50771000376,-3390-07-06T00:11:06.144Z,"[{""jd_ut"":472405.36587487755,""motion"":""direct"",""utc"":""-3419-04-19T20:46:51.589Z""},{""jd_ut"":472605.70135012397,""motion"":""retrograde"",""utc"":""-3419-11-06T04:49:56.651Z""},{""jd_ut"":472651.4793060026,""motion"":""direct"",""utc"":""-3419-12-21T23:30:12.039Z""}]",3,
F4,4,Saturn,Saturnian Frame,482986.7931706323,-3390-04-10T07:02:09.943Z,353.0352030361148,483073.50771000376,-3390-07-06T00:11:06.144Z,483307.7201669542,-3389-02-25T05:17:02.425Z,493940.4595998153,-3360-04-05T23:01:49.424Z,"[{""jd_ut"":483073.50771000376,""motion"":""direct"",""utc"":""-3390-07-06T00:11:06.144Z""},{""jd_ut"":483089.27499821014,""motion"":""retrograde"",""utc"":""-3390-07-21T18:35:59.845Z""},{""jd_ut"":483307.7201669542,""motion"":""direct"",""utc"":""-3389-02-25T05:17:02.425Z""}]",3,
F5,5,Saturn,Saturnian Frame,,,,493940.4595998153,-3360-04-05T23:01:49.424Z,493940.4595998153,-3360-04-05T23:01:49.424Z,504585.2669685341,-3331-05-28T18:24:26.081Z,"[{""jd_ut"":493940.4595998153,""motion"":""direct"",""utc"":""-3360-04-05T23:01:49.424Z""}]",1,
F6,6,Saturn,Saturnian Frame,504538.12229131255,-3331-04-11T14:56:05.969Z,354.9928560290585,504585.2669685341,-3331-05-28T18:24:26.081Z,504842.72951259406,-3330-02-10T05:30:29.888Z,515477.7112032209,-3301-03-25T05:04:07.958Z,"[{""jd_ut"":504585.2669685341,""motion"":""direct"",""utc"":""-3331-05-28T18:24:26.081Z""},{""jd_ut"":504680.8225809947,""motion"":""retrograde"",""utc"":""-3331-09-01T07:44:30.998Z""},{""jd_ut"":504842.72951259406,""motion"":""direct"",""utc"":""-3330-02-10T05:30:29.888Z""}]",3,
F7,7,Saturn,Saturnian Frame,,,,515477.7112032209,-3301-03-25T05:04:07.958Z,515477.7112032209,-3301-03-25T05:04:07.958Z,526117.5682636106,-3272-05-12T01:38:17.976Z,"[{""jd_ut"":515477.7112032209,""motion"":""direct"",""utc"":""-3301-03-25T05:04:07.958Z""}]",1,
F8,8,Saturn,Saturnian Frame,526089.2377192457,-3272-04-13T17:42:18.943Z,356.7305735694295,526117.5682636106,-3272-05-12T01:38:17.976Z,526377.5420953927,-3271-01-27T01:00:37.042Z,537016.0639303948,-3242-03-14T13:32:03.586Z,"[{""jd_ut"":526117.5682636106,""motion"":""direct"",""utc"":""-3272-05-12T01:38:17.976Z""},{""jd_ut"":526253.200508253,""motion"":""retrograde"",""utc"":""-3272-09-24T16:48:43.913Z""},{""jd_ut"":526377.5420953927,""motion"":""direct"",""utc"":""-3271-01-27T01:00:37.042Z""}]",3,
F9,9,Saturn,Saturnian Frame,,,,537016.0639303948,-3242-03-14T13:32:03.586Z,537016.0639303948,-3242-03-14T13:32:03.586Z,547654.2400951432,-3213-04-29T17:45:44.220Z,"[{""jd_ut"":537016.0639303948,""motion"":""direct"",""utc"":""-3242-03-14T13:32:03.586Z""}]",1,
F10,10,Saturn,Saturnian Frame,547640.1663969869,-3213-04-15T15:59:36.700Z,358.2977983323639,547654.2400951432,-3213-04-29T17:45:44.220Z,547910.5494219605,-3212-01-11T01:11:10.057Z,558555.2952136064,-3183-03-03T19:05:06.456Z,"[{""jd_ut"":547654.2400951432,""motion"":""direct"",""utc"":""-3213-04-29T17:45:44.220Z""},{""jd_ut"":547823.8718610401,""motion"":""retrograde"",""utc"":""-3213-10-16T08:55:28.794Z""},{""jd_ut"":547910.5494219605,""motion"":""direct"",""utc"":""-3212-01-11T01:11:10.057Z""}]",3,
F11,11,Saturn,Saturnian Frame,,,,558555.2952136064,-3183-03-03T19:05:06.456Z,558555.2952136064,-3183-03-03T19:05:06.456Z,569192.5502469495,-3154-04-18T01:12:21.336Z,"[{""jd_ut"":558555.2952136064,""motion"":""direct"",""utc"":""-3183-03-03T19:05:06.456Z""}]",1,
F12,12,Saturn,Saturnian Frame,569191.0220210673,-3154-04-16T12:31:42.620Z,359.80938694590924,569192.5502469495,-3154-04-18T01:12:21.336Z,569432.4195210179,-3154-12-13T22:04:06.616Z,579851.0836535154,-3125-06-23T14:00:27.664Z,"[{""jd_ut"":569192.5502469495,""motion"":""direct"",""utc"":""-3154-04-18T01:12:21.336Z""},{""jd_ut"":569404.2359517238,""motion"":""retrograde"",""utc"":""-3154-11-15T17:39:46.229Z""},{""jd_ut"":569432.4195210179,""motion"":""direct"",""utc"":""-3154-12-13T22:04:06.616Z""}]",3,
F13,13,Saturn,Saturnian Frame,579776.5927756806,-3125-04-10T02:13:35.819Z,353.3738610839782,579851.0836535154,-3125-06-23T14:00:27.664Z,580094.614758306,-3124-02-22T02:45:15.118Z,590731.8238796697,-3095-04-08T07:46:23.203Z,"[{""jd_ut"":579851.0836535154,""motion"":""direct"",""utc"":""-3125-06-23T14:00:27.664Z""},{""jd_ut"":579891.2675294434,""motion"":""retrograde"",""utc"":""-3125-08-02T18:25:14.544Z""},{""jd_ut"":580094.614758306,""motion"":""direct"",""utc"":""-3124-02-22T02:45:15.118Z""}]",3,
F14,14,Saturn,Saturnian Frame,,,,590731.8238796697,-3095-04-08T07:46:23.203Z,590731.8238796697,-3095-04-08T07:46:23.203Z,601376.3411203963,-3066-05-30T20:11:12.802Z,"[{""jd_ut"":590731.8238796697,""motion"":""direct"",""utc"":""-3095-04-08T07:46:23.203Z""}]",1,
F15,15,Saturn,Saturnian Frame,601327.4219755908,-3066-04-11T22:07:38.691Z,354.8652848337015,601376.3411203963,-3066-05-30T20:11:12.802Z,601633.0306793205,-3065-02-11T12:44:10.693Z,612270.8966877197,-3036-03-28T09:31:13.819Z,"[{""jd_ut"":601376.3411203963,""motion"":""direct"",""utc"":""-3066-05-30T20:11:12.802Z""},{""jd_ut"":601468.2435793874,""motion"":""retrograde"",""utc"":""-3066-08-30T17:50:45.259Z""},{""jd_ut"":601633.0306793205,""motion"":""direct"",""utc"":""-3065-02-11T12:44:10.693Z""}]",3,
F16,16,Saturn,Saturnian Frame,,,,612270.8966877197,-3036-03-28T09:31:13.819Z,612270.8966877197,-3036-03-28T09:31:13.819Z,622909.765676003,-3007-05-14T06:22:34.407Z,"[{""jd_ut"":612270.8966877197,""motion"":""direct"",""utc"":""-3036-03-28T09:31:13.819Z""}]",1,
F17,17,Saturn,Saturnian Frame,622878.3001396176,-3007-04-12T19:12:12.063Z,356.42307053479783,622909.765676003,-3007-05-14T06:22:34.407Z,623169.6683484782,-3006-01-29T04:02:25.309Z,633809.2023341844,-2977-03-18T16:51:21.674Z,"[{""jd_ut"":622909.765676003,""motion"":""direct"",""utc"":""-3007-05-14T06:22:34.407Z""},{""jd_ut"":623038.5708078472,""motion"":""retrograde"",""utc"":""-3007-09-20T01:41:57.798Z""},{""jd_ut"":623169.6683484782,""motion"":""direct"",""utc"":""-3006-01-29T04:02:25.309Z""}]",3,
