body,bodyId,ordinal,preShadowStartDegree,preShadowStartJulianDayUT,preShadowStartUTC,retrogradeStationDegree,retrogradeStationJulianDayUT,retrogradeStationUTC,directStationDegree,directStationJulianDayUT,directStationUTC,postShadowEndDegree,postShadowEndJulianDayUT,postShadowEndUTC
Neptune,8,0,94.19926211608974,2296851.2771077454,1576-06-18T18:39:02.109Z,97.0112791510753,2296964.6174688498,1576-10-10T02:49:09.309Z,94.19926211608974,2297121.037641098,1577-03-15T12:54:12.191Z,97.0112791510753,2297234.332134407,1577-07-06T19:58:16.413Z
Jupiter,5,0,153.58941959215426,2296957.5523206927,1576-10-03T01:15:20.508Z,163.57649946828363,2297044.629602045,1576-12-29T03:06:37.617Z,153.58941959215426,2297166.820911616,1577-04-30T07:42:06.764Z,163.57649946828363,2297256.5138967074,1577-07-29T00:20:00.676Z
Saturn,6,0,275.87365840516225,2297060.6469885893,1577-01-14T03:31:39.814Z,282.48167242318385,2297158.2220840007,1577-04-21T17:19:48.058Z,275.87365840516225,2297299.7589342,1577-09-10T06:12:51.915Z,282.48167242318385,2297397.035967473,1577-12-16T12:51:47.590Z
Uranus,7,0,299.0319220339624,2297067.3237358127,1577-01-20T19:46:10.774Z,302.97411644516376,2297174.1116041923,1577-05-07T14:40:42.602Z,299.0319220339624,2297328.4743615845,1577-10-08T23:23:04.841Z,302.97411644516376,2297434.360766355,1578-01-22T20:39:30.213Z
Pluto,9,0,358.48135179086006,2297106.471909173,1577-02-28T23:19:32.953Z,0.5642191642926851,2297228.2678147918,1577-06-30T18:25:39.198Z,358.48135179086006,2297393.5505092936,1577-12-13T01:12:44.003Z,0.5642191642926851,2297513.461445626,1578-04-11T23:04:28.902Z
Mercury,2,0,7.891135848730166,2297117.241261374,1577-03-11T17:47:24.983Z,19.23289953069475,2297131.0307991803,1577-03-25T12:44:21.049Z,7.891135848730166,2297154.624425739,1577-04-18T02:59:10.384Z,19.23289953069475,2297172.544361476,1577-05-06T01:03:52.832Z
Venus,3,0,116.74485450055376,2297200.8587853387,1577-06-03T08:36:39.053Z,133.16993699418816,2297234.5947200526,1577-07-07T02:16:23.813Z,116.74485450055376,2297277.648031557,1577-08-19T03:33:09.927Z,133.16993699418816,2297311.144171834,1577-09-21T15:27:36.446Z
Neptune,8,1,96.43293998118232,2297218.7644395884,1577-06-21T06:20:47.580Z,99.24544847130241,2297332.1594513813,1577-10-12T15:49:36.599Z,96.43293998118232,2297488.5469167074,1578-03-18T01:07:33.604Z,99.24544847130241,2297601.920412872,1578-07-09T10:05:23.672Z
Mercury,2,1,133.4127562293405,2297237.318733815,1577-07-09T19:38:58.602Z,146.03315199099697,2297256.303029157,1577-07-28T19:16:21.719Z,133.4127562293405,2297280.0150164813,1577-08-21T12:21:37.424Z,146.03315199099697,2297294.1210805066,1577-09-04T14:54:21.356Z
Mercury,2,2,238.52691588669816,2297350.685942065,1577-10-31T04:27:45.394Z,254.79314086906584,2297369.3197193295,1577-11-18T19:40:23.750Z,238.52691588669816,2297389.0752637237,1577-12-08T13:48:22.786Z,254.79314086906584,2297407.284049373,1577-12-26T18:49:01.866Z
Jupiter,5,1,183.60132600150732,2297352.646532189,1577-11-02T03:31:00.381Z,193.5290215644395,2297439.7121119276,1578-01-28T05:05:26.471Z,183.60132600150732,2297562.941657886,1578-05-31T10:35:59.241Z,193.5290215644395,2297652.503307972,1578-08-29T00:04:45.809Z
Uranus,7,1,303.1024392492564,2297436.5566475503,1578-01-25T01:21:34.348Z,307.0389758606781,2297543.5465883324,1578-05-12T01:07:05.232Z,303.1024392492564,2297697.824970265,1578-10-13T07:47:57.431Z,307.0389758606781,2297803.7560740206,1579-01-27T06:08:44.795Z
Saturn,6,1,287.20006920178145,2297437.4571942873,1578-01-25T22:58:21.586Z,293.81573109805646,2297535.237390332,1578-05-03T17:41:50.525Z,287.20006920178145,2297676.4799687043,1578-09-21T23:31:09.296Z,293.81573109805646,2297773.367248792,1578-12-27T20:48:50.296Z
Mercury,2,3,348.80575926670826,2297464.458265353,1578-02-21T22:59:54.126Z,1.659928462732975,2297478.432229422,1578-03-07T22:22:24.622Z,348.80575926670826,2297501.5918114334,1578-03-31T02:12:12.508Z,1.659928462732975,2297520.5371114276,1578-04-19T00:53:26.427Z
Pluto,9,1,359.5727246470935,2297472.712984383,1578-03-02T05:06:41.851Z,1.6505982014292404,2297594.7168467892,1578-07-02T05:12:15.563Z,359.5727246470935,2297759.8146496946,1578-12-14T07:33:05.734Z,1.6505982014292404,2297879.9038878363,1579-04-13T09:41:35.909Z
Mercury,2,4,116.20669209680659,2297585.38695373,1578-06-22T21:17:12.802Z,127.44716017324927,2297603.274027854,1578-07-10T18:34:36.007Z,116.20669209680659,2297627.3957270905,1578-08-03T21:29:50.821Z,127.44716017324927,2297641.451271523,1578-08-17T22:49:49.860Z
Neptune,8,2,98.66359025785628,2297586.244524615,1578-06-23T17:52:06.927Z,101.4766278358324,2297699.611694566,1578-10-15T02:40:50.411Z,98.66359025785628,2297855.992285884,1579-03-20T11:48:53.500Z,101.4766278358324,2297969.5050555374,1579-07-12T00:07:16.798Z
Mars,4,0,5.038890870526935,2297609.1985598486,1578-07-16T16:45:55.571Z,17.74242932716098,2297655.204594494,1578-08-31T16:54:36.964Z,5.038890870526935,2297719.9221175583,1578-11-04T10:07:50.957Z,17.74242932716098,2297769.1657069325,1578-12-23T15:58:37.079Z
Mercury,2,5,222.82090328250817,2297698.6194456927,1578-10-14T02:52:00.108Z,238.9627736524,2297717.9849107563,1578-11-02T11:38:16.289Z,222.82090328250817,2297737.941333987,1578-11-22T10:35:31.256Z,238.9627736524,2297755.3095607124,1578-12-09T19:25:46.046Z
Jupiter,5,2,213.700964304783,2297748.6913557164,1578-12-03T04:35:33.134Z,223.5814618149685,2297835.5476837456,1579-02-28T01:08:39.876Z,213.700964304783,2297959.0713270903,1579-07-01T13:42:42.661Z,223.5814618149685,2298047.512522232,1579-09-28T00:18:01.921Z
Venus,3,1,338.8812685325284,2297790.2461805716,1579-01-13T17:54:30.001Z,355.042310241139,2297822.5680253785,1579-02-15T01:37:57.393Z,338.8812685325284,2297864.432340795,1579-03-28T22:22:34.245Z,355.042310241139,2297897.5553691126,1579-05-01T01:19:43.891Z
Uranus,7,2,307.1581675080416,2297805.801791912,1579-01-29T07:14:34.821Z,311.08875625006624,2297912.9081125883,1579-05-16T09:47:40.928Z,307.1581675080416,2298067.2070809593,1579-10-17T16:58:11.795Z,311.08875625006624,2298173.1154086906,1580-01-31T14:46:11.311Z
Mercury,2,6,330.5273506711271,2297812.078132469,1579-02-04T13:52:30.645Z,344.67078401034183,2297826.4650974423,1579-02-18T23:09:44.419Z,330.5273506711271,2297848.967297539,1579-03-13T11:12:54.507Z,344.67078401034183,2297868.6757144965,1579-04-02T04:13:01.732Z
Saturn,6,2,298.64105872890485,2297814.5193775706,1579-02-07T00:27:54.222Z,305.2727919833954,2297912.340679921,1579-05-15T20:10:34.745Z,298.64105872890485,2298053.2899493873,1579-10-03T18:57:31.627Z,305.2727919833954,2298149.708009485,1580-01-08T04:59:32.020Z
Pluto,9,2,0.6583124209990041,2297838.975535212,1579-03-03T11:24:46.242Z,2.7310074061277505,2297961.0907396814,1579-07-03T14:10:39.908Z,0.6583124209990041,2298126.0894553596,1579-12-15T14:08:48.943Z,2.7310074061277505,2298246.3203787245,1580-04-13T19:41:20.722Z
Mercury,2,7,98.23609774693529,2297933.154048469,1579-06-05T15:41:49.788Z,108.09736656142996,2297949.775909379,1579-06-22T06:37:18.570Z,98.23609774693529,2297973.999227494,1579-07-16T11:58:53.255Z,108.09736656142996,2297988.2051263265,1579-07-30T16:55:22.915Z
Neptune,8,3,100.89083954769671,2297953.7215051055,1579-06-26T05:18:58.041Z,103.70426979918386,2298067.058165637,1579-10-17T13:23:45.511Z,100.89083954769671,2298223.509555063,1580-03-22T00:13:45.557Z,103.70426979918386,2298337.0836672094,1580-07-13T14:00:28.847Z
Mercury,2,8,207.13660467600593,2298046.531062614,1579-09-27T00:44:43.810Z,223.06442109806852,2298066.4757306203,1579-10-16T23:25:03.126Z,207.13660467600593,2298086.8711687624,1579-11-06T08:54:28.981Z,223.06442109806852,2298103.412375983,1579-11-22T21:53:49.285Z
Jupiter,5,3,244.7532996601582,2298146.553237479,1580-01-05T01:16:39.718Z,254.60044903578003,2298232.89145083,1580-03-31T09:23:41.352Z,244.7532996601582,2298355.8450967222,1580-08-01T08:16:56.357Z,254.60044903578003,2298442.555494141,1580-10-27T01:19:54.694Z
Mercury,2,9,313.00186710773204,2298159.9603767507,1580-01-18T11:02:56.551Z,328.1060969548517,2298174.9374053553,1580-02-02T10:29:51.823Z,313.00186710773204,2298196.6867264956,1580-02-24T04:28:53.169Z,328.1060969548517,2298216.808608357,1580-03-15T07:24:23.762Z
