shell_sign_id,shell_id,shell_ordinal,sign_ordinal,sign_name,sign_start_degree,first_direct_ingress_jd_ut,first_direct_ingress_utc,next_sign_first_direct_ingress_jd_ut,next_sign_first_direct_ingress_utc,transition_crossings,transition_crossing_count
W0.01,W0,0,1,Aries,0,487010.37297789264,-3379-04-15T20:57:05.290Z,491816.6455315575,-3366-06-13T03:29:33.927Z,"[{""jd_ut"":487010.37297789264,""utc"":""-3379-04-15T20:57:05.290Z"",""motion"":""direct""},{""jd_ut"":487176.4534006197,""utc"":""-3379-09-28T22:52:53.814Z"",""motion"":""retrograde""},{""jd_ut"":487315.50752104644,""utc"":""-3378-02-15T00:10:49.818Z"",""motion"":""direct""}]",3
W0.02,W0,0,2,Taurus,30,491816.6455315575,-3366-06-13T03:29:33.927Z,496926.5285173517,-3352-06-09T00:41:03.899Z,"[{""jd_ut"":491816.6455315575,""utc"":""-3366-06-13T03:29:33.927Z"",""motion"":""direct""},{""jd_ut"":491921.49976769206,""utc"":""-3366-09-25T23:59:39.929Z"",""motion"":""retrograde""},{""jd_ut"":492119.1204097532,""utc"":""-3365-04-11T14:53:23.403Z"",""motion"":""direct""}]",3
W0.03,W0,0,3,Gemini,60,496926.5285173517,-3352-06-09T00:41:03.899Z,501747.82625388727,-3339-08-21T07:49:48.336Z,"[{""jd_ut"":496926.5285173517,""utc"":""-3352-06-09T00:41:03.899Z"",""motion"":""direct""},{""jd_ut"":497107.12688177044,""utc"":""-3352-12-06T15:02:42.585Z"",""motion"":""retrograde""},{""jd_ut"":497230.96678637236,""utc"":""-3351-04-09T11:12:10.343Z"",""motion"":""direct""}]",3
W0.04,W0,0,4,Cancer,90,501747.82625388727,-3339-08-21T07:49:48.336Z,506868.7168620344,-3325-08-29T05:12:16.880Z,"[{""jd_ut"":501747.82625388727,""utc"":""-3339-08-21T07:49:48.336Z"",""motion"":""direct""},{""jd_ut"":501832.4686825074,""utc"":""-3339-11-13T23:14:54.169Z"",""motion"":""retrograde""},{""jd_ut"":502048.48091268877,""utc"":""-3338-06-17T23:32:30.856Z"",""motion"":""direct""},{""jd_ut"":502294.9817995335,""utc"":""-3337-02-19T11:33:47.480Z"",""motion"":""retrograde""},{""jd_ut"":502335.05954462197,""utc"":""-3337-03-31T13:25:44.655Z"",""motion"":""direct""}]",5
W0.05,W0,0,5,Leo,120,506868.7168620344,-3325-08-29T05:12:16.880Z,511996.7453787102,-3311-09-12T05:53:20.721Z,"[{""jd_ut"":506868.7168620344,""utc"":""-3325-08-29T05:12:16.880Z"",""motion"":""direct""},{""jd_ut"":507002.54136645584,""utc"":""-3324-01-10T00:59:34.062Z"",""motion"":""retrograde""},{""jd_ut"":507175.51642617735,""utc"":""-3324-07-01T00:23:39.222Z"",""motion"":""direct""}]",3
W0.06,W0,0,6,Virgo,150,511996.7453787102,-3311-09-12T05:53:20.721Z,517126.6851776623,-3297-09-30T04:26:39.350Z,"[{""jd_ut"":511996.7453787102,""utc"":""-3311-09-12T05:53:20.721Z"",""motion"":""direct""},{""jd_ut"":512167.2654718751,""utc"":""-3310-03-01T18:22:16.770Z"",""motion"":""retrograde""},{""jd_ut"":512303.6431484036,""utc"":""-3310-07-16T03:26:08.022Z"",""motion"":""direct""}]",3
W0.07,W0,0,7,Libra,180,517126.6851776623,-3297-09-30T04:26:39.350Z,521951.3262728108,-3284-12-14T19:49:49.971Z,"[{""jd_ut"":517126.6851776623,""utc"":""-3297-09-30T04:26:39.350Z"",""motion"":""direct""},{""jd_ut"":517333.2921540843,""utc"":""-3296-04-23T19:00:42.113Z"",""motion"":""retrograde""},{""jd_ut"":517429.3368178577,""utc"":""-3296-07-28T20:05:01.063Z"",""motion"":""direct""}]",3
W0.08,W0,0,8,Scorpio,210,521951.3262728108,-3284-12-14T19:49:49.971Z,527068.5065798883,-3270-12-19T00:09:28.502Z,"[{""jd_ut"":521951.3262728108,""utc"":""-3284-12-14T19:49:49.971Z"",""motion"":""direct""},{""jd_ut"":522049.2353388326,""utc"":""-3283-03-22T17:38:53.275Z"",""motion"":""retrograde""},{""jd_ut"":522254.102782935,""utc"":""-3283-10-13T14:28:00.446Z"",""motion"":""direct""}]",3
W0.09,W0,0,9,Sagittarius,240,527068.5065798883,-3270-12-19T00:09:28.502Z,531890.4175555175,-3256-03-01T22:01:16.797Z,"[{""jd_ut"":527068.5065798883,""utc"":""-3270-12-19T00:09:28.502Z"",""motion"":""direct""},{""jd_ut"":527226.498897197,""utc"":""-3269-05-25T23:58:24.718Z"",""motion"":""retrograde""},{""jd_ut"":527375.6245588141,""utc"":""-3269-10-22T02:59:21.882Z"",""motion"":""direct""}]",3
W0.10,W0,0,10,Capricorn,270,531890.4175555175,-3256-03-01T22:01:16.797Z,536987.8225519366,-3242-02-14T07:44:28.487Z,"[{""jd_ut"":531890.4175555175,""utc"":""-3256-03-01T22:01:16.797Z"",""motion"":""direct""},{""jd_ut"":531954.8618532158,""utc"":""-3256-05-05T08:41:04.118Z"",""motion"":""retrograde""},{""jd_ut"":532184.4864732747,""utc"":""-3256-12-20T23:40:31.291Z"",""motion"":""direct""},{""jd_ut"":532415.853124131,""utc"":""-3255-08-09T08:28:29.925Z"",""motion"":""retrograde""},{""jd_ut"":532480.607180468,""utc"":""-3255-10-13T02:34:20.392Z"",""motion"":""direct""}]",5
