shell_id,ordinal,planet,family,pre_shadow_start_jd_ut,pre_shadow_start_utc,pre_shadow_floor_degree,first_aries_ingress_jd_ut,first_aries_ingress_utc,final_pisces_egress_jd_ut,final_pisces_egress_utc,next_shell_first_aries_ingress_jd_ut,next_shell_first_aries_ingress_utc,transition_crossings,transition_crossing_count,z21_z23_intersections
W0,0,Neptune,Neptunian Wave,486977.3206186766,-3379-03-13T19:41:41.454Z,358.789577591358,487010.37297789264,-3379-04-15T20:57:05.290Z,487315.50752104644,-3378-02-15T00:10:49.818Z,546892.7232027927,-3215-03-29T05:21:24.721Z,"[{""jd_ut"":487010.37297789264,""motion"":""direct"",""utc"":""-3379-04-15T20:57:05.290Z""},{""jd_ut"":487176.4534006197,""motion"":""retrograde"",""utc"":""-3379-09-28T22:52:53.814Z""},{""jd_ut"":487315.50752104644,""motion"":""direct"",""utc"":""-3378-02-15T00:10:49.818Z""}]",3,
W1,1,Neptune,Neptunian Wave,546877.8606416772,-3215-03-14T08:39:19.441Z,359.44660882189197,546892.7232027927,-3215-03-29T05:21:24.721Z,547192.6079912214,-3214-01-23T02:35:30.442Z,606474.9616491874,-3052-05-15T11:04:46.490Z,"[{""jd_ut"":546892.7232027927,""motion"":""direct"",""utc"":""-3215-03-29T05:21:24.721Z""},{""jd_ut"":547102.2398291347,""motion"":""retrograde"",""utc"":""-3215-10-24T17:45:21.237Z""},{""jd_ut"":547192.6079912214,""motion"":""direct"",""utc"":""-3214-01-23T02:35:30.442Z""}]",3,
W2,2,Neptune,Neptunian Wave,606410.8725403333,-3052-03-12T08:56:27.485Z,357.8408386423758,606474.9616491874,-3052-05-15T11:04:46.490Z,606775.974398857,-3051-03-12T11:23:08.061Z,666354.56891012,-2888-04-26T01:39:13.834Z,"[{""jd_ut"":606474.9616491874,""motion"":""direct"",""utc"":""-3052-05-15T11:04:46.490Z""},{""jd_ut"":606575.1248403224,""motion"":""retrograde"",""utc"":""-3052-08-23T14:59:46.204Z""},{""jd_ut"":606775.974398857,""motion"":""direct"",""utc"":""-3051-03-12T11:23:08.061Z""}]",3,
W3,3,Neptune,Neptunian Wave,666311.3442850071,-2888-03-13T20:15:46.225Z,358.447298455946,666354.56891012,-2888-04-26T01:39:13.834Z,666659.5042824803,-2887-02-25T00:06:10.006Z,726237.9396091457,-2724-04-08T10:33:02.230Z,"[{""jd_ut"":666354.56891012,""motion"":""direct"",""utc"":""-2888-04-26T01:39:13.834Z""},{""jd_ut"":666498.3360590255,""motion"":""retrograde"",""utc"":""-2888-09-16T20:03:55.500Z""},{""jd_ut"":666659.5042824803,""motion"":""direct"",""utc"":""-2887-02-25T00:06:10.006Z""}]",3,
W4,4,Neptune,Neptunian Wave,726211.5951597416,-2724-03-13T02:17:01.802Z,359.02595748538283,726237.9396091457,-2724-04-08T10:33:02.230Z,726542.0599520572,-2723-02-06T13:26:19.858Z,785832.3148049735,-2561-06-08T19:33:19.150Z,"[{""jd_ut"":726237.9396091457,""motion"":""direct"",""utc"":""-2724-04-08T10:33:02.230Z""},{""jd_ut"":726419.4381330048,""motion"":""retrograde"",""utc"":""-2724-10-06T22:30:54.692Z""},{""jd_ut"":726542.0599520572,""motion"":""direct"",""utc"":""-2723-02-06T13:26:19.858Z""}]",3,
W5,5,Neptune,Neptunian Wave,785744.345647495,-2561-03-12T20:17:43.944Z,357.3639015176492,785832.3148049735,-2561-06-08T19:33:19.150Z,786419.5904266133,-2559-01-16T02:10:12.859Z,845706.2928628505,-2397-05-13T19:01:43.350Z,"[{""jd_ut"":785832.3148049735,""motion"":""direct"",""utc"":""-2561-06-08T19:33:19.150Z""},{""jd_ut"":785884.4458880716,""motion"":""retrograde"",""utc"":""-2561-07-30T22:42:04.729Z""},{""jd_ut"":786122.455066209,""motion"":""direct"",""utc"":""-2560-03-24T22:55:17.720Z""},{""jd_ut"":786344.1919913488,""motion"":""retrograde"",""utc"":""-2560-11-01T16:36:28.053Z""},{""jd_ut"":786419.5904266133,""motion"":""direct"",""utc"":""-2559-01-16T02:10:12.859Z""}]",5,
W6,6,Neptune,Neptunian Wave,845644.7186032808,-2397-03-13T05:14:47.323Z,357.90507047141574,845706.2928628505,-2397-05-13T19:01:43.350Z,846008.2392516062,-2396-03-10T17:44:31.339Z,905589.0463410837,-2233-04-26T13:06:43.870Z,"[{""jd_ut"":845706.2928628505,""motion"":""direct"",""utc"":""-2397-05-13T19:01:43.350Z""},{""jd_ut"":845812.071633732,""motion"":""retrograde"",""utc"":""-2397-08-27T13:43:09.154Z""},{""jd_ut"":846008.2392516062,""motion"":""direct"",""utc"":""-2396-03-10T17:44:31.339Z""}]",3,
W7,7,Neptune,Neptunian Wave,905545.1594664122,-2233-03-13T15:49:37.898Z,358.42451051103416,905589.0463410837,-2233-04-26T13:06:43.870Z,905894.0875551454,-2232-02-25T14:06:04.765Z,965476.0357127632,-2069-04-14T12:51:25.583Z,"[{""jd_ut"":905589.0463410837,""motion"":""direct"",""utc"":""-2233-04-26T13:06:43.870Z""},{""jd_ut"":905731.7537755927,""motion"":""retrograde"",""utc"":""-2233-09-16T06:05:26.211Z""},{""jd_ut"":905894.0875551454,""motion"":""direct"",""utc"":""-2232-02-25T14:06:04.765Z""}]",3,
W8,8,Neptune,Neptunian Wave,965445.4975863283,-2069-03-14T23:56:31.459Z,358.87496048932235,965476.0357127632,-2069-04-14T12:51:25.583Z,965780.7565208937,-2068-02-13T06:09:23.405Z,1025364.4161260647,-1905-04-01T21:59:13.292Z,"[{""jd_ut"":965476.0357127632,""motion"":""direct"",""utc"":""-2069-04-14T12:51:25.583Z""},{""jd_ut"":965647.9585635576,""motion"":""retrograde"",""utc"":""-2069-10-03T11:00:19.891Z""},{""jd_ut"":965780.7565208937,""motion"":""direct"",""utc"":""-2068-02-13T06:09:23.405Z""}]",3,
W9,9,Neptune,Neptunian Wave,1025345.6198732418,-1905-03-14T02:52:37.048Z,359.29889082195257,1025364.4161260647,-1905-04-01T21:59:13.292Z,1025666.37405343,-1904-01-28T20:58:38.216Z,1084960.6157409642,-1742-06-03T02:46:40.019Z,"[{""jd_ut"":1025364.4161260647,""motion"":""direct"",""utc"":""-1905-04-01T21:59:13.292Z""},{""jd_ut"":1025564.2996938105,""motion"":""retrograde"",""utc"":""-1905-10-18T19:11:33.545Z""},{""jd_ut"":1025666.37405343,""motion"":""direct"",""utc"":""-1904-01-28T20:58:38.216Z""}]",3,
