shell_sign_id,shell_id,sign_ordinal,sign_name,sign_start_degree,first_direct_ingress_jd_ut,first_direct_ingress_utc,next_sign_first_direct_ingress_jd_ut,next_sign_first_direct_ingress_utc,transition_crossings,transition_crossing_count
Z21.01,Z21,1,Aries,0,2297171.740867775,1577-05-05T05:46:50.976Z,2307828.495696569,1606-07-08T23:53:48.184Z,"[{""jd_ut"":2297171.740867775,""utc"":""1577-05-05T05:46:50.976Z"",""motion"":""direct""},{""jd_ut"":2297286.5545825465,""utc"":""1577-08-28T01:18:35.932Z"",""motion"":""retrograde""},{""jd_ut"":2297490.259656082,""utc"":""1578-03-19T18:13:54.285Z"",""motion"":""direct""},{""jd_ut"":2297711.0236680843,""utc"":""1578-10-26T12:34:04.922Z"",""motion"":""retrograde""},{""jd_ut"":2297807.3231940987,""utc"":""1579-01-30T19:45:23.970Z"",""motion"":""direct""}]",5
Z21.02,Z21,2,Taurus,30,2307828.495696569,1606-07-08T23:53:48.184Z,2319517.034424579,1638-07-09T12:49:34.284Z,"[{""jd_ut"":2307828.495696569,""utc"":""1606-07-08T23:53:48.184Z"",""motion"":""direct""},{""jd_ut"":2307872.217167545,""utc"":""1606-08-21T17:12:43.276Z"",""motion"":""retrograde""},{""jd_ut"":2308133.9454573905,""utc"":""1607-05-10T10:41:27.519Z"",""motion"":""direct""},{""jd_ut"":2308302.811219318,""utc"":""1607-10-26T07:28:09.349Z"",""motion"":""retrograde""},{""jd_ut"":2308457.33443485,""utc"":""1608-03-28T20:01:35.171Z"",""motion"":""direct""}]",5
Z21.03,Z21,3,Gemini,60,2319517.034424579,1638-07-09T12:49:34.284Z,2330490.068364661,1668-07-24T13:38:26.707Z,"[{""jd_ut"":2319517.034424579,""utc"":""1638-07-09T12:49:34.284Z"",""motion"":""direct""},{""jd_ut"":2319621.7347782934,""utc"":""1638-10-22T05:38:04.845Z"",""motion"":""retrograde""},{""jd_ut"":2319836.5898531526,""utc"":""1639-05-25T02:09:23.312Z"",""motion"":""direct""},{""jd_ut"":2320040.556516369,""utc"":""1639-12-15T01:21:23.014Z"",""motion"":""retrograde""},{""jd_ut"":2320158.1603314923,""utc"":""1640-04-10T15:50:52.641Z"",""motion"":""direct""}]",5
Z21.04,Z21,4,Cancer,90,2330490.068364661,1668-07-24T13:38:26.707Z,2339296.509016726,1692-09-03T00:12:59.045Z,"[{""jd_ut"":2330490.068364661,""utc"":""1668-07-24T13:38:26.707Z"",""motion"":""direct""},{""jd_ut"":2330627.0059024636,""utc"":""1668-12-08T12:08:29.973Z"",""motion"":""retrograde""},{""jd_ut"":2330809.7848597737,""utc"":""1669-06-09T06:50:11.884Z"",""motion"":""direct""},{""jd_ut"":2331055.5004503224,""utc"":""1670-02-10T00:00:38.908Z"",""motion"":""retrograde""},{""jd_ut"":2331118.5438771145,""utc"":""1670-04-14T01:03:10.983Z"",""motion"":""direct""}]",5
Z21.05,Z21,5,Leo,120,2339296.509016726,1692-09-03T00:12:59.045Z,2345914.8749986747,1710-10-18T08:59:59.885Z,"[{""jd_ut"":2339296.509016726,""utc"":""1692-09-03T00:12:59.045Z"",""motion"":""direct""},{""jd_ut"":2339414.37378323,""utc"":""1692-12-29T20:58:14.871Z"",""motion"":""retrograde""},{""jd_ut"":2339609.4348783502,""utc"":""1693-07-12T22:26:13.489Z"",""motion"":""direct""},{""jd_ut"":2339853.8543087495,""utc"":""1694-03-14T08:30:12.276Z"",""motion"":""retrograde""},{""jd_ut"":2339910.3081951533,""utc"":""1694-05-09T19:23:48.061Z"",""motion"":""direct""}]",5
Z21.06,Z21,6,Virgo,150,2345914.8749986747,1710-10-18T08:59:59.885Z,2351056.4842621638,1724-11-14T23:37:20.251Z,"[{""jd_ut"":2345914.8749986747,""utc"":""1710-10-18T08:59:59.885Z"",""motion"":""direct""},{""jd_ut"":2346006.784707672,""utc"":""1711-01-18T06:49:58.743Z"",""motion"":""retrograde""},{""jd_ut"":2346218.0623769388,""utc"":""1711-08-17T13:29:49.368Z"",""motion"":""direct""},{""jd_ut"":2346462.711929084,""utc"":""1712-04-18T05:05:10.673Z"",""motion"":""retrograde""},{""jd_ut"":2346508.58927809,""utc"":""1712-06-03T02:08:33.627Z"",""motion"":""direct""}]",5
Z21.07,Z21,7,Libra,180,2351056.4842621638,1724-11-14T23:37:20.251Z,2355460.9973751213,1736-12-06T11:56:13.210Z,"[{""jd_ut"":2351056.4842621638,""utc"":""1724-11-14T23:37:20.251Z"",""motion"":""direct""},{""jd_ut"":2351155.0720921606,""utc"":""1725-02-21T13:43:48.763Z"",""motion"":""retrograde""},{""jd_ut"":2351355.6763050016,""utc"":""1725-09-10T04:13:52.752Z"",""motion"":""direct""}]",3
Z21.08,Z21,8,Scorpio,210,2355460.9973751213,1736-12-06T11:56:13.210Z,2359848.2164927227,1748-12-10T17:11:44.971Z,"[{""jd_ut"":2355460.9973751213,""utc"":""1736-12-06T11:56:13.210Z"",""motion"":""direct""},{""jd_ut"":2355579.5795918927,""utc"":""1737-04-04T01:54:36.740Z"",""motion"":""retrograde""},{""jd_ut"":2355760.5150367534,""utc"":""1737-10-02T00:21:39.175Z"",""motion"":""direct""}]",3
Z21.09,Z21,9,Sagittarius,240,2359848.2164927227,1748-12-10T17:11:44.971Z,2364624.620799032,1762-01-08T02:53:57.036Z,"[{""jd_ut"":2359848.2164927227,""utc"":""1748-12-10T17:11:44.971Z"",""motion"":""direct""},{""jd_ut"":2360027.552194014,""utc"":""1749-06-08T01:15:09.563Z"",""motion"":""retrograde""},{""jd_ut"":2360148.9567077104,""utc"":""1749-10-07T10:57:39.546Z"",""motion"":""direct""}]",3
Z21.10,Z21,10,Capricorn,270,2364624.620799032,1762-01-08T02:53:57.036Z,2370190.2027120367,1777-04-04T16:51:54.320Z,"[{""jd_ut"":2364624.620799032,""utc"":""1762-01-08T02:53:57.036Z"",""motion"":""direct""},{""jd_ut"":2364805.8411181048,""utc"":""1762-07-08T08:11:12.604Z"",""motion"":""retrograde""},{""jd_ut"":2364930.247050546,""utc"":""1762-11-09T17:55:45.167Z"",""motion"":""direct""}]",3
Z21.11,Z21,11,Aquarius,300,2370190.2027120367,1777-04-04T16:51:54.320Z,2377502.0420999518,1797-04-11T13:00:37.436Z,"[{""jd_ut"":2370190.2027120367,""utc"":""1777-04-04T16:51:54.320Z"",""motion"":""direct""},{""jd_ut"":2370243.110463462,""utc"":""1777-05-27T14:39:04.043Z"",""motion"":""retrograde""},{""jd_ut"":2370487.5132128773,""utc"":""1778-01-27T00:19:01.593Z"",""motion"":""direct""},{""jd_ut"":2370693.1235495014,""utc"":""1778-08-20T14:57:54.677Z"",""motion"":""retrograde""},{""jd_ut"":2370796.3724035276,""utc"":""1778-12-01T20:56:15.665Z"",""motion"":""direct""}]",5
