shell_sign_id,shell_id,shell_ordinal,sign_ordinal,sign_name,sign_start_degree,first_direct_ingress_jd_ut,first_direct_ingress_utc,next_sign_first_direct_ingress_jd_ut,next_sign_first_direct_ingress_utc,transition_crossings,transition_crossing_count
F0.01,F0,0,1,Aries,0,440239.2094484458,-3507-03-25T17:01:36.346Z,441008.031846315,-3505-05-03T12:45:51.522Z,"[{""jd_ut"":440239.2094484458,""utc"":""-3507-03-25T17:01:36.346Z"",""motion"":""direct""}]",1
F0.02,F0,0,2,Taurus,30,441008.031846315,-3505-05-03T12:45:51.522Z,441786.98461869895,-3503-06-20T11:37:51.056Z,"[{""jd_ut"":441008.031846315,""utc"":""-3505-05-03T12:45:51.522Z"",""motion"":""direct""}]",1
F0.03,F0,0,3,Gemini,60,441786.98461869895,-3503-06-20T11:37:51.056Z,442588.9693332956,-3501-08-31T11:15:50.397Z,"[{""jd_ut"":441786.98461869895,""utc"":""-3503-06-20T11:37:51.056Z"",""motion"":""direct""},{""jd_ut"":441975.6271221227,""utc"":""-3503-12-26T03:03:03.351Z"",""motion"":""retrograde""},{""jd_ut"":442042.6861674916,""utc"":""-3502-03-03T04:28:04.871Z"",""motion"":""direct""}]",3
F0.04,F0,0,4,Cancer,90,442588.9693332956,-3501-08-31T11:15:50.397Z,443661.16118924576,-3498-08-08T15:52:06.751Z,"[{""jd_ut"":442588.9693332956,""utc"":""-3501-08-31T11:15:50.397Z"",""motion"":""direct""},{""jd_ut"":442669.4412360559,""utc"":""-3501-11-19T22:35:22.795Z"",""motion"":""retrograde""},{""jd_ut"":442852.7776901615,""utc"":""-3500-05-22T06:39:52.430Z"",""motion"":""direct""}]",3
F0.05,F0,0,5,Leo,120,443661.16118924576,-3498-08-08T15:52:06.751Z,444758.4329223172,-3495-08-09T22:23:24.488Z,"[{""jd_ut"":443661.16118924576,""utc"":""-3498-08-08T15:52:06.751Z"",""motion"":""direct""}]",1
F0.06,F0,0,6,Virgo,150,444758.4329223172,-3495-08-09T22:23:24.488Z,445585.564541987,-3493-11-15T01:32:56.428Z,"[{""jd_ut"":444758.4329223172,""utc"":""-3495-08-09T22:23:24.488Z"",""motion"":""direct""}]",1
F0.07,F0,0,7,Libra,180,445585.564541987,-3493-11-15T01:32:56.428Z,446678.56591533835,-3490-11-12T01:34:55.085Z,"[{""jd_ut"":445585.564541987,""utc"":""-3493-11-15T01:32:56.428Z"",""motion"":""direct""},{""jd_ut"":445700.73673680215,""utc"":""-3492-03-09T05:40:54.060Z"",""motion"":""retrograde""},{""jd_ut"":445859.0876379657,""utc"":""-3492-08-14T14:06:11.920Z"",""motion"":""direct""}]",3
F0.08,F0,0,8,Scorpio,210,446678.56591533835,-3490-11-12T01:34:55.085Z,447763.3579823186,-3487-10-31T20:35:29.672Z,"[{""jd_ut"":446678.56591533835,""utc"":""-3490-11-12T01:34:55.085Z"",""motion"":""direct""},{""jd_ut"":446890.53824709076,""utc"":""-3489-06-12T00:55:04.549Z"",""motion"":""retrograde""},{""jd_ut"":446936.58521732944,""utc"":""-3489-07-28T02:02:42.777Z"",""motion"":""direct""}]",3
F0.09,F0,0,9,Sagittarius,240,447763.3579823186,-3487-10-31T20:35:29.672Z,448555.7245280971,-3484-01-02T05:23:19.228Z,"[{""jd_ut"":447763.3579823186,""utc"":""-3487-10-31T20:35:29.672Z"",""motion"":""direct""}]",1
F0.10,F0,0,10,Capricorn,270,448555.7245280971,-3484-01-02T05:23:19.228Z,449336.09609349025,-3482-02-20T14:18:22.478Z,"[{""jd_ut"":448555.7245280971,""utc"":""-3484-01-02T05:23:19.228Z"",""motion"":""direct""}]",1
