row,start_utc,end_utc,start_jd_ut,end_jd_ut,F,R,W,Z,address,start_boundary,boundary_cause,next_boundary,next_boundary_cause
1,1577-05-05T05:46:50.976Z,1584-04-18T00:34:23.952Z,2297171.740867774934,2299711.523888330907,F172,R60,W30,Z21,F172.R60.W30.Z21,Z21,Pluto,F173,Saturn
2,1584-04-18T00:34:23.952Z,1592-04-07T11:22:02.558Z,2299711.523888330907,2302622.973640719429,F173,R60,W30,Z21,F173.R60.W30.Z21,F173,Saturn,R61,Uranus
3,1592-04-07T11:22:02.558Z,1613-06-19T23:14:59.794Z,2302622.973640719429,2310366.468747612089,F173,R61,W30,Z21,F173.R61.W30.Z21,R61,Uranus,F174,Saturn
4,1613-06-19T23:14:59.794Z,1643-04-05T15:30:11.435Z,2310366.468747612089,2321248.145965678617,F174,R61,W30,Z21,F174.R61.W30.Z21,F174,Saturn,F175,Saturn
5,1643-04-05T15:30:11.435Z,1672-05-22T13:24:20.099Z,2321248.145965678617,2331888.058565955609,F175,R61,W30,Z21,F175.R61.W30.Z21,F175,Saturn,F176,Saturn
6,1672-05-22T13:24:20.099Z,1675-06-24T17:05:10.408Z,2331888.058565955609,2333016.211926022545,F176,R61,W30,Z21,F176.R61.W30.Z21,F176,Saturn,R62,Uranus
7,1675-06-24T17:05:10.408Z,1697-04-30T10:27:29.835Z,2333016.211926022545,2340996.935761980712,F176,R62,W30,Z21,F176.R62.W30.Z21,R62,Uranus,W31,Neptune
8,1697-04-30T10:27:29.835Z,1702-03-24T01:37:56.793Z,2340996.935761980712,2342784.568018438295,F176,R62,W31,Z21,F176.R62.W31.Z21,W31,Neptune,F177,Saturn
9,1702-03-24T01:37:56.793Z,1731-05-05T12:45:59.003Z,2342784.568018438295,2353419.031932899728,F177,R62,W31,Z21,F177.R62.W31.Z21,F177,Saturn,F178,Saturn
10,1731-05-05T12:45:59.003Z,1759-05-13T00:20:57.040Z,2353419.031932899728,2363653.514549073763,F178,R62,W31,Z21,F178.R62.W31.Z21,F178,Saturn,R63,Uranus
11,1759-05-13T00:20:57.040Z,1761-03-09T20:04:33.457Z,2363653.514549073763,2364320.336498340592,F178,R63,W31,Z21,F178.R63.W31.Z21,R63,Uranus,F179,Saturn
12,1761-03-09T20:04:33.457Z,1790-04-18T15:10:21.066Z,2364320.336498340592,2374952.132188262418,F179,R63,W31,Z21,F179.R63.W31.Z21,F179,Saturn,F180,Saturn
13,1790-04-18T15:10:21.066Z,1819-06-13T02:57:29.803Z,2374952.132188262418,2385598.623261605389,F180,R63,W31,Z21,F180.R63.W31.Z21,F180,Saturn,F181,Saturn
14,1819-06-13T02:57:29.803Z,1822-04-16T13:54:20.135Z,2385598.623261605389,2386637.079399708658,F181,R63,W31,Z21,F181.R63.W31.Z21,F181,Saturn,Z22,Pluto
15,1822-04-16T13:54:20.135Z,1843-04-20T05:17:19.364Z,2386637.079399708658,2394310.720363010652,F181,R63,W31,Z22,F181.R63.W31.Z22,Z22,Pluto,R64,Uranus
