shell_sign_id,shell_id,shell_ordinal,sign_ordinal,sign_name,sign_start_degree,first_direct_ingress_jd_ut,first_direct_ingress_utc,next_sign_first_direct_ingress_jd_ut,next_sign_first_direct_ingress_utc,transition_crossings,transition_crossing_count
R0.01,R0,0,1,Aries,0,436953.759450997,-3516-03-27T06:13:36.566Z,439238.4014999325,-3510-06-28T21:38:09.594Z,"[{""jd_ut"":436953.759450997,""utc"":""-3516-03-27T06:13:36.566Z"",""motion"":""direct""},{""jd_ut"":437184.82752491964,""utc"":""-3516-11-13T07:51:38.153Z"",""motion"":""retrograde""},{""jd_ut"":437229.6377209552,""utc"":""-3516-12-28T03:18:19.091Z"",""motion"":""direct""}]",3
R0.02,R0,0,2,Taurus,30,439238.4014999325,-3510-06-28T21:38:09.594Z,441777.364185293,-3503-06-10T20:44:25.609Z,"[{""jd_ut"":439238.4014999325,""utc"":""-3510-06-28T21:38:09.594Z"",""motion"":""direct""},{""jd_ut"":439314.64407893945,""utc"":""-3510-09-13T03:27:28.420Z"",""motion"":""retrograde""},{""jd_ut"":439522.0128042038,""utc"":""-3509-04-08T12:18:26.283Z"",""motion"":""direct""}]",3
R0.03,R0,0,3,Gemini,60,441777.364185293,-3503-06-10T20:44:25.609Z,444023.4352142934,-3497-08-05T22:26:42.515Z,"[{""jd_ut"":441777.364185293,""utc"":""-3503-06-10T20:44:25.609Z"",""motion"":""direct""},{""jd_ut"":441965.37887387536,""utc"":""-3503-12-15T21:05:34.703Z"",""motion"":""retrograde""},{""jd_ut"":442063.2916943991,""utc"":""-3502-03-23T19:00:02.396Z"",""motion"":""direct""}]",3
R0.04,R0,0,4,Cancer,90,444023.4352142934,-3497-08-05T22:26:42.515Z,446282.5001515135,-3491-10-12T00:00:13.091Z,"[{""jd_ut"":444023.4352142934,""utc"":""-3497-08-05T22:26:42.515Z"",""motion"":""direct""},{""jd_ut"":444151.4308480696,""utc"":""-3497-12-11T22:20:25.273Z"",""motion"":""retrograde""},{""jd_ut"":444313.5726006599,""utc"":""-3496-05-22T01:44:32.697Z"",""motion"":""direct""}]",3
R0.05,R0,0,5,Leo,120,446282.5001515135,-3491-10-12T00:00:13.091Z,448810.4996490943,-3484-09-12T23:59:29.682Z,"[{""jd_ut"":446282.5001515135,""utc"":""-3491-10-12T00:00:13.091Z"",""motion"":""direct""},{""jd_ut"":446328.8537459023,""utc"":""-3491-11-27T08:29:23.646Z"",""motion"":""retrograde""},{""jd_ut"":446558.5746320904,""utc"":""-3490-07-15T01:47:28.213Z"",""motion"":""direct""}]",3
R0.06,R0,0,6,Virgo,150,448810.4996490943,-3484-09-12T23:59:29.682Z,451376.92119951197,-3477-09-23T10:06:31.638Z,"[{""jd_ut"":448810.4996490943,""utc"":""-3484-09-12T23:59:29.682Z"",""motion"":""direct""},{""jd_ut"":448991.37528954993,""utc"":""-3483-03-12T21:00:25.017Z"",""motion"":""retrograde""},{""jd_ut"":449100.55500603,""utc"":""-3483-06-30T01:19:12.521Z"",""motion"":""direct""}]",3
R0.07,R0,0,7,Libra,180,451376.92119951197,-3477-09-23T10:06:31.638Z,453965.2233363505,-3470-10-24T17:21:36.261Z,"[{""jd_ut"":451376.92119951197,""utc"":""-3477-09-23T10:06:31.638Z"",""motion"":""direct""}]",1
R0.08,R0,0,8,Scorpio,210,453965.2233363505,-3470-10-24T17:21:36.261Z,456574.9286710634,-3463-12-16T10:17:17.180Z,"[{""jd_ut"":453965.2233363505,""utc"":""-3470-10-24T17:21:36.261Z"",""motion"":""direct""},{""jd_ut"":454208.07169401064,""utc"":""-3469-06-24T13:43:14.363Z"",""motion"":""retrograde""},{""jd_ut"":454239.69716969004,""utc"":""-3469-07-26T04:43:55.461Z"",""motion"":""direct""}]",3
R0.09,R0,0,9,Sagittarius,240,456574.9286710634,-3463-12-16T10:17:17.180Z,459211.8851303996,-3455-03-06T09:14:35.267Z,"[{""jd_ut"":456574.9286710634,""utc"":""-3463-12-16T10:17:17.180Z"",""motion"":""direct""},{""jd_ut"":456744.6567746239,""utc"":""-3462-06-04T03:45:45.328Z"",""motion"":""retrograde""},{""jd_ut"":456870.9575585928,""utc"":""-3462-10-08T10:58:53.062Z"",""motion"":""direct""}]",3
R0.10,R0,0,10,Capricorn,270,459211.8851303996,-3455-03-06T09:14:35.267Z,462118.9241635421,-3447-02-19T10:10:47.730Z,"[{""jd_ut"":459211.8851303996,""utc"":""-3455-03-06T09:14:35.267Z"",""motion"":""direct""},{""jd_ut"":459270.9274544099,""utc"":""-3455-05-04T10:15:32.061Z"",""motion"":""retrograde""},{""jd_ut"":459494.9123816398,""utc"":""-3455-12-14T09:53:49.774Z"",""motion"":""direct""}]",3
