shell_id,ordinal,planet,family,pre_shadow_start_jd_ut,pre_shadow_start_utc,pre_shadow_floor_degree,first_aries_ingress_jd_ut,first_aries_ingress_utc,final_pisces_egress_jd_ut,final_pisces_egress_utc,next_shell_first_aries_ingress_jd_ut,next_shell_first_aries_ingress_utc,transition_crossings,transition_crossing_count,z21_z23_intersections
R0,0,Uranus,Uranian Revolt,436950.02470140124,-3516-03-23T12:35:34.201Z,359.77954966305225,436953.759450997,-3516-03-27T06:13:36.566Z,437229.6377209552,-3516-12-28T03:18:19.091Z,467338.6081740393,-3433-06-06T02:35:46.237Z,"[{""jd_ut"":436953.759450997,""motion"":""direct"",""utc"":""-3516-03-27T06:13:36.566Z""},{""jd_ut"":437184.82752491964,""motion"":""retrograde"",""utc"":""-3516-11-13T07:51:38.153Z""},{""jd_ut"":437229.6377209552,""motion"":""direct"",""utc"":""-3516-12-28T03:18:19.091Z""}]",3,
R1,1,Uranus,Uranian Revolt,467261.49624929857,-3433-03-20T23:54:35.939Z,356.35788089321187,467338.6081740393,-3433-06-06T02:35:46.237Z,467619.29562580516,-3432-03-12T19:05:42.070Z,497993.3862494825,-3349-05-11T21:16:11.955Z,"[{""jd_ut"":467338.6081740393,""motion"":""direct"",""utc"":""-3433-06-06T02:35:46.237Z""},{""jd_ut"":467400.3055011487,""motion"":""retrograde"",""utc"":""-3433-08-06T19:19:55.299Z""},{""jd_ut"":467619.29562580516,""motion"":""direct"",""utc"":""-3432-03-12T19:05:42.070Z""}]",3,
R2,2,Uranus,Uranian Revolt,497942.8117267176,-3349-03-22T07:28:53.188Z,357.29461714192246,497993.3862494825,-3349-05-11T21:16:11.955Z,498284.3353712441,-3348-02-26T20:02:56.075Z,528655.6659539666,-3265-04-24T03:58:58.423Z,"[{""jd_ut"":497993.3862494825,""motion"":""direct"",""utc"":""-3349-05-11T21:16:11.955Z""},{""jd_ut"":498109.43924754276,""motion"":""retrograde"",""utc"":""-3349-09-04T22:32:30.988Z""},{""jd_ut"":498284.3353712441,""motion"":""direct"",""utc"":""-3348-02-26T20:02:56.075Z""}]",3,
R3,3,Uranus,Uranian Revolt,528624.1435438856,-3265-03-23T15:26:42.192Z,358.21728948041834,528655.6659539666,-3265-04-24T03:58:58.423Z,528948.1137430056,-3264-02-10T14:43:47.396Z,559318.9844509186,-3181-04-06T11:37:36.559Z,"[{""jd_ut"":528655.6659539666,""motion"":""direct"",""utc"":""-3265-04-24T03:58:58.423Z""},{""jd_ut"":528812.7406117399,""motion"":""retrograde"",""utc"":""-3265-09-28T05:46:28.854Z""},{""jd_ut"":528948.1137430056,""motion"":""direct"",""utc"":""-3264-02-10T14:43:47.396Z""}]",3,
R4,4,Uranus,Uranian Revolt,559305.4990876268,-3181-03-23T23:58:41.171Z,359.2139488104918,559318.9844509186,-3181-04-06T11:37:36.559Z,559606.0852178391,-3180-01-18T14:02:42.821Z,589983.4139719403,-3097-03-21T21:56:07.176Z,"[{""jd_ut"":559318.9844509186,""motion"":""direct"",""utc"":""-3181-04-06T11:37:36.559Z""},{""jd_ut"":559519.7193754178,""motion"":""retrograde"",""utc"":""-3181-10-24T05:15:54.036Z""},{""jd_ut"":559606.0852178391,""motion"":""direct"",""utc"":""-3180-01-18T14:02:42.821Z""}]",3,
R5,5,Uranus,Uranian Revolt,,,,589983.4139719403,-3097-03-21T21:56:07.176Z,589983.4139719403,-3097-03-21T21:56:07.176Z,620358.0493025454,-3014-05-19T13:10:59.740Z,"[{""jd_ut"":589983.4139719403,""motion"":""direct"",""utc"":""-3097-03-21T21:56:07.176Z""}]",1,
R6,6,Uranus,Uranian Revolt,620298.4691852494,-3014-03-20T23:15:37.606Z,356.9337078390334,620358.0493025454,-3014-05-19T13:10:59.740Z,620646.9247225258,-3013-03-04T10:11:36.026Z,651017.4115718161,-2930-04-28T21:52:39.805Z,"[{""jd_ut"":620358.0493025454,""motion"":""direct"",""utc"":""-3014-05-19T13:10:59.740Z""},{""jd_ut"":620456.0007150103,""motion"":""retrograde"",""utc"":""-3014-08-25T12:01:01.777Z""},{""jd_ut"":620646.9247225258,""motion"":""direct"",""utc"":""-3013-03-04T10:11:36.026Z""}]",3,
R7,7,Uranus,Uranian Revolt,650979.829672118,-2930-03-22T07:54:43.671Z,357.9107633391436,651017.4115718161,-2930-04-28T21:52:39.805Z,651310.3866657992,-2929-02-15T21:16:47.925Z,681680.0910379798,-2846-04-11T14:11:05.681Z,"[{""jd_ut"":651017.4115718161,""motion"":""direct"",""utc"":""-2930-04-28T21:52:39.805Z""},{""jd_ut"":651161.7009466139,""motion"":""retrograde"",""utc"":""-2930-09-20T04:49:21.787Z""},{""jd_ut"":651310.3866657992,""motion"":""direct"",""utc"":""-2929-02-15T21:16:47.925Z""}]",3,
R8,8,Uranus,Uranian Revolt,681661.1622952139,-2846-03-23T15:53:42.306Z,358.90704310916294,681680.0910379798,-2846-04-11T14:11:05.681Z,681970.3433383198,-2845-01-26T20:14:24.431Z,712345.1962920101,-2762-03-26T16:42:39.630Z,"[{""jd_ut"":681680.0910379798,""motion"":""direct"",""utc"":""-2846-04-11T14:11:05.681Z""},{""jd_ut"":681867.3534799356,""motion"":""retrograde"",""utc"":""-2846-10-15T20:29:00.666Z""},{""jd_ut"":681970.3433383198,""motion"":""direct"",""utc"":""-2845-01-26T20:14:24.431Z""}]",3,
R9,9,Uranus,Uranian Revolt,712342.5050172978,-2762-03-24T00:07:13.495Z,359.84231084776457,712345.1962920101,-2762-03-26T16:42:39.630Z,712619.6634298165,-2762-12-26T03:55:20.336Z,742723.6566200345,-2679-05-29T03:45:31.971Z,"[{""jd_ut"":712345.1962920101,""motion"":""direct"",""utc"":""-2762-03-26T16:42:39.630Z""},{""jd_ut"":712581.7898463381,""motion"":""retrograde"",""utc"":""-2762-11-18T06:57:22.724Z""},{""jd_ut"":712619.6634298165,""motion"":""direct"",""utc"":""-2762-12-26T03:55:20.336Z""}]",3,
