zeitgeist_id,ordinal,pre_shadow_start_jd_ut,pre_shadow_start_utc,pre_shadow_floor_degree,first_aries_ingress_jd_ut,first_aries_ingress_utc,final_pisces_egress_jd_ut,final_pisces_egress_utc,next_zeitgeist_first_aries_ingress_jd_ut,next_zeitgeist_first_aries_ingress_utc,transition_crossing_count
Z0,0,430458.2337596044,-3534-06-14T17:36:36.830Z,358.2190794158715,431167.610188324,-3532-05-24T02:38:40.271Z,431802.7150522806,-3530-02-18T05:09:40.517Z,519893.7967531346,-3289-04-28T07:07:19.471Z,5
Z1,1,519212.7199692577,-3291-06-16T05:16:45.344Z,358.6891759149246,519893.7967531346,-3289-04-28T07:07:19.471Z,520531.25197296217,-3287-01-24T18:02:50.464Z,608315.432938721,-3047-05-29T22:23:25.905Z,5
Z2,2,607596.0933666453,-3049-06-10T14:14:26.878Z,358.1721813104152,608315.432938721,-3047-05-29T22:23:25.905Z,608949.3688183837,-3045-02-22T20:51:05.908Z,697039.8645725884,-2804-04-30T08:44:59.072Z,5
Z3,3,696351.7060353458,-2806-06-12T04:56:41.454Z,358.631281215802,697039.8645725884,-2804-04-30T08:44:59.072Z,697679.1472908892,-2802-01-29T15:32:05.933Z,785462.5726366006,-2562-06-04T01:44:35.802Z,5
Z4,4,784737.2968601659,-2564-06-08T19:07:28.718Z,358.13844584000833,785462.5726366006,-2562-06-04T01:44:35.802Z,786094.6541293748,-2560-02-26T03:41:56.778Z,874188.3972381912,-2319-05-05T21:32:01.380Z,5
Z5,5,873491.5469186455,-2321-06-09T01:07:33.771Z,358.5277922756341,874188.3972381912,-2319-05-05T21:32:01.380Z,874828.9473223649,-2317-02-05T10:44:08.652Z,962922.8913589381,-2076-04-17T09:23:33.412Z,5
Z6,6,962244.8448443785,-2078-06-09T08:16:34.554Z,358.906301513689,962922.8913589381,-2076-04-17T09:23:33.412Z,963556.80694573,-2074-01-11T07:22:00.111Z,1051353.9921042882,-1834-05-29T11:48:37.810Z,5
Z7,7,1050633.033791095,-1836-06-07T12:48:39.551Z,358.20045950320645,1051353.9921042882,-1834-05-29T11:48:37.810Z,1051988.74772143,-1832-02-23T05:56:43.132Z,1140090.9185055755,-1591-05-12T10:02:38.882Z,5
Z8,8,1139388.0583164692,-1593-06-09T13:23:58.543Z,358.430236584751,1140090.9185055755,-1591-05-12T10:02:38.882Z,1140731.5521947034,-1589-02-12T01:15:09.622Z,1228841.6206830554,-1348-05-09T02:53:47.016Z,5
Z9,9,1228141.7079630643,-1350-06-09T04:59:28.009Z,358.48195785278773,1228841.6206830554,-1348-05-09T02:53:47.016Z,1229482.4310800992,-1346-02-08T22:20:45.321Z,1317594.089648474,-1105-05-07T14:09:05.628Z,5
Z10,10,1316897.2340476438,-1107-06-09T17:37:01.716Z,358.50428612774726,1317594.089648474,-1105-05-07T14:09:05.628Z,1318235.1134487875,-1103-02-06T14:43:21.975Z,1406357.871810589,-0862-05-18T08:55:24.435Z,5
Z11,11,1405651.8919590786,-0864-06-11T09:24:25.264Z,358.3456284030869,1406357.871810589,-0862-05-18T08:55:24.435Z,1406996.7304779924,-0860-02-16T05:31:53.299Z,1495126.5763595514,-0619-06-01T01:49:57.465Z,5
Z12,12,1494408.3495207727,-0621-06-13T20:23:18.595Z,358.15731881097184,1495126.5763595514,-0619-06-01T01:49:57.465Z,1495759.450501997,-0617-02-23T22:48:43.373Z,1584208.5114330687,-0375-04-25T00:16:27.817Z,5
Z13,13,1583528.73699148,-0377-06-15T05:41:16.064Z,358.7316305725052,1584208.5114330687,-0375-04-25T00:16:27.817Z,1584846.5715112127,-0373-01-23T01:42:58.569Z,1672990.0065741576,-0132-05-22T12:09:28.007Z,5
Z14,14,1672285.0949478745,-0134-06-17T14:16:43.496Z,358.256408786749,1672990.0065741576,-0132-05-22T12:09:28.007Z,1673626.8431248926,-0130-02-18T08:14:05.991Z,1762089.931904856,0112-05-03T10:21:56.580Z,5
