body,startCelestialTimeDegrees,endCelestialTimeDegrees,startOffsetSeconds,endOffsetSeconds,startJulianDay,endJulianDay,userFacingMotion
NorthNode,20.538700693,20.538074053,0,23233,2297171.740867774934,2297172.009768280201,retrograde
Saturn,282.334184459,275.873658405,0,11060761,2297171.740867774934,2297299.758934199810,retrograde
Uranus,302.974116445,299.031922034,204832,13541774,2297174.111604192294,2297328.474361584522,retrograde
NorthNode,20.610142449,20.096805032,419927,1251397,2297176.601133157499,2297186.224632213823,retrograde
NorthNode,20.173893064,19.343252079,1627363,2546939,2297190.576085885055,2297201.219322699122,retrograde
NorthNode,19.368756103,18.180183121,2771237,3820105,2297203.815370818600,2297215.955046381801,retrograde
NorthNode,18.188469957,16.905080628,3975500,5068701,2297217.753593698144,2297230.406384965405,retrograde
Pluto,0.564219164,358.481351791,4883928,19164353,2297228.267814791761,2297393.550509293564,retrograde
NorthNode,16.905266458,15.336616238,5109034,6316068,2297230.873207030818,2297244.843507473357,retrograde
Venus,133.169936994,116.744854501,5430573,9150379,2297234.594720052555,2297277.648031556979,retrograde
NorthNode,15.337487911,14.140449600,6387819,7445471,2297245.673963511363,2297257.915303062648,retrograde
Mercury,146.033151991,133.412756229,7306171,9354886,2297256.303029157221,2297280.015016481280,retrograde
NorthNode,14.149071388,12.903775660,7594596,8657192,2297259.641279877163,2297271.939850163646,retrograde
NorthNode,12.949498435,12.285806162,8950227,9796051,2297275.331459143199,2297285.121088153683,retrograde
NorthNode,12.345903793,11.797448470,10127836,11004943,2297288.961191652343,2297299.112898040563,retrograde
NorthNode,11.903267640,11.741004050,11505982,12162906,2297304.911955785938,2297312.515244725160,retrograde
NorthNode,11.792828216,11.766436010,12672856,13220053,2297318.417438854463,2297324.750734927133,retrograde
NorthNode,11.767036350,11.701994298,13359346,14054367,2297326.362923928536,2297334.407149242237,retrograde
Neptune,99.245448471,96.432939981,13860166,27372043,2297332.159451381303,2297488.546916707419,retrograde
NorthNode,11.763918326,11.535584243,14536081,15232199,2297339.982543531805,2297348.039469879121,retrograde
NorthNode,11.648720652,11.002038821,15714717,16596602,2297353.624169372022,2297363.831170089543,retrograde
NorthNode,11.056605459,10.185326401,16900287,17805888,2297367.346045231447,2297377.827539483085,retrograde
Mercury,254.793140869,238.526915887,17070813,18777692,2297369.319719329476,2297389.075263723731,retrograde
NorthNode,10.220959492,8.831312775,18063378,19134250,2297380.807748431340,2297393.202089798637,retrograde
NorthNode,8.835404440,7.332830683,19245385,20388578,2297394.488375677727,2297407.719775410369,retrograde
NorthNode,7.332841997,5.753757047,20404908,21578316,2297407.908789356239,2297421.489890017547,retrograde
NorthNode,5.756087171,4.347261383,21669972,22744291,2297422.550733105280,2297434.984977087006,retrograde
NorthNode,4.374048968,3.396331368,22974970,23920415,2297437.654874789529,2297448.597522744909,retrograde
Jupiter,193.529021564,183.601326002,23152715,33799748,2297439.712111927569,2297562.941657885909,retrograde
NorthNode,3.444359331,2.735627903,24205376,25093142,2297451.895683212206,2297462.170757119544,retrograde
NorthNode,2.845756890,2.557259105,25552699,26281655,2297467.489695589058,2297475.926694100723,retrograde
Mercury,1.659928463,348.805759267,26498134,28499122,2297478.432229422033,2297501.591811433434,retrograde
NorthNode,2.625817833,2.520452280,26743688,27448836,2297481.274294619448,2297489.435728984885,retrograde
NorthNode,2.532582356,2.528843900,27851104,28116973,2297494.091604684480,2297497.168800195679,retrograde
NorthNode,2.567726980,2.447459779,28654133,29287041,2297503.385928887874,2297510.711252833717,retrograde
NorthNode,2.548479574,2.062751446,29803523,30667455,2297516.689052345231,2297526.688266200013,retrograde
NorthNode,2.129604418,1.550761781,31022973,31837734,2297530.803055110388,2297540.233159434982,retrograde
Saturn,293.815731098,287.200069202,31406100,43609458,2297535.237390331924,2297676.479968704283,retrograde
Uranus,307.038975861,303.102439249,32124014,45453666,2297543.546588332392,2297697.824970264919,retrograde
NorthNode,1.604433115,0.390177904,32151265,33205060,2297543.861995104700,2297556.058686706237,retrograde
NorthNode,0.402777037,359.297691048,33376632,34396084,2297558.044473754242,2297569.843687955290,retrograde
NorthNode,359.299764062,357.667881266,34491971,35714446,2297570.953495441005,2297585.102513337508,retrograde
NorthNode,357.667902768,356.417953928,35734103,36832122,2297585.330026286654,2297598.038578063250,retrograde
Pluto,1.650598201,359.572724647,36545125,50809575,2297594.716846789233,2297759.814649694599,retrograde
NorthNode,356.422875698,355.107240236,36961423,38051279,2297599.535115684383,2297612.149184740148,retrograde
Mercury,127.447160173,116.206692097,37284465,39368580,2297603.274027854204,2297627.395727090538,retrograde
NorthNode,355.127584067,354.270521213,38256600,39180296,2297614.525586036965,2297625.216517969035,retrograde
NorthNode,354.337474493,353.725145035,39530216,40399385,2297629.266515444964,2297639.326337548904,retrograde
NorthNode,353.795885457,353.489523579,40779300,41536971,2297643.723508197814,2297652.492849895731,retrograde
Mars,17.742429327,5.038890871,41771266,47362860,2297655.204594493844,2297719.922117558308,retrograde
NorthNode,353.587390916,353.500846896,42099572,42762978,2297659.004429450259,2297666.682745919563,retrograde
NorthNode,353.511996775,353.511538045,43174067,43305970,2297671.440721914172,2297672.967378113419,retrograde
NorthNode,353.549193468,353.367441035,43895733,44666277,2297679.793329522945,2297688.711663723923,retrograde
NorthNode,353.452841857,353.130777735,45133753,45844779,2297694.122265386395,2297702.351735902950,retrograde
Neptune,101.476627836,98.663590258,45608039,59119323,2297699.611694565974,2297855.992285883985,retrograde
NorthNode,353.219697452,352.290303260,46248036,47228051,2297707.019061719999,2297718.361831580289,retrograde
Mercury,238.962773652,222.820903283,47195485,48919720,2297717.984910756350,2297737.941333986819,retrograde
NorthNode,352.332160246,351.430342172,47497826,48396743,2297721.484227897599,2297731.888351089321,retrograde
NorthNode,351.447457806,349.687998025,48589352,49782281,2297734.117630703375,2297747.924671681598,retrograde
NorthNode,349.688710917,348.386209853,49844571,50925467,2297748.645619180985,2297761.155994931236,retrograde
NorthNode,348.386367707,346.589363767,50964139,52178425,2297761.603590622544,2297775.657828049734,retrograde
NorthNode,346.598612927,345.558647707,52328260,53271402,2297777.392024820670,2297788.308024541475,retrograde
NorthNode,345.599988795,344.616530102,53541854,54518668,2297791.438251336105,2297802.743968432769,retrograde
NorthNode,344.686405658,344.254483940,54865483,55630571,2297806.758030436002,2297815.613219130784,retrograde
NorthNode,344.362760918,344.149411156,56124202,56875241,2297821.326534520835,2297830.019123293459,retrograde
Venus,355.042310241,338.881268533,56231466,59848543,2297822.568025378510,2297864.432340795174,retrograde
Mercury,344.670784010,330.527350671,56568173,58512364,2297826.465097442269,2297848.967297539115,retrograde
Jupiter,223.581461815,213.700964305,57352909,68025352,2297835.547683745623,2297959.071327090263,retrograde
NorthNode,344.197373000,344.184794683,57397411,57811753,2297836.062757832929,2297840.858380681835,retrograde
NorthNode,344.186140397,344.110846423,57994615,58703299,2297842.974832923152,2297851.177199902944,retrograde
NorthNode,344.192992631,343.963975135,59242509,59927421,2297857.418056974187,2297865.345273469575,retrograde
NorthNode,344.050327412,343.357552776,60351222,61273810,2297870.250376936980,2297880.928487421013,retrograde
NorthNode,343.419737377,342.700264001,61607178,62460637,2297884.786907497793,2297894.664903719909,retrograde
NorthNode,342.728217769,341.237126346,62695143,63832651,2297897.379099521786,2297910.544695322402,retrograde
NorthNode,341.242148867,340.127708510,63959012,64999860,2297912.007207107730,2297924.054060804658,retrograde
Saturn,305.272791983,298.641058729,63987824,76165841,2297912.340679921210,2298053.289949387312,retrograde
Uranus,311.088756250,307.158167508,64036850,77368281,2297912.908112588339,2298067.207080959342,retrograde
NorthNode,340.127796160,338.330998522,65032019,66297750,2297924.426274210215,2297939.075935330242,retrograde
NorthNode,338.332403725,337.294718284,66379532,67372931,2297940.022486177273,2297951.520162153989,retrograde
Mercury,108.097366561,98.236097747,67222228,69315122,2297949.775909379125,2297973.999227494001,retrograde
NorthNode,337.307296619,336.016480715,67548704,68635342,2297953.554568913765,2297966.131397029385,retrograde
Pluto,2.731007406,0.658312421,68199829,82455718,2297961.090739681385,2298126.089455359615,retrograde
NorthNode,336.058287951,335.475289357,68914841,69728092,2297969.366337656043,2297978.778968527913,retrograde
NorthNode,335.550362422,335.041324387,70105909,70982140,2297983.151855094358,2297993.293416147120,retrograde
NorthNode,335.124640952,334.980083141,71442535,72093620,2297998.622057287022,2298006.157770119607,retrograde
NorthNode,335.036423004,335.023995054,72671796,73089782,2298012.849620388821,2298017.687420651317,retrograde
