body,celestialTimeDegrees,utOffsetSeconds,utJulianDay,sequenceBefore,sequenceAfter,userFacingStation
Mercury,105.909190151,158626,2475820.977741323411,increasing,decreasing,station_retrograde
NorthNode,278.862235763,497187,2475824.896264470182,decreasing,increasing,station_direct
Pluto,0.027709392,1036178,2475831.134594469331,increasing,decreasing,station_retrograde
NorthNode,278.889912310,1098512,2475831.856048548594,increasing,decreasing,station_retrograde
NorthNode,278.889906376,1129763,2475832.217751200311,decreasing,increasing,station_direct
NorthNode,278.910983941,1670286,2475838.473809695803,increasing,decreasing,station_retrograde
Mercury,96.616568821,2244978,2475845.125330969691,decreasing,increasing,station_direct
NorthNode,278.822646961,2301844,2475845.783504064195,decreasing,increasing,station_direct
NorthNode,278.920572157,2853953,2475852.173656477593,increasing,decreasing,station_retrograde
Jupiter,240.919351322,3504159,2475859.699183113873,decreasing,increasing,station_direct
NorthNode,278.550466188,3666601,2475861.579304371029,decreasing,increasing,station_direct
NorthNode,278.618187948,4036540,2475865.861006995663,increasing,decreasing,station_retrograde
Uranus,241.727687390,4603407,2475872.421962297522,decreasing,increasing,station_direct
NorthNode,278.070289231,4859096,2475875.381326071918,decreasing,increasing,station_direct
NorthNode,278.136125238,5205183,2475879.386966869235,increasing,decreasing,station_retrograde
NorthNode,277.103665711,6195133,2475890.844714888372,decreasing,increasing,station_direct
NorthNode,277.121598034,6389126,2475893.090011671185,increasing,decreasing,station_retrograde
NorthNode,275.937151085,7426734,2475905.099361352623,decreasing,increasing,station_direct
NorthNode,275.941435574,7549291,2475906.517839156091,increasing,decreasing,station_retrograde
Venus,206.780421864,8243204,2475914.549240158871,increasing,decreasing,station_retrograde
NorthNode,274.427638652,8717336,2475920.036878388375,decreasing,increasing,station_direct
NorthNode,274.427646283,8730994,2475920.194962858222,increasing,decreasing,station_retrograde
Neptune,94.294774037,9628057,2475930.577634642832,increasing,decreasing,station_retrograde
NorthNode,272.951219584,9888444,2475933.591376071796,decreasing,increasing,station_direct
NorthNode,272.954815661,10003033,2475934.917632825673,increasing,decreasing,station_retrograde
Mercury,222.730877204,10335443,2475938.764975868165,increasing,decreasing,station_retrograde
NorthNode,271.660522114,11061879,2475947.172796173021,decreasing,increasing,station_direct
NorthNode,271.678204817,11251590,2475949.368522777222,increasing,decreasing,station_retrograde
Venus,190.984099445,11870124,2475956.527489511296,decreasing,increasing,station_direct
Mercury,206.951802869,12122618,2475959.449871875346,decreasing,increasing,station_direct
NorthNode,270.616314999,12232911,2475960.726408250630,decreasing,increasing,station_direct
NorthNode,270.687003945,12580537,2475964.749852661975,increasing,decreasing,station_retrograde
NorthNode,270.080682739,13413069,2475974.385644122027,decreasing,increasing,station_direct
NorthNode,270.155011853,13786892,2475978.712304295041,increasing,decreasing,station_retrograde
NorthNode,269.784848222,14585575,2475987.956320819445,decreasing,increasing,station_direct
NorthNode,269.889401582,15154107,2475994.536542460322,increasing,decreasing,station_retrograde
Pluto,357.912298273,15311178,2475996.354493028484,decreasing,increasing,station_direct
NorthNode,269.812718564,15780124,2476001.782109478489,decreasing,increasing,station_direct
Saturn,160.961067417,16122782,2476005.748066313565,increasing,decreasing,station_retrograde
NorthNode,269.821585573,16138165,2476005.926107664593,increasing,decreasing,station_retrograde
NorthNode,269.820037151,16331135,2476008.159561739303,decreasing,increasing,station_direct
NorthNode,269.872157080,16943396,2476015.245912008919,increasing,decreasing,station_retrograde
NorthNode,269.655487975,17718383,2476024.215670998208,decreasing,increasing,station_direct
NorthNode,269.738453402,18156602,2476029.287649314851,increasing,decreasing,station_retrograde
NorthNode,269.364427347,18888240,2476037.755677570589,decreasing,increasing,station_direct
NorthNode,269.459451468,19294635,2476042.459328014404,increasing,decreasing,station_retrograde
Mercury,327.553434646,19718978,2476047.370705053210,increasing,decreasing,station_retrograde
NorthNode,268.484483515,20271507,2476053.765717368573,decreasing,increasing,station_direct
NorthNode,268.519328537,20518316,2476056.622299632058,increasing,decreasing,station_retrograde
NorthNode,267.519456101,21455723,2476067.471912461333,decreasing,increasing,station_direct
Mercury,312.098189279,21567054,2476068.760472953320,decreasing,increasing,station_direct
NorthNode,267.533463175,21637141,2476069.571664919145,increasing,decreasing,station_retrograde
NorthNode,265.872021063,22812497,2476083.175321866758,decreasing,increasing,station_direct
NorthNode,265.872373178,22861455,2476083.741967537440,increasing,decreasing,station_retrograde
Neptune,91.478256595,23145456,2476087.029015575536,decreasing,increasing,station_direct
Uranus,250.265894259,23362966,2476089.546492244117,increasing,decreasing,station_retrograde
NorthNode,264.504716087,23974763,2476096.627471646294,decreasing,increasing,station_direct
NorthNode,264.505175171,24031427,2476097.283311853185,increasing,decreasing,station_retrograde
NorthNode,262.947441786,25194348,2476110.743043962866,decreasing,increasing,station_direct
NorthNode,262.956751219,25345700,2476112.494803982787,increasing,decreasing,station_retrograde
NorthNode,261.894173394,26320291,2476123.774786608294,decreasing,increasing,station_direct
NorthNode,261.938363614,26606757,2476127.090365286916,increasing,decreasing,station_retrograde
Jupiter,282.769751922,27304534,2476135.166484542191,increasing,decreasing,station_retrograde
NorthNode,261.112234641,27538095,2476137.869738077745,decreasing,increasing,station_direct
Saturn,154.078694715,27839924,2476141.363128811121,decreasing,increasing,station_direct
NorthNode,261.173010789,27871684,2476141.730730029754,increasing,decreasing,station_retrograde
NorthNode,260.716606151,28674914,2476151.027374851517,decreasing,increasing,station_direct
NorthNode,260.823909129,29177981,2476156.849898796529,increasing,decreasing,station_retrograde
NorthNode,260.629140594,29897516,2476165.177849704400,decreasing,increasing,station_direct
Mercury,85.870343145,30030783,2476166.720301784575,increasing,decreasing,station_retrograde
NorthNode,260.678362400,30396483,2476170.952938099392,increasing,decreasing,station_retrograde
NorthNode,260.649415188,30987527,2476177.793718016706,decreasing,increasing,station_direct
NorthNode,260.649463522,31048804,2476178.502948895097,increasing,decreasing,station_retrograde
NorthNode,260.601441943,31740786,2476186.511998143978,decreasing,increasing,station_direct
Mercury,77.274594174,32102670,2476190.700474031270,decreasing,increasing,station_direct
